Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	5	5	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
suru1262	Suruí	Tupian	South America	18	12	11	91.67
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	30	26	86.67
kima1246	Kimaama	Kolopom	Papunesia	92	46	38	82.61
cupe1243	Cupeño	Uto-Aztecan	North America	48	22	18	81.82
nina1238	Ninam	Yanomamic	South America	61	35	28	80
siam1242	Siamou		Africa	134	74	59	79.73
boru1252	Boruca	Chibchan	North America	117	67	53	79.1
alor1247	Alorese	Austronesian	Papunesia	168	94	74	78.72
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	82	64	78.05
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	81	63	77.78
apin1244	Apinayé	Nuclear-Macro-Je	South America	181	94	73	77.66
avok1242	Avokaya	Central Sudanic	Africa	122	71	55	77.46
buna1278	Bunak	Timor-Alor-Pantar	Papunesia	96	93	72	77.42
gebe1237	Gebe	Austronesian	Papunesia	129	70	54	77.14
piji1239	Pijin	Indo-European	Papunesia	154	87	67	77.01
lamo1244	Lamogai	Austronesian	Papunesia	135	73	56	76.71
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	90	69	76.67
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	90	69	76.67
kren1239	Krenak	Nuclear-Macro-Je	South America	111	55	42	76.36
duna1248	Duna		Papunesia	91	88	67	76.14
furu1242	Furu	Central Sudanic	Africa	127	67	51	76.12
yaou1238	Yaouré	Mande	Africa	130	92	70	76.09
adan1251	Adang	Timor-Alor-Pantar	Papunesia	184	96	73	76.04
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	96	73	76.04
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	33	25	75.76
adze1240	Adzera	Austronesian	Papunesia	158	86	65	75.58
anuf1239	Anufo	Atlantic-Congo	Africa	162	86	65	75.58
buna1276	Bunama	Austronesian	Papunesia	125	69	52	75.36
tane1237	Tanema	Austronesian	Papunesia	154	85	64	75.29
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	80	60	75
guri1248	Guriaso		Papunesia	24	12	9	75
kair1263	Kairiru	Austronesian	Papunesia	73	72	54	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
tuml1238	Tumleo	Austronesian	Papunesia	103	64	48	75
kove1237	Kove	Austronesian	Papunesia	180	95	71	74.74
arop1243	Arop-Lokep	Austronesian	Papunesia	161	91	68	74.73
dadi1250	Dadibi	Teberan	Papunesia	164	91	68	74.73
guro1248	Guro	Mande	Africa	131	91	68	74.73
bamb1269	Bambara	Mande	Africa	104	71	53	74.65
mani1235	Sougb	East Bird's Head	Papunesia	122	67	50	74.63
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	55	41	74.55
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	90	67	74.44
tean1237	Teanu	Austronesian	Papunesia	147	86	64	74.42
yong1270	Narua	Sino-Tibetan	Eurasia	160	86	64	74.42
biak1248	Biak	Austronesian	Papunesia	100	97	72	74.23
lote1237	Lote	Austronesian	Papunesia	178	97	72	74.23
gese1240	Geser-Gorom	Austronesian	Papunesia	69	31	23	74.19
pawa1255	Pawaia		Papunesia	110	58	43	74.14
nucl1594	Mairasi	Mairasic	Papunesia	84	81	60	74.07
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	88	65	73.86
kelo1247	Klon	Timor-Alor-Pantar	Papunesia	91	88	65	73.86
mann1248	Mann	Mande	Africa	124	88	65	73.86
oroh1237	Oroha	Austronesian	Papunesia	118	65	48	73.85
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	42	31	73.81
hote1245	Hote	Austronesian	Papunesia	162	84	62	73.81
vano1237	Lovono	Austronesian	Papunesia	146	80	59	73.75
west2650	Western Cham	Austronesian	Eurasia	151	80	59	73.75
enuu1235	Enu	Sino-Tibetan	Eurasia	193	99	73	73.74
foii1241	Foi	East Kutubu	Papunesia	118	57	42	73.68
hani1248	Hani	Sino-Tibetan	Eurasia	186	95	70	73.68
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	91	67	73.63
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	91	67	73.63
buhu1237	Buhutu	Austronesian	Papunesia	134	72	53	73.61
yako1252	Yakoma	Atlantic-Congo	Africa	143	83	61	73.49
azha1235	Azha	Sino-Tibetan	Eurasia	151	79	58	73.42
labu1248	Labu	Austronesian	Papunesia	154	79	58	73.42
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	79	58	73.42
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	75	55	73.33
taki1248	Takia	Austronesian	Papunesia	93	90	66	73.33
mpur1239	Mpur		Papunesia	185	97	71	73.2
chib1270	Chibcha	Chibchan	South America	148	82	60	73.17
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	41	30	73.17
quap1242	Quapaw	Siouan	North America	154	82	60	73.17
ubir1237	Ubir	Austronesian	Papunesia	149	82	60	73.17
arib1241	Aribwatsa	Austronesian	Papunesia	121	67	49	73.13
labo1244	Ninde	Austronesian	Papunesia	122	67	49	73.13
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	93	68	73.12
meya1236	Meyah	East Bird's Head	Papunesia	96	93	68	73.12
kupa1239	Kupang Malay	Austronesian	Papunesia	168	89	65	73.03
kuyy1240	Kuy	Austroasiatic	Eurasia	174	89	65	73.03
mana1295	Manam	Austronesian	Papunesia	175	100	73	73
njan1240	Njanga	Atlantic-Congo	Africa	192	100	73	73
pela1242	Pela	Sino-Tibetan	Eurasia	194	100	73	73
waro1242	Waropen	Austronesian	Papunesia	137	74	54	72.97
yano1262	Yanomám	Yanomamic	South America	65	37	27	72.97
