Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
tain1254	Taino	Arawakan	North America	4	4	4	100
apol1242	Apolista	Arawakan	South America	14	13	12	92.31
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	8	88.89
omii1238	Omi	Central Sudanic	Africa	18	16	14	87.5
guar1293	Baniva de Maroa	Arawakan	South America	101	98	84	85.71
piap1246	Piapoco	Arawakan	South America	59	55	47	85.45
sara1331	Saraveca	Arawakan	South America	19	18	15	83.33
bare1276	Baré	Arawakan	South America	117	113	94	83.19
wapi1253	Wapishana	Arawakan	South America	86	84	69	82.14
waur1244	Waurá	Arawakan	South America	86	84	69	82.14
paun1241	Paunaka	Arawakan	South America	99	97	79	81.44
bani1255	Baniwa do Icana	Arawakan	South America	85	83	67	80.72
yavi1244	Yavitero-Pareni	Arawakan	South America	117	114	91	79.82
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	64	51	79.69
awab1243	Awabakal	Pama-Nyungan	Australia	67	61	48	78.69
juho1239	South-Eastern Ju	Kxa	Africa	57	42	33	78.57
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	14	11	78.57
yucu1253	Yucuna	Arawakan	South America	64	60	47	78.33
apur1254	Apurinã	Arawakan	South America	155	114	89	78.07
yagu1244	Yagua	Peba-Yagua	South America	170	114	89	78.07
curr1243	Curripaco	Arawakan	South America	101	98	76	77.55
noma1263	Nomatsiguenga	Arawakan	South America	96	93	72	77.42
nort2864	Wemale	Austronesian	Papunesia	76	53	41	77.36
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	52	40	76.92
macu1259	Macushi	Cariban	South America	66	60	46	76.67
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	60	46	76.67
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	64	49	76.56
resi1247	Resígaro	Arawakan	South America	83	81	62	76.54
mayk1239	Maykulan	Pama-Nyungan	Australia	152	110	84	76.36
kara1476	Karadjeri	Pama-Nyungan	Australia	67	59	45	76.27
wayu1243	Wayuu	Arawakan	South America	117	113	86	76.11
para1311	Paraguayan Guaraní	Tupian	South America	54	46	35	76.09
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	29	22	75.86
yane1238	Yanesha'	Arawakan	South America	114	107	81	75.7
muth1236	Muthuvan	Dravidian	Eurasia	143	90	68	75.56
coca1259	Cocama-Cocamilla	Tupian	South America	188	122	92	75.41
warr1255	Warrgamay	Pama-Nyungan	Australia	80	69	52	75.36
gari1256	Garifuna	Arawakan	North America	80	77	58	75.32
ilaa1246	Ila	Atlantic-Congo	Africa	124	81	61	75.31
abip1241	Abipon	Guaicuruan	South America	129	89	67	75.28
idun1242	Iduna	Austronesian	Papunesia	179	117	88	75.21
ando1256	Andoque		South America	38	36	27	75
asha1243	Asháninka	Arawakan	South America	91	88	66	75
bara1361	Barambu	Atlantic-Congo	Africa	128	88	66	75
geme1244	Geme	Atlantic-Congo	Africa	6	4	3	75
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	84	63	75
mbaa1245	Mba	Atlantic-Congo	Africa	137	96	72	75
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	52	39	75
ware1255	Warekena do San Miguel	Arawakan	South America	131	92	69	75
fuln1247	Fulniô		South America	177	119	89	74.79
pali1279	Palikúr	Arawakan	South America	111	107	80	74.77
siwi1239	Siwi	Afro-Asiatic	Africa	168	111	83	74.77
kari1306	Kari	Atlantic-Congo	Africa	76	51	38	74.51
dime1235	Dime	South Omotic	Africa	52	43	32	74.42
pume1238	Pumé		South America	137	89	66	74.16
maco1239	Maco	Saliban	South America	163	112	83	74.11
mera1242	Meramera	Austronesian	Papunesia	54	50	37	74
luya1241	Luyi	Atlantic-Congo	Africa	172	115	85	73.91
hyam1245	Hyam	Atlantic-Congo	Africa	93	65	48	73.85
wira1265	Wirangu	Pama-Nyungan	Australia	66	61	45	73.77
arab1267	Arabana	Pama-Nyungan	Australia	62	57	42	73.68
seng1281	Sengseng	Austronesian	Papunesia	100	76	56	73.68
gwen1239	Gweno	Atlantic-Congo	Africa	135	91	67	73.63
ofay1240	Ofayé	Nuclear-Macro-Je	South America	160	102	75	73.53
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	34	25	73.53
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	79	58	73.42
mach1267	Machiguenga	Arawakan	South America	96	94	69	73.4
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	86	63	73.26
djin1253	Djinang	Pama-Nyungan	Australia	59	56	41	73.21
tote1238	Totela	Atlantic-Congo	Africa	161	104	76	73.08
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	107	78	72.9
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	92	67	72.83
pana1307	Panará	Nuclear-Macro-Je	South America	156	103	75	72.82
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	66	48	72.73
cani1243	Canichana		South America	50	33	24	72.73
gang1267	Ganggalida	Tangkic	Australia	94	88	64	72.73
gung1248	Gungabula	Pama-Nyungan	Australia	44	44	32	72.73
korr1238	Korra Koraga	Dravidian	Eurasia	133	88	64	72.73
wood1236	Woods Cree	Algic	North America	162	106	77	72.64
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	73	53	72.6
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	62	45	72.58
konz1239	Konzo	Atlantic-Congo	Africa	133	91	66	72.53
midd1357	Middle Clarence Bandjalang	Pama-Nyungan	Australia	96	91	66	72.53
loka1252	Lokaa	Atlantic-Congo	Africa	162	109	79	72.48
araw1276	Lokono	Arawakan	South America	136	98	71	72.45
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	116	84	72.41
budz1238	Budza	Atlantic-Congo	Africa	166	105	76	72.38
cham1318	Chamicuro	Arawakan	South America	54	54	39	72.22
serr1255	Serrano	Uto-Aztecan	North America	183	115	83	72.17
wamb1258	Wambayan	Mirndi	Australia	103	97	70	72.16
dier1241	Dieri	Pama-Nyungan	Australia	66	61	44	72.13
kaur1267	Kaurna	Pama-Nyungan	Australia	48	43	31	72.09
nonu1241	Nonuya	Huitotoan	South America	54	43	31	72.09
teun1241	Te'un	Austronesian	Papunesia	53	43	31	72.09
pich1237	Pichis Ashéninka	Arawakan	South America	148	93	67	72.04
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	25	18	72
atam1239	Atampaya	Pama-Nyungan	Australia	87	82	59	71.95
kolb1240	Kolbila	Atlantic-Congo	Africa	178	114	82	71.93
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	64	46	71.88
pare1272	Parecís	Arawakan	South America	144	103	74	71.84
yawa1261	Yawalapití	Arawakan	South America	58	39	28	71.79
wara1292	Samue	Atlantic-Congo	Africa	65	46	33	71.74
huaa1248	East Taa	Tuu	Africa	164	113	81	71.68
kuot1243	Kuot		Papunesia	174	113	81	71.68
guny1241	Gunya	Pama-Nyungan	Australia	177	120	86	71.67
buna1276	Bunama	Austronesian	Papunesia	125	88	63	71.59
ticu1245	Ticuna	Ticuna-Yuri	South America	154	102	73	71.57
sioo1240	Sio	Austronesian	Papunesia	175	116	83	71.55
ashe1272	Ashéninka Perené	Arawakan	South America	193	123	88	71.54
akei1237	Akei	Austronesian	Papunesia	122	77	55	71.43
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	21	15	71.43
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	56	40	71.43
kima1246	Kimaama	Kolopom	Papunesia	92	63	45	71.43
lafo1243	Lafofa		Africa	68	42	30	71.43
land1256	Landoma	Atlantic-Congo	Africa	137	91	65	71.43
marg1253	Margany	Pama-Nyungan	Australia	144	105	75	71.43
poya1241	Poyanáwa	Pano-Tacanan	South America	50	35	25	71.43
ramo1244	Ramoaaina	Austronesian	Papunesia	52	49	35	71.43
tere1278	Terei	South Bougainville	Papunesia	60	56	40	71.43
wanm1242	Wanman	Pama-Nyungan	Australia	132	91	65	71.43
mini1256	Minica Huitoto	Huitotoan	South America	160	108	77	71.3
nort2774	Northern Ngbandi	Atlantic-Congo	Africa	159	108	77	71.3
yayg1236	Yaygir	Pama-Nyungan	Australia	154	108	77	71.3
yako1252	Yakoma	Atlantic-Congo	Africa	143	101	72	71.29
yasa1242	Yasa	Atlantic-Congo	Africa	101	59	42	71.19
arop1243	Arop-Lokep	Austronesian	Papunesia	161	111	79	71.17
bekw1241	Bekwarra	Atlantic-Congo	Africa	157	111	79	71.17
paas1238	Paasaal	Atlantic-Congo	Africa	186	121	86	71.07
veps1250	Veps	Uralic	Eurasia	188	121	86	71.07
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	100	71	71
baka1274	Baka (South Sudan)	Central Sudanic	Africa	137	93	66	70.97
esto1258	Estonian	Uralic	Eurasia	195	124	88	70.97
pite1240	Pite Saami	Uralic	Eurasia	195	124	88	70.97
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	86	61	70.93
saki1247	Sakizaya	Austronesian	Papunesia	135	86	61	70.93
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	110	78	70.91
baka1272	Baka (Cameroon)	Atlantic-Congo	Africa	148	103	73	70.87
erzy1239	Erzya	Uralic	Eurasia	190	120	85	70.83
iwam1256	Iwam	Sepik	Papunesia	105	72	51	70.83
mali1284	Mali	Baining	Papunesia	102	96	68	70.83
abua1245	Abu' Arapesh	Nuclear Torricelli	Papunesia	170	113	80	70.8
ukra1253	Ukrainian	Indo-European	Eurasia	171	113	80	70.8
east2440	East Makian	Austronesian	Papunesia	95	89	63	70.79
yine1238	Yine	Arawakan	South America	91	89	63	70.79
gulf1241	Gulf Arabic	Afro-Asiatic	Eurasia	154	106	75	70.75
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	58	41	70.69
daha1245	Dahalo	Afro-Asiatic	Africa	46	34	24	70.59
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	68	48	70.59
onaa1245	Selk'nam	Chonan	South America	153	102	72	70.59
tong1308	Maniq	Austroasiatic	Eurasia	163	112	79	70.54
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	95	67	70.53
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	95	67	70.53
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	95	67	70.53
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	122	86	70.49
waja1257	Wajarri	Pama-Nyungan	Australia	65	61	43	70.49
obok1239	Obokuitai	Lakes Plain	Papunesia	157	105	74	70.48
igna1246	Ignaciano	Arawakan	South America	91	88	62	70.45
amas1236	Ama (Sudan)	Nyimang	Africa	166	108	76	70.37
dizi1235	Dizin	Dizoid	Africa	57	54	38	70.37
tulu1258	Tulu	Dravidian	Eurasia	163	108	76	70.37
pure1242	Purepecha	Tarascan	North America	182	118	83	70.34
ndun1249	Ndunga	Atlantic-Congo	Africa	127	91	64	70.33
tune1261	Tunen	Atlantic-Congo	Africa	98	64	45	70.31
culi1244	Culina	Arawan	South America	179	121	85	70.25
duru1236	Duruwa	Dravidian	Eurasia	121	84	59	70.24
kaki1249	Kaki Ae		Papunesia	138	94	66	70.21
umot1240	Umotína	Bororoan	South America	73	47	33	70.21
chad1249	Chadian Arabic	Afro-Asiatic	Africa	146	104	73	70.19
bata1285	Batanga	Atlantic-Congo	Africa	113	77	54	70.13
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	97	68	70.1
mbya1239	Mbyá Guaraní	Tupian	South America	161	107	75	70.09
bafu1246	Bafut	Atlantic-Congo	Africa	190	120	84	70
cupe1243	Cupeño	Uto-Aztecan	North America	48	40	28	70
dagb1246	Dagbani	Atlantic-Congo	Africa	177	120	84	70
darl1243	Paakantyi	Pama-Nyungan	Australia	45	40	28	70
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	120	84	70
tido1248	Tidore	North Halmahera	Papunesia	96	90	63	70
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	120	84	70
cent2322	Central Mansi	Uralic	Eurasia	185	123	86	69.92
livv1244	Liv	Uralic	Eurasia	194	123	86	69.92
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	113	79	69.91
uruu1244	Uru	Uru-Chipaya	South America	170	113	79	69.91
sant1410	Santali	Austroasiatic	Eurasia	155	103	72	69.9
opat1246	Teguima	Uto-Aztecan	North America	120	73	51	69.86
bush1247	Bushoong	Atlantic-Congo	Africa	184	116	81	69.83
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	106	74	69.81
suab1238	Suabo	Inanwatan	Papunesia	101	96	67	69.79
bayo1255	Kugere-Kuxinge	Atlantic-Congo	Africa	58	43	30	69.77
kaby1243	Kabyle	Afro-Asiatic	Africa	65	43	30	69.77
paiw1248	Paiwan	Austronesian	Papunesia	92	86	60	69.77
sham1280	Shambala	Atlantic-Congo	Africa	118	86	60	69.77
hind1269	Hindi	Indo-European	Eurasia	187	119	83	69.75
osam1235	Osamayi	Atlantic-Congo	Africa	105	76	53	69.74
yapu1240	Yeri	Nuclear Torricelli	Papunesia	163	109	76	69.72
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	66	46	69.7
ludi1246	Ludian	Uralic	Eurasia	192	122	85	69.67
tern1247	Ternate	North Halmahera	Papunesia	190	122	85	69.67
daak1235	Da'a Kaili	Austronesian	Papunesia	123	89	62	69.66
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	112	78	69.64
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	112	78	69.64
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	102	71	69.61
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	115	80	69.57
geru1240	Geruma	Afro-Asiatic	Africa	66	46	32	69.57
kren1239	Krenak	Nuclear-Macro-Je	South America	111	69	48	69.57
tien1242	Tiene	Atlantic-Congo	Africa	126	92	64	69.57
cacu1241	Kakua	Kakua-Nukak	South America	168	105	73	69.52
sida1246	Sidamo	Afro-Asiatic	Africa	104	82	57	69.51
karn1252	Karnai	Austronesian	Papunesia	142	95	66	69.47
pila1245	Pilagá	Guaicuruan	South America	183	121	84	69.42
kalk1246	Kalkutung	Pama-Nyungan	Australia	158	111	77	69.37
seve1240	Severn Ojibwa	Algic	North America	176	111	77	69.37
ingr1248	Ingrian	Uralic	Eurasia	195	124	86	69.35
lule1254	Lule Saami	Uralic	Eurasia	195	124	86	69.35
skol1241	Skolt Saami	Uralic	Eurasia	192	124	86	69.35
avac1239	Avá-Canoeiro	Tupian	South America	153	101	70	69.31
biri1256	Biri	Pama-Nyungan	Australia	146	101	70	69.31
koka1244	Kokata	Pama-Nyungan	Australia	143	101	70	69.31
rikb1245	Rikbaktsa	Nuclear-Macro-Je	South America	149	101	70	69.31
chit1248	Chitimacha		North America	167	114	79	69.3
baur1253	Baure	Arawakan	South America	168	117	81	69.23
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	104	72	69.23
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	26	18	69.23
mala1481	Manado Malay	Austronesian	Papunesia	178	117	81	69.23
molo1266	Moloko	Afro-Asiatic	Africa	109	78	54	69.23
