Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	2	2	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	1	1	100
mehi1240	Mehináku	Arawakan	South America	4	2	2	100
gung1248	Gungabula	Pama-Nyungan	Australia	44	26	23	88.46
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	16	14	87.5
maku1277	Maku'a	Austronesian	Papunesia	29	16	14	87.5
susu1250	Susu	Mande	Africa	96	39	34	87.18
nort2994	Northern Roglai	Austronesian	Eurasia	90	46	40	86.96
para1311	Paraguayan Guaraní	Tupian	South America	54	23	20	86.96
bera1262	Berau Malay	Austronesian	Papunesia	11	7	6	85.71
samo1303	Samo	East Strickland	Papunesia	44	28	24	85.71
arab1267	Arabana	Pama-Nyungan	Australia	62	31	26	83.87
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	31	26	83.87
bolg1251	Bolgo	Atlantic-Congo	Africa	78	42	35	83.33
buhu1237	Buhutu	Austronesian	Papunesia	134	54	45	83.33
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	5	83.33
hrus1242	Hruso		Eurasia	89	48	40	83.33
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	12	10	83.33
tuca1252	Tucano	Tucanoan	South America	67	30	25	83.33
bamb1269	Bambara	Mande	Africa	104	46	38	82.61
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	17	14	82.35
bord1248	Border Kuna	Chibchan	South America	162	62	51	82.26
iqui1243	Iquito	Zaparoan	South America	116	50	41	82
beem1239	Beembe	Atlantic-Congo	Africa	144	66	54	81.82
tepe1278	Tepecano	Uto-Aztecan	North America	121	54	44	81.48
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	27	22	81.48
ndom1245	Ndom	Kolopom	Papunesia	74	43	35	81.4
yaey1239	Yaeyama	Japonic	Eurasia	155	69	56	81.16
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	53	43	81.13
apat1240	Apatani	Sino-Tibetan	Eurasia	170	73	59	80.82
sout2826	Southern Grebo	Kru	Africa	85	57	46	80.7
dier1241	Dieri	Pama-Nyungan	Australia	66	31	25	80.65
bobo1255	Bobongko	Austronesian	Papunesia	73	36	29	80.56
cent1972	Central Kurdish	Indo-European	Eurasia	15	5	4	80
dyul1238	Dyula	Mande	Africa	157	70	56	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
goro1270	Gorowa	Afro-Asiatic	Africa	13	5	4	80
karb1241	Hills Karbi	Sino-Tibetan	Eurasia	157	65	52	80
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	65	52	80
lotu1250	Lotud	Austronesian	Papunesia	132	65	52	80
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	4	80
siam1242	Siamou		Africa	134	55	44	80
sout2729	Southern Pumi	Sino-Tibetan	Eurasia	186	74	59	79.73
logo1259	Logo	Central Sudanic	Africa	172	69	55	79.71
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	69	55	79.71
mbya1239	Mbyá Guaraní	Tupian	South America	161	64	51	79.69
bang1369	Bangru	Sino-Tibetan	Eurasia	151	59	47	79.66
cent2150	Central Tunebo	Chibchan	South America	159	59	47	79.66
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	49	39	79.59
mans1260	Mansim	Hatam-Mansim	Papunesia	71	39	31	79.49
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	58	46	79.31
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	77	61	79.22
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	48	38	79.17
ewee1241	Ewe	Atlantic-Congo	Africa	162	62	49	79.03
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	38	30	78.95
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	71	56	78.87
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	33	26	78.79
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	70	55	78.57
ayac1239	Ayacucho Quechua	Quechuan	South America	166	70	55	78.57
kara1476	Karadjeri	Pama-Nyungan	Australia	67	28	22	78.57
