Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	21	91.3
esee1247	Ese	Koiarian	Papunesia	75	45	40	88.89
kaur1267	Kaurna	Pama-Nyungan	Australia	48	34	30	88.24
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	63	55	87.3
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	23	20	86.96
east2379	Eastern Arrernte	Pama-Nyungan	Australia	93	61	53	86.89
kara1499	Kalamang	West Bomberai	Papunesia	99	81	70	86.42
poya1241	Poyanáwa	Pano-Tacanan	South America	50	44	38	86.36
fasu1242	Fasu		Papunesia	120	94	81	86.17
goro1270	Gorowa	Afro-Asiatic	Africa	13	7	6	85.71
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	63	54	85.71
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	109	93	85.32
samo1303	Samo	East Strickland	Papunesia	44	34	29	85.29
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	86	73	84.88
ndom1245	Ndom	Kolopom	Papunesia	74	64	54	84.38
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	114	96	84.21
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	76	64	84.21
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	107	90	84.11
dizi1235	Dizin	Dizoid	Africa	57	44	37	84.09
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	115	96	83.48
coch1272	Cochimi	Cochimi-Yuman	North America	89	59	49	83.05
yawa1260	Yawanawa	Pano-Tacanan	South America	148	106	88	83.02
foii1241	Foi	East Kutubu	Papunesia	118	87	72	82.76
safw1238	Safwa	Atlantic-Congo	Africa	48	29	24	82.76
capa1241	Capanahua	Pano-Tacanan	South America	171	110	91	82.73
amah1246	Amahuaca	Pano-Tacanan	South America	153	104	86	82.69
wira1265	Wirangu	Pama-Nyungan	Australia	66	52	43	82.69
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	78	64	82.05
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	77	63	81.82
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	110	90	81.82
suru1262	Suruí	Tupian	South America	18	11	9	81.82
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	109	89	81.65
dyir1250	Dyirbal	Pama-Nyungan	Australia	78	49	40	81.63
hrus1242	Hruso		Eurasia	89	76	62	81.58
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	114	93	81.58
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	112	91	81.25
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	90	73	81.11
koir1240	Koireng	Sino-Tibetan	Eurasia	155	105	85	80.95
pano1255	Panobo	Pano-Tacanan	South America	163	110	89	80.91
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	115	93	80.87
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	99	80	80.81
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	31	25	80.65
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	118	95	80.51
arab1267	Arabana	Pama-Nyungan	Australia	62	41	33	80.49
hupd1244	Hup	Naduhup	South America	160	107	86	80.37
ngaa1240	Ngaanyatjarra	Pama-Nyungan	Australia	154	107	86	80.37
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	112	90	80.36
rumu1243	Rumu	Turama-Kikori	Papunesia	73	56	45	80.36
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	117	94	80.34
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	111	89	80.18
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	110	88	80
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	75	60	80
maru1252	Marúbo	Pano-Tacanan	South America	126	85	68	80
mido1240	Midob	Nubian	Africa	55	40	32	80
shua1257	Shuar	Chicham	South America	147	105	84	80
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	10	8	80
shan1283	Shanenawa	Pano-Tacanan	South America	171	119	95	79.83
chep1245	Chepang	Sino-Tibetan	Eurasia	163	109	87	79.82
niha1238	Nihali		Eurasia	164	104	83	79.81
fore1270	Fore	Nuclear Trans New Guinea	Papunesia	97	64	51	79.69
kalu1248	Kaluli	Bosavi	Papunesia	96	64	51	79.69
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	113	90	79.65
dura1244	Dura	Sino-Tibetan	Eurasia	171	113	90	79.65
nort2952	Northeast Maidu	Maiduan	North America	161	113	90	79.65
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	103	82	79.61
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	103	82	79.61
achu1248	Achuar-Shiwiar	Chicham	South America	183	117	93	79.49
esee1248	Ese Ejja	Pano-Tacanan	South America	189	117	93	79.49
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	107	85	79.44
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	58	46	79.31
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	106	84	79.25
chic1270	Chickasaw	Muskogean	North America	150	101	80	79.21
mono1275	Mono (USA)	Uto-Aztecan	North America	161	110	87	79.09
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	86	68	79.07
kunj1245	Kunjen	Pama-Nyungan	Australia	163	105	83	79.05
raji1240	Raji	Sino-Tibetan	Eurasia	153	105	83	79.05
koka1244	Kokata	Pama-Nyungan	Australia	143	100	79	79
mika1239	Mikasuki	Muskogean	North America	147	100	79	79
yami1256	Yaminahua	Pano-Tacanan	South America	182	119	94	78.99
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	109	86	78.9
ngab1239	Ngäbere	Chibchan	North America	165	104	82	78.85
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	104	82	78.85
isir1237	Isirawa	Greater Kwerba	Papunesia	159	113	89	78.76
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	113	89	78.76
defa1248	Defaka	Ijoid	Africa	75	61	48	78.69
opat1246	Teguima	Uto-Aztecan	North America	120	75	59	78.67
bond1245	Bondo	Austroasiatic	Eurasia	152	98	77	78.57
chib1270	Chibcha	Chibchan	South America	148	98	77	78.57
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	98	77	78.57
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	102	80	78.43
ango1257	Angosturas Tunebo	Chibchan	South America	136	97	76	78.35
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	60	47	78.33
pura1257	Purari		Papunesia	158	106	83	78.3
guru1261	Gurung	Sino-Tibetan	Eurasia	174	115	90	78.26
mari1440	Maricopa	Cochimi-Yuman	North America	175	115	90	78.26
cavi1250	Cavineña	Pano-Tacanan	South America	151	101	79	78.22
siaw1243	Siawi	Amto-Musan	Papunesia	123	101	79	78.22
apat1240	Apatani	Sino-Tibetan	Eurasia	170	110	86	78.18
nucl1633	Nimboran	Nimboranic	Papunesia	171	110	86	78.18
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	87	68	78.16
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	119	93	78.15
isco1239	Isconahua	Pano-Tacanan	South America	192	119	93	78.15
komb1274	Kombai	Nuclear Trans New Guinea	Papunesia	182	119	93	78.15
abau1245	Abau	Sepik	Papunesia	88	64	50	78.12
chac1249	Cha'palaa	Barbacoan	South America	91	64	50	78.12
pawa1255	Pawaia		Papunesia	110	96	75	78.12
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	105	82	78.1
yaey1239	Yaeyama	Japonic	Eurasia	155	105	82	78.1
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	105	82	78.1
colo1256	Tsafiki	Barbacoan	South America	144	100	78	78
lule1238	Lule		South America	146	100	78	78
haka1240	Haka Chin	Sino-Tibetan	Eurasia	170	109	85	77.98
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	113	88	77.88
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	99	77	77.78
idum1241	Idu	Sino-Tibetan	Eurasia	151	108	84	77.78
nkor1239	Nkoroo	Ijoid	Africa	54	36	28	77.78
nucl1595	Kwerba	Greater Kwerba	Papunesia	132	99	77	77.78
tang1377	Tangam	Sino-Tibetan	Eurasia	179	112	87	77.68
west2415	Western Tamang	Sino-Tibetan	Eurasia	170	112	87	77.68
epen1239	Epena	Chocoan	South America	157	103	80	77.67
cent2150	Central Tunebo	Chibchan	South America	159	107	83	77.57
payn1244	Manat	Nuclear Trans New Guinea	Papunesia	162	107	83	77.57
qawa1238	Qawasqar	Kawesqar	South America	164	107	83	77.57
jaru1254	Jaru	Pama-Nyungan	Australia	61	40	31	77.5
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	62	48	77.42
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	97	75	77.32
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	119	92	77.31
mats1244	Matsés	Pano-Tacanan	South America	174	119	92	77.31
garo1247	Garo	Sino-Tibetan	Eurasia	164	110	85	77.27
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	110	85	77.27
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	110	85	77.27
yong1280	Yonggom	Nuclear Trans New Guinea	Papunesia	176	114	88	77.19
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	136	92	71	77.17
yora1241	Yora	Pano-Tacanan	South America	129	92	71	77.17
arhu1242	Arhuaco	Chibchan	South America	156	105	81	77.14
puqu1242	Puquina		South America	118	83	64	77.11
mayk1239	Maykulan	Pama-Nyungan	Australia	152	109	84	77.06
benc1235	Bench	Ta-Ne-Omotic	Africa	82	61	47	77.05
chan1313	Chang Naga	Sino-Tibetan	Eurasia	170	113	87	76.99
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	113	87	76.99
kach1280	Southern Jinghpaw	Sino-Tibetan	Eurasia	172	113	87	76.99
ubyk1235	Ubykh	Abkhaz-Adyge	Eurasia	172	113	87	76.99
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	91	70	76.92
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	91	70	76.92
kora1294	Korafe-Yegha	Nuclear Trans New Guinea	Papunesia	96	65	50	76.92
wann1242	Wan	Mande	Africa	124	78	60	76.92
misk1235	Mískito	Misumalpan	North America	162	108	83	76.85
avok1242	Avokaya	Central Sudanic	Africa	122	82	63	76.83
tonk1249	Tonkawa		North America	156	112	86	76.79
cree1270	Creek	Muskogean	North America	185	116	89	76.72
haru1245	Haruai	Piawi	Papunesia	178	116	89	76.72
