Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tain1254	Taino	Arawakan	North America	4	4	4	100
umot1240	Umotína	Bororoan	South America	73	73	63	86.3
kunz1244	Kunza		South America	72	72	61	84.72
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	26	83.87
ndom1245	Ndom	Kolopom	Papunesia	74	74	62	83.78
awab1243	Awabakal	Pama-Nyungan	Australia	67	66	54	81.82
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	59	48	81.36
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	111	90	81.08
kara1476	Karadjeri	Pama-Nyungan	Australia	67	66	53	80.3
cani1243	Canichana		South America	50	50	40	80
defa1248	Defaka	Ijoid	Africa	75	75	60	80
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	75	60	80
hrus1242	Hruso		Eurasia	89	89	71	79.78
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	79	63	79.75
piap1246	Piapoco	Arawakan	South America	59	59	47	79.66
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	132	105	79.55
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	107	85	79.44
kren1239	Krenak	Nuclear-Macro-Je	South America	111	111	88	79.28
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	77	61	79.22
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	172	136	79.07
yukp1241	Yukpa	Cariban	South America	106	104	82	78.85
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	66	52	78.79
asoa1238	Asoa	Central Sudanic	Africa	94	94	74	78.72
dizi1235	Dizin	Dizoid	Africa	57	56	44	78.57
boru1252	Boruca	Chibchan	North America	117	116	91	78.45
nati1243	Natioro	Atlantic-Congo	Africa	51	51	40	78.43
coch1272	Cochimi	Cochimi-Yuman	North America	89	88	69	78.41
aree1239	Are	Austronesian	Papunesia	157	156	122	78.21
maqu1238	Ye'kwana	Cariban	South America	56	55	43	78.18
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	165	129	78.18
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	174	136	78.16
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	96	75	78.12
nucl1595	Kwerba	Greater Kwerba	Papunesia	132	132	103	78.03
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	173	135	78.03
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	100	78	78
poya1241	Poyanáwa	Pano-Tacanan	South America	50	50	39	78
coah1252	Coahuilteco		North America	129	127	99	77.95
chib1270	Chibcha	Chibchan	South America	148	145	113	77.93
wann1242	Wan	Mande	Africa	124	122	95	77.87
chic1270	Chickasaw	Muskogean	North America	150	149	116	77.85
omii1238	Omi	Central Sudanic	Africa	18	18	14	77.78
suru1262	Suruí	Tupian	South America	18	18	14	77.78
