Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
omii1238	Omi	Central Sudanic	Africa	18	4	4	100
tain1254	Taino	Arawakan	North America	4	3	3	100
ndob1238	Ndobo	Atlantic-Congo	Africa	85	32	29	90.62
jjuu1238	Jju	Atlantic-Congo	Africa	85	41	37	90.24
wara1292	Samue	Atlantic-Congo	Africa	65	30	27	90
luse1252	Lusengo	Atlantic-Congo	Africa	131	47	42	89.36
avat1244	Avatime	Atlantic-Congo	Africa	130	56	50	89.29
lumb1249	Lumbu	Atlantic-Congo	Africa	146	44	39	88.64
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	43	38	88.37
luya1241	Luyi	Atlantic-Congo	Africa	172	51	45	88.24
gwen1239	Gweno	Atlantic-Congo	Africa	135	42	37	88.1
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	45	39	86.67
lito1235	Litoka	Atlantic-Congo	Africa	97	37	32	86.49
lika1243	Liko	Atlantic-Congo	Africa	165	50	43	86
nkon1248	Nkonya	Atlantic-Congo	Africa	128	42	36	85.71
siwu1238	Siwu	Atlantic-Congo	Africa	87	42	36	85.71
sham1280	Shambala	Atlantic-Congo	Africa	118	34	29	85.29
sele1249	Selee	Atlantic-Congo	Africa	128	54	46	85.19
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	46	39	84.78
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	39	33	84.62
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	45	38	84.44
yaoo1241	Yao	Atlantic-Congo	Africa	137	51	43	84.31
nkor1239	Nkoroo	Ijoid	Africa	54	19	16	84.21
okoe1238	Oko-Eni-Osayen	Atlantic-Congo	Africa	102	50	42	84
bolo1262	Boloki	Atlantic-Congo	Africa	144	49	41	83.67
konz1239	Konzo	Atlantic-Congo	Africa	133	48	40	83.33
tuki1240	Tuki	Atlantic-Congo	Africa	160	53	44	83.02
bamw1238	Bamwe	Atlantic-Congo	Africa	102	41	34	82.93
zinz1238	Zinza	Atlantic-Congo	Africa	106	35	29	82.86
coch1272	Cochimi	Cochimi-Yuman	North America	89	29	24	82.76
tote1238	Totela	Atlantic-Congo	Africa	161	52	43	82.69
vunj1238	Vunjo	Atlantic-Congo	Africa	165	52	43	82.69
elip1238	Elip	Atlantic-Congo	Africa	111	46	38	82.61
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	46	38	82.61
chak1271	Chakali	Atlantic-Congo	Africa	191	57	47	82.46
haaa1252	Ha	Atlantic-Congo	Africa	187	57	47	82.46
gand1255	Ganda	Atlantic-Congo	Africa	148	51	42	82.35
bomb1262	Bomboma	Atlantic-Congo	Africa	119	45	37	82.22
lund1266	Lunda	Atlantic-Congo	Africa	150	45	37	82.22
maba1270	Mabaale	Atlantic-Congo	Africa	118	45	37	82.22
mong1338	Mongo	Atlantic-Congo	Africa	124	45	37	82.22
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	45	37	82.22
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	50	41	82
here1253	Herero	Atlantic-Congo	Africa	187	55	45	81.82
mbol1247	Mbole	Atlantic-Congo	Africa	89	33	27	81.82
rung1258	Runga	Maban	Africa	178	55	45	81.82
shon1251	Shona	Atlantic-Congo	Africa	182	55	45	81.82
suba1238	Suba	Atlantic-Congo	Africa	111	44	36	81.82
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	55	45	81.82
liki1240	Balobo	Atlantic-Congo	Africa	99	38	31	81.58
pang1287	Pangwa	Atlantic-Congo	Africa	167	54	44	81.48
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	54	44	81.48
tswa1253	Tswana	Atlantic-Congo	Africa	178	54	44	81.48
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	32	26	81.25
tumu1242	Tumulung Sisaala	Atlantic-Congo	Africa	95	32	26	81.25
vwan1235	Vwanji	Atlantic-Congo	Africa	129	48	39	81.25
loba1239	Lobala	Atlantic-Congo	Africa	98	37	30	81.08
buku1249	Bukusu	Atlantic-Congo	Africa	52	21	17	80.95
hert1241	Hertevin	Afro-Asiatic	Eurasia	64	21	17	80.95
kala1384	Kalanga	Atlantic-Congo	Africa	164	52	42	80.77
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	52	42	80.77
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	52	42	80.77
digo1243	Digo	Atlantic-Congo	Africa	190	57	46	80.7
tafi1243	Tafi	Atlantic-Congo	Africa	93	36	29	80.56
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	41	33	80.49
tswa1255	Tswa	Atlantic-Congo	Africa	162	46	37	80.43
lese1243	Lese	Central Sudanic	Africa	150	51	41	80.39
bebe1248	Bebele	Atlantic-Congo	Africa	184	56	45	80.36
dege1246	Degema	Atlantic-Congo	Africa	189	56	45	80.36
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	56	45	80.36
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	15	12	80
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	40	32	80
fare1241	Farefare	Atlantic-Congo	Africa	174	55	44	80
gang1266	Gangte	Sino-Tibetan	Eurasia	184	55	44	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
giry1241	Giryama	Atlantic-Congo	Africa	83	35	28	80
hehe1240	Hehe	Atlantic-Congo	Africa	144	45	36	80
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	5	4	80
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	50	40	80
lara1258	Laragia		Australia	108	45	36	80
mids1243	Mid-Southern Banda	Atlantic-Congo	Africa	123	40	32	80
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	45	36	80
ndam1251	Ndam	Afro-Asiatic	Africa	41	15	12	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	10	8	80
orok1266	Oroko	Atlantic-Congo	Africa	139	45	36	80
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	35	28	80
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	20	16	80
yasa1242	Yasa	Atlantic-Congo	Africa	101	30	24	80
baba1266	Babanki	Atlantic-Congo	Africa	159	54	43	79.63
hone1235	Hõne	Atlantic-Congo	Africa	177	54	43	79.63
loka1252	Lokaa	Atlantic-Congo	Africa	162	54	43	79.63
gaaa1244	Ga	Atlantic-Congo	Africa	133	49	39	79.59
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	49	39	79.59
kons1243	Konso	Afro-Asiatic	Africa	87	39	31	79.49
okuu1243	Oku	Atlantic-Congo	Africa	110	39	31	79.49
soli1239	Soli	Atlantic-Congo	Africa	101	34	27	79.41
thar1283	Tharaka	Atlantic-Congo	Africa	101	34	27	79.41
jita1239	Jita	Atlantic-Congo	Africa	75	29	23	79.31
