Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	9	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
ndam1251	Ndam	Afro-Asiatic	Africa	41	41	36	87.8
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
homa1239	Homa	Atlantic-Congo	Africa	14	14	12	85.71
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	66	84.62
iraq1241	Iraqw	Afro-Asiatic	Africa	116	113	95	84.07
buru1320	Burunge	Afro-Asiatic	Africa	180	170	139	81.76
ndob1238	Ndobo	Atlantic-Congo	Africa	85	81	66	81.48
tega1236	Tegali	Rashad	Africa	82	81	66	81.48
giiw1236	Giiwo	Afro-Asiatic	Africa	70	69	56	81.16
beel1236	Beele	Afro-Asiatic	Africa	52	52	42	80.77
rend1243	Rendille	Afro-Asiatic	Africa	44	44	35	79.55
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	58	79.45
gaaa1245	Gaa	Atlantic-Congo	Africa	79	77	61	79.22
elmo1238	El Molo	Afro-Asiatic	Africa	171	163	129	79.14
mpot1240	Mpoto	Atlantic-Congo	Africa	173	165	130	78.79
zamb1245	Zamba	Atlantic-Congo	Africa	152	149	117	78.52
geru1240	Geruma	Afro-Asiatic	Africa	66	65	51	78.46
miga1249	Migaama	Afro-Asiatic	Africa	104	102	80	78.43
yaak1241	Yaaku	Afro-Asiatic	Africa	177	170	133	78.24
belu1239	Belueli	Atlantic-Congo	Africa	73	73	57	78.08
gala1264	Galambu	Afro-Asiatic	Africa	79	77	60	77.92
lika1243	Liko	Atlantic-Congo	Africa	165	154	120	77.92
biaf1240	Biafada	Atlantic-Congo	Africa	123	117	91	77.78
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	161	125	77.64
toor1238	Tooro	Atlantic-Congo	Africa	184	174	135	77.59
kips1239	Kipsigis	Nilotic	Africa	156	147	114	77.55
cori1240	Cori	Atlantic-Congo	Africa	139	133	103	77.44
loba1239	Lobala	Atlantic-Congo	Africa	98	93	72	77.42
orma1241	Orma	Afro-Asiatic	Africa	128	124	96	77.42
sham1280	Shambala	Atlantic-Congo	Africa	118	115	89	77.39
muth1236	Muthuvan	Dravidian	Eurasia	143	137	106	77.37
mwan1247	Mwani	Atlantic-Congo	Africa	157	150	116	77.33
bata1285	Batanga	Atlantic-Congo	Africa	113	110	85	77.27
gwen1239	Gweno	Atlantic-Congo	Africa	135	127	98	77.17
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	135	104	77.04
gang1266	Gangte	Sino-Tibetan	Eurasia	184	174	134	77.01
asoa1238	Asoa	Central Sudanic	Africa	94	91	70	76.92
luya1241	Luyi	Atlantic-Congo	Africa	172	164	126	76.83
tswa1253	Tswana	Atlantic-Congo	Africa	178	168	129	76.79
meen1242	Me'en	Surmic	Africa	167	159	122	76.73
bomb1262	Bomboma	Atlantic-Congo	Africa	119	115	88	76.52
makw1236	Makwe	Atlantic-Congo	Africa	86	85	65	76.47
swah1253	Swahili	Atlantic-Congo	Africa	178	170	130	76.47
koti1238	Koti	Atlantic-Congo	Africa	182	172	131	76.16
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	176	134	76.14
nyal1250	Nyali	Atlantic-Congo	Africa	118	113	86	76.11
kunz1244	Kunza		South America	72	71	54	76.06
culi1244	Culina	Arawan	South America	179	167	127	76.05
konz1239	Konzo	Atlantic-Congo	Africa	133	129	98	75.97
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	87	66	75.86
bush1247	Bushoong	Atlantic-Congo	Africa	184	173	131	75.72
lund1266	Lunda	Atlantic-Congo	Africa	150	140	106	75.71
bora1271	Borana-Arsi-Guji Oromo	Afro-Asiatic	Africa	78	78	59	75.64
nara1262	Nara		Africa	132	123	93	75.61
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	82	62	75.61
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	135	102	75.56
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	94	71	75.53
kara1499	Kalamang	West Bomberai	Papunesia	99	98	74	75.51
kota1263	Kota (India)	Dravidian	Eurasia	158	151	114	75.5
naru1238	Narungga	Pama-Nyungan	Australia	106	102	77	75.49
kala1384	Kalanga	Atlantic-Congo	Africa	164	155	117	75.48
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	106	80	75.47
beng1282	Benga	Atlantic-Congo	Africa	132	126	95	75.4
nuer1246	Nuer	Nilotic	Africa	158	150	113	75.33
cros1244	Cross River Mbembe	Atlantic-Congo	Africa	164	154	116	75.32
lang1320	Langi	Atlantic-Congo	Africa	174	166	125	75.3
ndam1239	Ndamba	Atlantic-Congo	Africa	180	170	128	75.29
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	113	85	75.22
dibo1245	Dibole	Atlantic-Congo	Africa	124	121	91	75.21
arbo1245	Arbore	Afro-Asiatic	Africa	170	161	121	75.16
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	153	115	75.16
tomm1242	Tommo So Dogon	Dogon	Africa	167	157	118	75.16
tote1238	Totela	Atlantic-Congo	Africa	161	153	115	75.16
umes1235	Ume Saami	Uralic	Eurasia	183	173	130	75.14
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	144	108	75
