Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	8	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	12	92.31
west2650	Western Cham	Austronesian	Eurasia	151	141	128	90.78
hala1252	Halang	Austroasiatic	Eurasia	82	73	66	90.41
gese1240	Geser-Gorom	Austronesian	Papunesia	69	61	55	90.16
keoo1238	Kéo	Austronesian	Papunesia	187	161	145	90.06
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
moke1242	Moken	Austronesian	Eurasia	171	149	134	89.93
tane1237	Tanema	Austronesian	Papunesia	154	143	128	89.51
adon1237	Adonara	Austronesian	Papunesia	165	148	132	89.19
tean1237	Teanu	Austronesian	Papunesia	147	138	123	89.13
vano1237	Lovono	Austronesian	Papunesia	146	137	122	89.05
lamo1244	Lamogai	Austronesian	Papunesia	135	127	113	88.98
uuuu1243	U	Austroasiatic	Eurasia	139	126	112	88.89
kuyy1240	Kuy	Austroasiatic	Eurasia	174	153	135	88.24
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	159	140	88.05
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	166	146	87.95
mamb1306	Mambae	Austronesian	Papunesia	169	148	130	87.84
viet1252	Vietnamese	Austroasiatic	Eurasia	140	123	108	87.8
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	121	106	87.6
amar1272	Amara	Austronesian	Papunesia	148	136	119	87.5
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	160	140	87.5
kupa1239	Kupang Malay	Austronesian	Papunesia	168	152	133	87.5
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	136	119	87.5
lara1260	Larantuka Malay	Austronesian	Papunesia	169	151	132	87.42
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	151	132	87.42
azha1235	Azha	Sino-Tibetan	Eurasia	151	134	117	87.31
lave1249	Brao	Austroasiatic	Eurasia	122	110	96	87.27
lewo1244	Lewotobi	Austronesian	Papunesia	189	165	144	87.27
lach1248	Lachi	Tai-Kadai	Eurasia	167	149	130	87.25
leme1238	Lemerig	Austronesian	Papunesia	164	149	130	87.25
vinm1237	Neve'ei	Austronesian	Papunesia	143	133	116	87.22
iliu1237	Ili'uun	Austronesian	Papunesia	168	155	135	87.1
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	100	87	87
mans1260	Mansim	Hatam-Mansim	Papunesia	71	69	60	86.96
haro1237	Haroi	Austronesian	Eurasia	95	83	72	86.75
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	60	52	86.67
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	127	110	86.61
ngam1268	Ngambay	Central Sudanic	Africa	156	134	116	86.57
hote1245	Hote	Austronesian	Papunesia	162	141	122	86.52
lave1248	Laven	Austroasiatic	Eurasia	180	160	138	86.25
mokl1243	Moklen	Austronesian	Eurasia	181	160	138	86.25
sapu1248	Sapuan	Austroasiatic	Eurasia	152	138	119	86.23
west2397	Western Bru	Austroasiatic	Eurasia	157	138	119	86.23
berb1259	Berbice Creole Dutch	Indo-European	South America	170	145	125	86.21
east2563	Eastern Cham	Austronesian	Eurasia	92	87	75	86.21
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	145	125	86.21
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	130	112	86.15
papu1250	Papuan Malay	Austronesian	Papunesia	191	166	143	86.14
west2396	Western Lawa	Austroasiatic	Eurasia	190	166	143	86.14
sout2896	Eastern Atadei	Austronesian	Papunesia	116	108	93	86.11
woii1237	Woi	Austronesian	Papunesia	191	165	142	86.06
huuu1240	Hu	Austroasiatic	Eurasia	175	150	129	86
yako1252	Yakoma	Atlantic-Congo	Africa	143	135	116	85.93
piji1239	Pijin	Indo-European	Papunesia	154	142	122	85.92
shee1238	She	Hmong-Mien	Eurasia	162	142	122	85.92
