Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	10	9	90
guri1248	Guriaso		Papunesia	24	24	21	87.5
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	12	10	83.33
poya1241	Poyanáwa	Pano-Tacanan	South America	50	40	33	82.5
ndom1245	Ndom	Kolopom	Papunesia	74	73	60	82.19
hrus1242	Hruso		Eurasia	89	78	64	82.05
goro1270	Gorowa	Afro-Asiatic	Africa	13	11	9	81.82
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	90	73	81.11
nucl1593	Kwomtari	Kwomtari-Nai	Papunesia	175	148	120	81.08
yale1246	Yale		Papunesia	173	153	124	81.05
uman1240	Umanakaina	Dagan	Papunesia	99	86	69	80.23
kosa1249	Kosarek Yale	Nuclear Trans New Guinea	Papunesia	169	146	117	80.14
bera1262	Berau Malay	Austronesian	Papunesia	11	10	8	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	5	4	80
kaur1267	Kaurna	Pama-Nyungan	Australia	48	45	36	80
yank1247	Yankunytjatjara	Pama-Nyungan	Australia	135	113	90	79.65
nend1239	Nend	Nuclear Trans New Guinea	Papunesia	169	141	112	79.43
pawa1255	Pawaia		Papunesia	110	97	77	79.38
aika1237	Aikanã		South America	90	77	61	79.22
kamu1260	Kamula	Kamula-Elevala	Papunesia	185	154	122	79.22
nucl1632	Sentani	Sentanic	Papunesia	143	131	103	78.63
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	51	40	78.43
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	60	47	78.33
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	69	54	78.26
arab1267	Arabana	Pama-Nyungan	Australia	62	55	43	78.18
maru1252	Marúbo	Pano-Tacanan	South America	126	110	86	78.18
gras1249	Grass Koiari	Koiarian	Papunesia	95	82	64	78.05
ngge1241	Nggem	Nuclear Trans New Guinea	Papunesia	99	86	67	77.91
naba1256	Nabak	Nuclear Trans New Guinea	Papunesia	82	72	56	77.78
tauy1241	Tauya	Nuclear Trans New Guinea	Papunesia	94	81	63	77.78
muth1236	Muthuvan	Dravidian	Eurasia	143	121	94	77.69
shas1239	Shasta	Shastan	North America	144	129	100	77.52
orya1242	Orya	Tor-Orya	Papunesia	91	80	62	77.5
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	55	77.46
unaa1239	Una	Nuclear Trans New Guinea	Papunesia	85	75	58	77.33
gira1247	Girawa	Nuclear Trans New Guinea	Papunesia	169	141	109	77.3
nucl1630	Barai	Koiarian	Papunesia	168	141	109	77.3
mauw1238	Mauwake	Nuclear Trans New Guinea	Papunesia	92	79	61	77.22
bada1257	Badaga	Dravidian	Eurasia	127	118	91	77.12
tibe1274	Tibea	Atlantic-Congo	Africa	95	83	64	77.11
usan1239	Usan	Nuclear Trans New Guinea	Papunesia	100	87	67	77.01
yora1241	Yora	Pano-Tacanan	South America	129	117	90	76.92
apma1241	Ap Ma	Keram	Papunesia	126	112	86	76.79
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	129	99	76.74
achu1248	Achuar-Shiwiar	Chicham	South America	183	157	120	76.43
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	106	81	76.42
eipo1242	Eipomek	Nuclear Trans New Guinea	Papunesia	184	156	119	76.28
idum1241	Idu	Sino-Tibetan	Eurasia	151	126	96	76.19
mais1250	Maisin	Austronesian	Papunesia	176	151	115	76.16
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	130	99	76.15
musa1266	Aisi	Nuclear Trans New Guinea	Papunesia	158	138	105	76.09
walm1241	Walmajarri	Pama-Nyungan	Australia	57	46	35	76.09
yare1248	Yareba	Yareban	Papunesia	159	138	105	76.09
cent2050	Central Kanuri	Saharan	Africa	173	146	111	76.03
yami1256	Yaminahua	Pano-Tacanan	South America	182	158	120	75.95
matu1261	Matukar	Austronesian	Papunesia	194	162	123	75.93
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	137	104	75.91
yaum1237	Yau (Morobe Province)	Nuclear Trans New Guinea	Papunesia	181	157	119	75.8
misk1235	Mískito	Misumalpan	North America	162	132	100	75.76
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	140	106	75.71
kota1263	Kota (India)	Dravidian	Eurasia	158	140	106	75.71
sauk1252	Ma Manda	Nuclear Trans New Guinea	Papunesia	181	156	118	75.64
imon1245	Imonda	Border	Papunesia	91	82	62	75.61
epen1239	Epena	Chocoan	South America	157	127	96	75.59
pura1257	Purari		Papunesia	158	135	102	75.56
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	139	105	75.54
haru1245	Haruai	Piawi	Papunesia	178	147	111	75.51
agob1244	Agob-Ende-Kawam	Pahoturi	Papunesia	194	163	123	75.46
awtu1239	Awtuw	Sepik	Papunesia	138	118	89	75.42
atak1252	Atakapa		North America	149	122	92	75.41
iyoo1238	Iyo	Nuclear Trans New Guinea	Papunesia	153	134	101	75.37
opat1246	Teguima	Uto-Aztecan	North America	120	105	79	75.24
korr1238	Korra Koraga	Dravidian	Eurasia	133	121	91	75.21
domm1246	Dom	Nuclear Trans New Guinea	Papunesia	179	153	115	75.16
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	68	51	75
fait1240	Kulsab	Nuclear Trans New Guinea	Papunesia	126	108	81	75
nyun1247	Nyunga	Pama-Nyungan	Australia	26	24	18	75
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	144	108	75
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	68	51	75
yawa1260	Yawanawa	Pano-Tacanan	South America	148	128	96	75
nucl1633	Nimboran	Nimboranic	Papunesia	171	151	113	74.83
shol1240	Sholaga	Dravidian	Eurasia	172	147	110	74.83
wapp1239	Wappo	Yuki-Wappo	North America	177	147	110	74.83
siaw1243	Siawi	Amto-Musan	Papunesia	123	107	80	74.77
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	99	74	74.75
foii1241	Foi	East Kutubu	Papunesia	118	95	71	74.74
suen1241	Suena	Nuclear Trans New Guinea	Papunesia	94	83	62	74.7
