Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	4	4	100
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	49	43	87.76
paez1247	Páez		South America	45	38	33	86.84
nort2952	Northeast Maidu	Maiduan	North America	161	139	120	86.33
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	61	52	85.25
nyun1247	Nyunga	Pama-Nyungan	Australia	26	20	17	85
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	86	72	83.72
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	72	60	83.33
mill1237	Millcayac	Huarpean	South America	122	113	94	83.19
tepe1278	Tepecano	Uto-Aztecan	North America	121	112	93	83.04
nezp1238	Nez Perce	Sahaptian	North America	176	143	118	82.52
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	85	70	82.35
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	102	84	82.35
pano1255	Panobo	Pano-Tacanan	South America	163	141	116	82.27
puin1248	Puinave		South America	44	33	27	81.82
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	93	76	81.72
achu1248	Achuar-Shiwiar	Chicham	South America	183	147	120	81.63
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	140	114	81.43
yora1241	Yora	Pano-Tacanan	South America	129	113	92	81.42
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	128	104	81.25
kusu1250	Kusunda		Eurasia	173	144	117	81.25
leco1242	Leco		South America	162	133	108	81.2
mala1522	Malayo	Chibchan	South America	157	122	99	81.15
sanm1289	San Martín Quechua	Quechuan	South America	171	141	114	80.85
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	119	96	80.67
esse1238	Esselen		North America	110	93	75	80.65
saba1268	Sabanê	Nambiquaran	South America	169	134	108	80.6
cogu1240	Cogui	Chibchan	South America	141	112	90	80.36
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	112	90	80.36
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	76	61	80.26
achu1247	Achumawi	Palaihnihan	North America	106	91	73	80.22
cofa1242	Cofán		South America	137	116	93	80.17
chic1270	Chickasaw	Muskogean	North America	150	126	101	80.16
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	126	101	80.16
mala1463	Malavedan	Dravidian	Eurasia	163	135	108	80
yawa1260	Yawanawa	Pano-Tacanan	South America	148	125	100	80
mola1238	Molale		North America	174	139	111	79.86
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	139	111	79.86
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	134	107	79.85
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	134	107	79.85
aika1237	Aikanã		South America	90	79	63	79.75
dura1244	Dura	Sino-Tibetan	Eurasia	171	138	110	79.71
cald1236	Calderón Highland Quichua	Quechuan	South America	155	133	106	79.7
pech1241	Pech	Chibchan	North America	144	113	90	79.65
maru1252	Marúbo	Pano-Tacanan	South America	126	108	86	79.63
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	142	113	79.58
shas1239	Shasta	Shastan	North America	144	127	101	79.53
yami1256	Yaminahua	Pano-Tacanan	South America	182	151	120	79.47
huar1255	Huarijio	Uto-Aztecan	North America	181	146	116	79.45
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	146	116	79.45
sril1245	Sri Lanka Malay	Austronesian	Eurasia	185	146	116	79.45
tama1331	Tama (Chad)	Tamaic	Africa	139	116	92	79.31
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	154	122	79.22
muth1236	Muthuvan	Dravidian	Eurasia	143	125	99	79.2
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	144	114	79.17
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	139	110	79.14
chac1249	Cha'palaa	Barbacoan	South America	91	67	53	79.1
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	153	121	79.08
idum1241	Idu	Sino-Tibetan	Eurasia	151	124	98	79.03
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	143	113	79.02
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	119	94	78.99
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	114	90	78.95
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	114	90	78.95
