Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
lati1261	Latin	Indo-European	Eurasia	193	192	170	88.54
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	71	56	78.87
czec1258	Czech	Indo-European	Eurasia	191	190	148	77.89
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	116	90	77.59
ukra1253	Ukrainian	Indo-European	Eurasia	171	170	131	77.06
clas1249	Classical-Middle Armenian	Indo-European	Eurasia	183	182	139	76.37
olde1238	Old English (ca. 450-1100)	Indo-European	Eurasia	191	190	145	76.32
mode1248	Modern Greek	Indo-European	Eurasia	195	194	148	76.29
sout1528	Serbian-Croatian-Bosnian	Indo-European	Eurasia	187	186	141	75.81
stan1289	Catalan	Indo-European	Eurasia	193	192	145	75.52
cors1241	Corsican	Indo-European	Eurasia	179	178	134	75.28
slov1268	Slovenian	Indo-European	Eurasia	192	191	143	74.87
icel1247	Icelandic	Indo-European	Eurasia	184	183	137	74.86
sici1248	Sicilian	Indo-European	Eurasia	179	178	133	74.72
arom1237	Aromanian	Indo-European	Eurasia	165	164	122	74.39
muru1266	Muruwari	Pama-Nyungan	Australia	157	156	116	74.36
gana1278	Ganai	Pama-Nyungan	Australia	53	53	39	73.58
wamb1258	Wambayan	Mirndi	Australia	103	102	75	73.53
tong1329	Tongva	Uto-Aztecan	North America	162	162	119	73.46
russ1263	Russian	Indo-European	Eurasia	193	192	141	73.44
camp1261	Campidanese Sardinian	Indo-European	Eurasia	181	180	132	73.33
port1283	Portuguese	Indo-European	Eurasia	192	191	140	73.3
latv1249	Latvian	Indo-European	Eurasia	184	183	133	72.68
yoku1256	Northern Yokuts	Yokutsan	North America	173	172	125	72.67
mace1250	Macedonian	Indo-European	Eurasia	187	186	135	72.58
occi1239	Occitan	Indo-European	Eurasia	187	186	135	72.58
lomb1257	Lombard	Indo-European	Eurasia	190	189	137	72.49
iris1253	Irish	Indo-European	Eurasia	189	188	136	72.34
yulp1239	Yulparija	Pama-Nyungan	Australia	156	155	112	72.26
qaqe1238	Qaqet	Baining	Papunesia	55	54	39	72.22
umbu1235	Umbugarla		Australia	126	126	91	72.22
bili1260	Bilin	Afro-Asiatic	Africa	157	157	113	71.97
bela1254	Belarusian	Indo-European	Eurasia	190	189	136	71.96
roto1249	Rotokas	North Bougainville	Papunesia	179	178	128	71.91
ital1282	Italian	Indo-European	Eurasia	193	192	138	71.88
ugar1238	Ugaritic	Afro-Asiatic	Eurasia	168	167	120	71.86
nhan1238	Nhanda	Pama-Nyungan	Australia	163	163	117	71.78
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	33	71.74
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	145	104	71.72
dutc1256	Dutch	Indo-European	Eurasia	187	186	133	71.51
plau1238	Plautdietsch	Indo-European	North America	178	178	127	71.35
etru1241	Etruscan		Eurasia	130	129	92	71.32
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	188	134	71.28
dani1285	Danish	Indo-European	Eurasia	182	181	129	71.27
baha1259	Baharna Arabic	Afro-Asiatic	Eurasia	147	146	104	71.23
gali1258	Galician	Indo-European	Eurasia	192	191	136	71.2
sout2674	South Saami	Uralic	Eurasia	195	194	138	71.13
lith1251	Lithuanian	Indo-European	Eurasia	191	190	135	71.05
phoe1239	Phoenician	Afro-Asiatic	Eurasia	153	152	108	71.05
puni1241	Punic	Afro-Asiatic	Africa	153	152	108	71.05
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	179	127	70.95
thur1254	Thurawal	Pama-Nyungan	Australia	86	86	61	70.93
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	141	100	70.92
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	175	124	70.86
bana1288	Banao Itneg	Austronesian	Papunesia	24	24	17	70.83
lamb1269	Lambadi	Indo-European	Eurasia	155	154	109	70.78
waja1259	Waja	Atlantic-Congo	Africa	133	133	94	70.68
mari1414	Maria (India)	Dravidian	Eurasia	119	119	84	70.59
ndob1238	Ndobo	Atlantic-Congo	Africa	85	85	60	70.59
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	85	60	70.59
east2545	Eastern Pomo	Pomoan	North America	163	162	114	70.37
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	101	71	70.3
west2763	Western Neo-Aramaic	Afro-Asiatic	Eurasia	149	148	104	70.27
miga1249	Migaama	Afro-Asiatic	Africa	104	104	73	70.19
iron1242	Iron Ossetian	Indo-European	Eurasia	172	171	120	70.18
