Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
nyun1247	Nyunga	Pama-Nyungan	Australia	26	19	18	94.74
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	62	56	90.32
cent2150	Central Tunebo	Chibchan	South America	159	117	105	89.74
ndom1245	Ndom	Kolopom	Papunesia	74	61	54	88.52
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	127	109	85.83
pawa1255	Pawaia		Papunesia	110	96	82	85.42
bamb1269	Bambara	Mande	Africa	104	81	69	85.19
nara1262	Nara		Africa	132	100	85	85
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	106	90	84.91
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	26	22	84.62
cofa1242	Cofán		South America	137	116	98	84.48
mann1248	Mann	Mande	Africa	124	90	76	84.44
darm1243	Darma	Sino-Tibetan	Eurasia	179	127	107	84.25
cogu1240	Cogui	Chibchan	South America	141	112	94	83.93
embe1262	Emberá-Chamí	Chocoan	South America	159	123	103	83.74
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	92	77	83.7
guam1248	Guambiano	Barbacoan	South America	127	109	91	83.49
koir1240	Koireng	Sino-Tibetan	Eurasia	155	113	94	83.19
guro1248	Guro	Mande	Africa	131	95	79	83.16
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	118	98	83.05
teda1241	Tedaga	Saharan	Africa	160	122	101	82.79
suru1261	Suruí Do Pará	Tupian	South America	68	58	48	82.76
bugl1243	Buglere	Chibchan	North America	157	115	95	82.61
hrus1242	Hruso		Eurasia	89	74	61	82.43
twan1247	Twana	Salishan	North America	87	74	61	82.43
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	108	89	82.41
mill1237	Millcayac	Huarpean	South America	122	108	89	82.41
poya1241	Poyanáwa	Pano-Tacanan	South America	50	45	37	82.22
mwan1250	Mwan	Mande	Africa	135	100	82	82
defa1248	Defaka	Ijoid	Africa	75	61	50	81.97
bauz1241	Bauzi	Geelvink Bay	Papunesia	93	72	59	81.94
kach1280	Southern Jinghpaw	Sino-Tibetan	Eurasia	172	127	104	81.89
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	132	108	81.82
jams1239	Jamsay Dogon	Dogon	Africa	169	121	99	81.82
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	121	99	81.82
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	71	58	81.69
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	87	71	81.61
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	97	79	81.44
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	129	105	81.4
buhu1237	Buhutu	Austronesian	Papunesia	134	102	83	81.37
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	134	109	81.34
lepc1244	Lepcha	Sino-Tibetan	Eurasia	176	128	104	81.25
yong1270	Narua	Sino-Tibetan	Eurasia	160	112	91	81.25
dyul1238	Dyula	Mande	Africa	157	122	99	81.15
daza1242	Dazaga	Saharan	Africa	180	132	107	81.06
esee1247	Ese	Koiarian	Papunesia	75	58	47	81.03
soni1259	Soninke	Mande	Africa	127	100	81	81
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	100	81	81
amah1246	Amahuaca	Pano-Tacanan	South America	153	126	102	80.95
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	126	102	80.95
tsha1245	Tshangla	Sino-Tibetan	Eurasia	171	131	106	80.92
west2417	Western Muya	Sino-Tibetan	Eurasia	112	89	72	80.9
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	73	59	80.82
kado1242	Kado	Sino-Tibetan	Eurasia	184	135	109	80.74
maya1285	Mayangna	Misumalpan	North America	153	119	96	80.67
shua1257	Shuar	Chicham	South America	147	119	96	80.67
khak1248	Khakas	Turkic	Eurasia	170	129	104	80.62
sini1242	Sininkere	Mande	Africa	125	98	79	80.61
even1260	Even	Tungusic	Eurasia	141	103	83	80.58
gung1248	Gungabula	Pama-Nyungan	Australia	44	36	29	80.56
woun1238	Woun Meu	Chocoan	South America	150	118	95	80.51
chib1270	Chibcha	Chibchan	South America	148	112	90	80.36
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	122	98	80.33
yaou1238	Yaouré	Mande	Africa	130	96	77	80.21
kaki1249	Kaki Ae		Papunesia	138	106	85	80.19
brah1256	Brahui	Dravidian	Eurasia	151	116	93	80.17
ulwa1239	Ulwa	Misumalpan	North America	165	121	97	80.17
moun1252	Mountain Koiali	Koiarian	Papunesia	168	126	101	80.16
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	131	105	80.15
anuf1239	Anufo	Atlantic-Congo	Africa	162	120	96	80
coch1272	Cochimi	Cochimi-Yuman	North America	89	75	60	80
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	105	84	80
kham1282	Khams Tibetan	Sino-Tibetan	Eurasia	184	130	104	80
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	120	96	80
logo1259	Logo	Central Sudanic	Africa	172	130	104	80
mala1522	Malayo	Chibchan	South America	157	115	92	80
puqu1242	Puquina		South America	118	95	76	80
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	55	44	80
siri1273	Sirionó	Tupian	South America	169	125	100	80
tonk1249	Tonkawa		North America	156	124	99	79.84
