Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	8	88.89
kwin1241	Kwini	Worrorran	Australia	160	84	68	80.95
bura1267	Burarra	Maningrida	Australia	87	84	66	78.57
gunw1252	Bininj Kun-Wok	Gunwinyguan	Australia	191	98	76	77.55
wuna1249	Wunambal	Worrorran	Australia	127	80	62	77.5
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	87	67	77.01
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	52	40	76.92
kung1259	Kungarakany		Australia	82	56	43	76.79
moha1258	Mohawk	Iroquoian	North America	127	73	56	76.71
mara1385	Marra	Mangarrayi-Maran	Australia	94	90	68	75.56
suru1262	Suruí	Tupian	South America	18	8	6	75
ngan1295	Ngandi	Gunwinyguan	Australia	95	91	68	74.73
urni1239	Urningangg	Giimbiyu	Australia	157	83	62	74.7
tien1242	Tiene	Atlantic-Congo	Africa	126	79	59	74.68
waru1264	Warrongo	Pama-Nyungan	Australia	72	47	35	74.47
ngar1284	Ngarinyin	Worrorran	Australia	181	97	72	74.23
rita1239	Ritarungo	Pama-Nyungan	Australia	93	89	66	74.16
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	54	40	74.07
midd1357	Middle Clarence Bandjalang	Pama-Nyungan	Australia	96	92	68	73.91
ngar1283	Ngarnka	Mirndi	Australia	162	92	68	73.91
wamb1258	Wambayan	Mirndi	Australia	103	99	73	73.74
zulu1248	Zulu	Atlantic-Congo	Africa	42	38	28	73.68
worr1237	Worrorra	Worrorran	Australia	151	83	61	73.49
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	90	66	73.33
kunb1251	Kunbarlang	Gunwinyguan	Australia	190	101	74	73.27
umbu1235	Umbugarla		Australia	126	70	51	72.86
kaya1319	Kayardild	Tangkic	Australia	96	92	67	72.83
omii1238	Omi	Central Sudanic	Africa	18	11	8	72.73
waim1251	Waima	Austronesian	Papunesia	186	99	72	72.73
dyan1250	Dyangadi	Pama-Nyungan	Australia	190	98	71	72.45
tiwi1244	Tiwi		Australia	102	98	71	72.45
winj1235	Winjarumi	Worrorran	Australia	126	76	55	72.37
mbol1247	Mbole	Atlantic-Congo	Africa	89	47	34	72.34
warr1255	Warrgamay	Pama-Nyungan	Australia	80	47	34	72.34
orok1266	Oroko	Atlantic-Congo	Africa	139	75	54	72
gamb1251	Gambera	Worrorran	Australia	129	78	56	71.79
miwa1242	Miwa	Worrorran	Australia	130	78	56	71.79
ekar1243	Ekari	Nuclear Trans New Guinea	Papunesia	151	85	61	71.76
mbya1239	Mbyá Guaraní	Tupian	South America	161	85	61	71.76
akoo1248	Akoose	Atlantic-Congo	Africa	185	99	71	71.72
gwen1239	Gweno	Atlantic-Congo	Africa	135	74	53	71.62
haaa1252	Ha	Atlantic-Congo	Africa	187	95	68	71.58
chim1312	Chimwiini	Atlantic-Congo	Africa	81	49	35	71.43
gbay1278	Gbayi	Atlantic-Congo	Africa	58	28	20	71.43
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	63	45	71.43
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	21	15	71.43
mamv1243	Mamvu	Central Sudanic	Africa	136	80	57	71.25
warr1258	Warrwa	Nyulnyulan	Australia	137	80	57	71.25
bard1255	Bardi	Nyulnyulan	Australia	94	90	64	71.11
dhar1247	Dhargari	Pama-Nyungan	Australia	77	45	32	71.11
gang1267	Ganggalida	Tangkic	Australia	94	90	64	71.11
beem1239	Beembe	Atlantic-Congo	Africa	144	79	56	70.89
poya1241	Poyanáwa	Pano-Tacanan	South America	50	24	17	70.83
wila1240	Wilawila	Worrorran	Australia	127	75	53	70.67
djin1251	Jingulu	Mirndi	Australia	166	85	60	70.59
wadj1254	Wadjiginy		Australia	141	85	60	70.59
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	95	67	70.53
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	88	62	70.45
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	81	57	70.37
noma1263	Nomatsiguenga	Arawakan	South America	96	91	64	70.33
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	37	26	70.27
elip1238	Elip	Atlantic-Congo	Africa	111	67	47	70.15
pich1237	Pichis Ashéninka	Arawakan	South America	148	77	54	70.13
wash1253	Washo		North America	152	87	61	70.11
lard1243	Lardil	Tangkic	Australia	94	90	63	70
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	40	28	70
piap1246	Piapoco	Arawakan	South America	59	30	21	70
murr1258	Murriny Patha	Southern Daly	Australia	97	93	65	69.89
lumb1249	Lumbu	Atlantic-Congo	Africa	146	83	58	69.88
awtu1239	Awtuw	Sepik	Papunesia	138	73	51	69.86
lala1268	Lala	Austronesian	Papunesia	187	96	67	69.79
yima1243	Yimas	Lower Sepik-Ramu	Papunesia	100	96	67	69.79
maru1252	Marúbo	Pano-Tacanan	South America	126	69	48	69.57
nezp1238	Nez Perce	Sahaptian	North America	176	92	64	69.57
budz1238	Budza	Atlantic-Congo	Africa	166	82	57	69.51
wage1238	Wageman		Australia	175	95	66	69.47
luva1239	Luvale	Atlantic-Congo	Africa	169	85	59	69.41
mada1285	Madak	Austronesian	Papunesia	176	98	68	69.39
aram1253	Arammba	Yam	Papunesia	92	88	61	69.32
aghu1254	Aghu Tharnggalu	Pama-Nyungan	Australia	69	39	27	69.23
osam1235	Osamayi	Atlantic-Congo	Africa	105	65	45	69.23
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	94	65	69.15
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	94	65	69.15
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	55	38	69.09
nyan1307	Nyankole	Atlantic-Congo	Africa	185	97	67	69.07
shon1251	Shona	Atlantic-Congo	Africa	182	97	67	69.07
bila1255	Bila	Atlantic-Congo	Africa	134	84	58	69.05
jaru1254	Jaru	Pama-Nyungan	Australia	61	42	29	69.05
tote1238	Totela	Atlantic-Congo	Africa	161	84	58	69.05
waim1253	Waimiri-Atroari	Cariban	South America	127	71	49	69.01
gese1240	Geser-Gorom	Austronesian	Papunesia	69	29	20	68.97
tswa1253	Tswana	Atlantic-Congo	Africa	178	90	62	68.89
bank1256	Bankon	Atlantic-Congo	Africa	78	48	33	68.75
cher1273	Cherokee	Iroquoian	North America	184	96	66	68.75
mapo1242	Mapos Buang	Austronesian	Papunesia	173	96	66	68.75
mang1381	Mangarrayi	Mangarrayi-Maran	Australia	192	102	70	68.63
ngal1292	Ngalkbun	Gunwinyguan	Australia	188	102	70	68.63
dier1241	Dieri	Pama-Nyungan	Australia	66	35	24	68.57
mans1260	Mansim	Hatam-Mansim	Papunesia	71	35	24	68.57
goon1238	Gooniyandi	Bunaban	Australia	99	95	65	68.42
bula1255	Bularnu	Pama-Nyungan	Australia	114	60	41	68.33
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	101	69	68.32
yand1253	Yandruwandha	Pama-Nyungan	Australia	72	41	28	68.29
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	88	60	68.18
nden1248	Ndengereko	Atlantic-Congo	Africa	88	66	45	68.18
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	91	62	68.13
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	91	62	68.13
warl1254	Warlpiri	Pama-Nyungan	Australia	98	94	64	68.09
nort2961	Northwestern Ojibwa	Algic	North America	189	97	66	68.04
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	100	68	68
kaur1267	Kaurna	Pama-Nyungan	Australia	48	28	19	67.86
gali1262	Galibi Carib	Cariban	South America	173	93	63	67.74
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	93	63	67.74
walm1241	Walmajarri	Pama-Nyungan	Australia	57	31	21	67.74
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	31	21	67.74
abkh1244	Abkhaz	Abkhaz-Adyge	Eurasia	188	99	67	67.68
maun1240	Mawng	Iwaidjan Proper	Australia	194	102	69	67.65
musg1254	Musgu	Afro-Asiatic	Africa	118	68	46	67.65
bomb1262	Bomboma	Atlantic-Congo	Africa	119	71	48	67.61
nati1244	Nati	Austronesian	Papunesia	127	71	48	67.61
daak1235	Da'a Kaili	Austronesian	Papunesia	123	74	50	67.57
atam1239	Atampaya	Pama-Nyungan	Australia	87	83	56	67.47
toor1238	Tooro	Atlantic-Congo	Africa	184	92	62	67.39
gusi1247	Gusii	Atlantic-Congo	Africa	173	95	64	67.37
munc1235	Mün Chin	Sino-Tibetan	Eurasia	186	95	64	67.37
kich1262	K'iche'	Mayan	North America	180	98	66	67.35
isco1239	Isconahua	Pano-Tacanan	South America	192	101	68	67.33
bata1285	Batanga	Atlantic-Congo	Africa	113	61	41	67.21
makw1236	Makwe	Atlantic-Congo	Africa	86	67	45	67.16
