Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	12	12	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	8	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	9	100
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	112	100	89.29
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	139	124	89.21
bamb1269	Bambara	Mande	Africa	104	90	80	88.89
mann1248	Mann	Mande	Africa	124	104	92	88.46
hala1252	Halang	Austroasiatic	Eurasia	82	67	59	88.06
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	74	65	87.84
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
mund1326	Mündü	Atlantic-Congo	Africa	120	107	93	86.92
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	121	105	86.78
sini1242	Sininkere	Mande	Africa	125	105	91	86.67
soni1259	Soninke	Mande	Africa	127	105	91	86.67
koyr1240	Koyra Chiini Songhay	Songhay	Africa	169	141	122	86.52
fonn1241	Fon	Atlantic-Congo	Africa	189	161	139	86.34
uuuu1243	U	Austroasiatic	Eurasia	139	122	105	86.07
lach1248	Lachi	Tai-Kadai	Eurasia	167	143	123	86.01
limo1249	Limonese Creole	Indo-European	North America	143	128	110	85.94
kima1246	Kimaama	Kolopom	Papunesia	92	85	73	85.88
mwan1250	Mwan	Mande	Africa	135	112	96	85.71
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	76	65	85.53
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	158	135	85.44
bolg1251	Bolgo	Atlantic-Congo	Africa	78	75	64	85.33
bang1363	Bangime		Africa	127	109	93	85.32
esan1238	Esan	Atlantic-Congo	Africa	123	102	87	85.29
humb1243	Humburi Senni Songhay	Songhay	Africa	167	142	121	85.21
nawu1242	Nawuri	Atlantic-Congo	Africa	182	153	130	84.97
mend1266	Mende (Sierra Leone)	Mande	Africa	80	73	62	84.93
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	126	107	84.92
siam1242	Siamou		Africa	134	119	101	84.87
sooo1254	Sô	Austroasiatic	Eurasia	176	152	129	84.87
sapu1248	Sapuan	Austroasiatic	Eurasia	152	132	112	84.85
kimm1246	Kim	Atlantic-Congo	Africa	129	118	100	84.75
dyul1238	Dyula	Mande	Africa	157	142	120	84.51
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	142	120	84.51
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	154	130	84.42
paas1238	Paasaal	Atlantic-Congo	Africa	186	154	130	84.42
azha1235	Azha	Sino-Tibetan	Eurasia	151	128	108	84.38
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	121	102	84.3
ngas1240	Ngas	Afro-Asiatic	Africa	176	151	127	84.11
bara1370	Baram Kayan	Austronesian	Papunesia	143	124	104	83.87
akei1237	Akei	Austronesian	Papunesia	122	111	93	83.78
mban1263	Mbandja	Atlantic-Congo	Africa	162	141	118	83.69
wann1242	Wan	Mande	Africa	124	104	87	83.65
cori1240	Cori	Atlantic-Congo	Africa	139	122	102	83.61
adze1240	Adzera	Austronesian	Papunesia	158	134	112	83.58
piji1239	Pijin	Indo-European	Papunesia	154	134	112	83.58
nyam1285	Nyam	Afro-Asiatic	Africa	160	140	117	83.57
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	126	105	83.33
