Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	31	27	87.1
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	88	75	85.23
hala1252	Halang	Austroasiatic	Eurasia	82	79	67	84.81
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	11	84.62
lave1249	Brao	Austroasiatic	Eurasia	122	118	98	83.05
west2650	Western Cham	Austronesian	Eurasia	151	150	124	82.67
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	169	139	82.25
azha1235	Azha	Sino-Tibetan	Eurasia	151	146	120	82.19
ngul1236	Nguluwan	Austronesian	Papunesia	56	56	46	82.14
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	112	92	82.14
alor1247	Alorese	Austronesian	Papunesia	168	165	135	81.82
kima1246	Kimaama	Kolopom	Papunesia	92	88	72	81.82
blan1242	Blang	Austroasiatic	Eurasia	159	155	126	81.29
sana1297	San Andres Creole English	Indo-European	North America	168	164	133	81.1
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	57	46	80.7
pana1305	Panamint	Uto-Aztecan	North America	41	41	33	80.49
siam1242	Siamou		Africa	134	133	107	80.45
sapu1248	Sapuan	Austroasiatic	Eurasia	152	148	119	80.41
anuf1239	Anufo	Atlantic-Congo	Africa	162	158	127	80.38
samb1305	Samba Leko	Atlantic-Congo	Africa	172	168	135	80.36
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	142	114	80.28
huuu1240	Hu	Austroasiatic	Eurasia	175	171	137	80.12
kimm1246	Kim	Atlantic-Congo	Africa	129	125	100	80
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	184	147	79.89
jehh1245	Jeh	Austroasiatic	Eurasia	139	139	111	79.86
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	134	107	79.85
