Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	5	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
dizi1235	Dizin	Dizoid	Africa	57	52	46	88.46
suru1262	Suruí	Tupian	South America	18	17	15	88.24
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	14	87.5
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	125	108	86.4
samo1303	Samo	East Strickland	Papunesia	44	42	36	85.71
hrus1242	Hruso		Eurasia	89	87	74	85.06
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
kara1499	Kalamang	West Bomberai	Papunesia	99	95	80	84.21
poya1241	Poyanáwa	Pano-Tacanan	South America	50	49	41	83.67
west2417	Western Muya	Sino-Tibetan	Eurasia	112	108	90	83.33
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	107	89	83.18
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	76	63	82.89
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	52	43	82.69
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	79	65	82.28
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	101	83	82.18
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	95	78	82.11
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	156	128	82.05
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	111	91	81.98
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	183	150	81.97
sout2728	Southern Qiang	Sino-Tibetan	Eurasia	192	182	149	81.87
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	164	134	81.71
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	153	125	81.7
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	92	75	81.52
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	119	97	81.51
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	151	123	81.46
chot1239	Chothe	Sino-Tibetan	Eurasia	176	166	135	81.33
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	144	117	81.25
mila1245	Milang	Sino-Tibetan	Eurasia	193	184	149	80.98
pawa1255	Pawaia		Papunesia	110	105	85	80.95
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	131	106	80.92
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	152	123	80.92
nucl1595	Kwerba	Greater Kwerba	Papunesia	132	125	101	80.8
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	151	122	80.79
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	166	134	80.72
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	112	90	80.36
ndom1245	Ndom	Kolopom	Papunesia	74	71	57	80.28
galo1242	Galo	Sino-Tibetan	Eurasia	179	170	136	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
bang1369	Bangru	Sino-Tibetan	Eurasia	151	144	115	79.86
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	109	87	79.82
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	158	126	79.75
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	123	98	79.67
garo1247	Garo	Sino-Tibetan	Eurasia	164	157	125	79.62
gale1259	Galela	North Halmahera	Papunesia	143	137	109	79.56
gang1266	Gangte	Sino-Tibetan	Eurasia	184	176	140	79.55
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	127	101	79.53
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	166	132	79.52
fasu1242	Fasu		Papunesia	120	112	89	79.46
bada1257	Badaga	Dravidian	Eurasia	127	121	96	79.34
mala1463	Malavedan	Dravidian	Eurasia	163	154	122	79.22
chak1270	Chak	Sino-Tibetan	Eurasia	188	178	141	79.21
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	143	113	79.02
tara1313	Tarao	Sino-Tibetan	Eurasia	166	157	124	78.98
gbay1278	Gbayi	Atlantic-Congo	Africa	58	57	45	78.95
yong1270	Narua	Sino-Tibetan	Eurasia	160	152	120	78.95
tuvi1240	Tuvinian	Turkic	Eurasia	154	147	116	78.91
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	137	108	78.83
