Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
ndom1245	Ndom	Kolopom	Papunesia	74	70	61	87.14
bang1369	Bangru	Sino-Tibetan	Eurasia	151	133	115	86.47
poya1241	Poyanáwa	Pano-Tacanan	South America	50	48	41	85.42
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	68	58	85.29
hrus1242	Hruso		Eurasia	89	88	75	85.23
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	108	92	85.19
nyis1236	Nyishi-Hill Miri	Sino-Tibetan	Eurasia	146	139	118	84.89
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	74	62	83.78
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
tibe1274	Tibea	Atlantic-Congo	Africa	95	94	78	82.98
nyun1247	Nyunga	Pama-Nyungan	Australia	26	23	19	82.61
bolg1251	Bolgo	Atlantic-Congo	Africa	78	74	61	82.43
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	148	122	82.43
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	119	98	82.35
amah1246	Amahuaca	Pano-Tacanan	South America	153	135	111	82.22
defa1248	Defaka	Ijoid	Africa	75	73	60	82.19
west2417	Western Muya	Sino-Tibetan	Eurasia	112	100	82	82
kunz1244	Kunza		South America	72	71	58	81.69
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	76	62	81.58
siam1242	Siamou		Africa	134	118	96	81.36
wira1265	Wirangu	Pama-Nyungan	Australia	66	58	47	81.03
ache1246	Aché	Tupian	South America	78	73	59	80.82
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	93	75	80.65
phom1236	Phom Naga	Sino-Tibetan	Eurasia	158	149	120	80.54
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	169	136	80.47
pawa1255	Pawaia		Papunesia	110	102	82	80.39
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	107	86	80.37
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	167	134	80.24
bamb1269	Bambara	Mande	Africa	104	91	73	80.22
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	151	121	80.13
char1269	Chara	Ta-Ne-Omotic	Africa	149	135	108	80
fala1243	Falam Chin	Sino-Tibetan	Eurasia	143	135	108	80
idum1241	Idu	Sino-Tibetan	Eurasia	151	135	108	80
lotu1250	Lotud	Austronesian	Papunesia	132	120	96	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
garo1247	Garo	Sino-Tibetan	Eurasia	164	149	119	79.87
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	144	115	79.86
namu1246	Namuyi	Sino-Tibetan	Eurasia	173	153	122	79.74
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	143	114	79.72
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	138	110	79.71
cent2126	Central Okinawan	Japonic	Eurasia	153	138	110	79.71
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	83	66	79.52
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	156	124	79.49
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	29	23	79.31
natc1249	Natchez		North America	108	101	80	79.21
qawa1238	Qawasqar	Kawesqar	South America	164	144	114	79.17
mill1237	Millcayac	Huarpean	South America	122	115	91	79.13
guiq1238	Guiqiong	Sino-Tibetan	Eurasia	177	158	125	79.11
kaur1267	Kaurna	Pama-Nyungan	Australia	48	43	34	79.07
kore1280	Korean	Koreanic	Eurasia	185	162	128	79.01
chas1234	Chashan	Sino-Tibetan	Eurasia	169	147	116	78.91
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	132	104	78.79
awar1249	Awar	Lower Sepik-Ramu	Papunesia	165	146	115	78.77
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	146	115	78.77
enuu1235	Enu	Sino-Tibetan	Eurasia	193	169	133	78.7
etru1241	Etruscan		Eurasia	130	108	85	78.7
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	117	92	78.63
mwan1250	Mwan	Mande	Africa	135	117	92	78.63
awab1243	Awabakal	Pama-Nyungan	Australia	67	56	44	78.57
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	140	110	78.57
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	168	132	78.57
miju1243	Kman	Sino-Tibetan	Eurasia	192	168	132	78.57
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	98	77	78.57
west2618	Western Canadian Inuktitut	Eskimo-Aleut	North America	116	107	84	78.5
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	93	73	78.49
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	158	124	78.48
sanb1242	San Blas Kuna	Chibchan	South America	165	144	113	78.47
buga1247	Bugan	Austroasiatic	Eurasia	190	167	131	78.44
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	167	131	78.44
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	148	116	78.38
raji1240	Raji	Sino-Tibetan	Eurasia	153	134	105	78.36
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	129	101	78.29
yaey1239	Yaeyama	Japonic	Eurasia	155	138	108	78.26
tega1236	Tegali	Rashad	Africa	82	78	61	78.21
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	110	86	78.18
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	142	111	78.17
nalo1235	Nalögo	Austronesian	Papunesia	33	32	25	78.12
rumu1243	Rumu	Turama-Kikori	Papunesia	73	64	50	78.12
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	169	132	78.11
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	114	89	78.07
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	155	121	78.06
mido1240	Midob	Nubian	Africa	55	50	39	78
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	159	124	77.99
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	168	131	77.98
bori1243	Bori-Karko	Sino-Tibetan	Eurasia	152	140	109	77.86
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	117	91	77.78
tang1334	Tangut	Sino-Tibetan	Eurasia	151	135	105	77.78
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	130	101	77.69
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	121	94	77.69
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	112	87	77.68
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	134	104	77.61
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	116	90	77.59
dhim1246	Dhimal	Sino-Tibetan	Eurasia	185	165	128	77.58
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	165	128	77.58
sooo1254	Sô	Austroasiatic	Eurasia	176	156	121	77.56
orok1265	Orok	Tungusic	Eurasia	151	138	107	77.54
kima1246	Kimaama	Kolopom	Papunesia	92	89	69	77.53
wash1253	Washo		North America	152	129	100	77.52
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	129	100	77.52
baim1244	Baima	Sino-Tibetan	Eurasia	193	169	131	77.51
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	80	62	77.5
cent2150	Central Tunebo	Chibchan	South America	159	142	110	77.46
chak1270	Chak	Sino-Tibetan	Eurasia	188	164	127	77.44
nucl1632	Sentani	Sentanic	Papunesia	143	133	103	77.44
yawa1260	Yawanawa	Pano-Tacanan	South America	148	133	103	77.44
kara1499	Kalamang	West Bomberai	Papunesia	99	93	72	77.42
gant1244	Gants	Nuclear Trans New Guinea	Papunesia	164	146	113	77.4
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	163	126	77.3
negi1245	Negidal	Tungusic	Eurasia	160	141	109	77.3
kuyy1240	Kuy	Austroasiatic	Eurasia	174	154	119	77.27
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	154	119	77.27
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	132	102	77.27
nucl1417	Igbo	Atlantic-Congo	Africa	188	167	129	77.25
ayac1239	Ayacucho Quechua	Quechuan	South America	166	145	112	77.24
mamv1243	Mamvu	Central Sudanic	Africa	136	123	95	77.24
doro1266	Doromu-Koki	Manubaran	Papunesia	167	149	115	77.18
surg1248	Surgut Khanty	Uralic	Eurasia	186	162	125	77.16
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	144	111	77.08
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	170	131	77.06
ango1257	Angosturas Tunebo	Chibchan	South America	136	122	94	77.05
shas1239	Shasta	Shastan	North America	144	122	94	77.05
mend1266	Mende (Sierra Leone)	Mande	Africa	80	74	57	77.03
saba1268	Sabanê	Nambiquaran	South America	169	148	114	77.03
pras1239	Prasun	Indo-European	Eurasia	93	87	67	77.01
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	152	117	76.97
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	152	117	76.97
bord1248	Border Kuna	Chibchan	South America	162	143	110	76.92
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	65	50	76.92
lave1249	Brao	Austroasiatic	Eurasia	122	104	80	76.92
daai1236	Daai Chin	Sino-Tibetan	Eurasia	183	160	123	76.88
qima1242	Qimant	Afro-Asiatic	Africa	166	147	113	76.87
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	134	103	76.87
yess1239	Yessan-Mayo	Sepik	Papunesia	92	82	63	76.83
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	151	116	76.82
anfi1235	Anfillo	Ta-Ne-Omotic	Africa	108	99	76	76.77
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	99	76	76.77
west2599	West Kewa	Nuclear Trans New Guinea	Papunesia	102	86	66	76.74
mans1262	Mansaka	Austronesian	Papunesia	127	116	89	76.72
chra1242	Chrau	Austroasiatic	Eurasia	166	146	112	76.71
fefe1239	Fe'fe'	Atlantic-Congo	Africa	142	133	102	76.69
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	163	125	76.69
nara1262	Nara		Africa	132	120	92	76.67
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	137	105	76.64
nati1244	Nati	Austronesian	Papunesia	127	107	82	76.64
mala1479	Colloquial Malay	Austronesian	Eurasia	153	141	108	76.6
obok1239	Obokuitai	Lakes Plain	Papunesia	157	141	108	76.6
yami1256	Yaminahua	Pano-Tacanan	South America	182	158	121	76.58
yora1241	Yora	Pano-Tacanan	South America	129	111	85	76.58
yona1241	Yonaguni	Japonic	Eurasia	164	145	111	76.55
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	166	127	76.51
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	166	127	76.51
capa1241	Capanahua	Pano-Tacanan	South America	171	149	114	76.51
guru1261	Gurung	Sino-Tibetan	Eurasia	174	153	117	76.47
koir1240	Koireng	Sino-Tibetan	Eurasia	155	140	107	76.43
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	157	120	76.43
pano1255	Panobo	Pano-Tacanan	South America	163	140	107	76.43
boru1252	Boruca	Chibchan	North America	117	106	81	76.42
lend1245	Lendu	Central Sudanic	Africa	159	144	110	76.39
pura1257	Purari		Papunesia	158	144	110	76.39
ulch1241	Ulch	Tungusic	Eurasia	164	144	110	76.39
