Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	16	15	93.75
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
ndam1251	Ndam	Afro-Asiatic	Africa	41	40	35	87.5
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	26	22	84.62
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	38	84.44
tsam1247	Tsamai	Afro-Asiatic	Africa	185	164	133	81.1
daas1238	Daasanach	Afro-Asiatic	Africa	191	166	134	80.72
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	72	58	80.56
wara1292	Samue	Atlantic-Congo	Africa	65	59	47	79.66
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	147	117	79.59
kweg1241	Kwegu	Surmic	Africa	162	151	120	79.47
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	34	27	79.41
cori1240	Cori	Atlantic-Congo	Africa	139	126	100	79.37
kons1243	Konso	Afro-Asiatic	Africa	87	81	64	79.01
akan1250	Akan	Atlantic-Congo	Africa	57	56	44	78.57
nkor1239	Nkoroo	Ijoid	Africa	54	42	33	78.57
lika1243	Liko	Atlantic-Congo	Africa	165	144	113	78.47
bora1271	Borana-Arsi-Guji Oromo	Afro-Asiatic	Africa	78	74	58	78.38
cata1286	Catawba	Siouan	North America	125	118	92	77.97
ping1243	Pingelapese	Austronesian	Papunesia	152	136	106	77.94
huba1236	Huba	Afro-Asiatic	Africa	151	143	111	77.62
buru1320	Burunge	Afro-Asiatic	Africa	180	163	126	77.3
tawa1286	Tawallammat Tamajaq	Afro-Asiatic	Africa	127	114	88	77.19
gaaa1244	Ga	Atlantic-Congo	Africa	133	127	98	77.17
bebe1248	Bebele	Atlantic-Congo	Africa	184	166	128	77.11
muth1236	Muthuvan	Dravidian	Eurasia	143	131	101	77.1
safw1238	Safwa	Atlantic-Congo	Africa	48	48	37	77.08
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	161	124	77.02
anci1244	Ancient Hebrew	Afro-Asiatic	Eurasia	182	160	123	76.88
ajyi1238	Ajyíninka Apurucayali	Arawakan	South America	69	60	46	76.67
luya1241	Luyi	Atlantic-Congo	Africa	172	154	118	76.62
bata1285	Batanga	Atlantic-Congo	Africa	113	102	78	76.47
esim1238	Esimbi	Atlantic-Congo	Africa	154	136	104	76.47
kaby1243	Kabyle	Afro-Asiatic	Africa	65	55	42	76.36
lagw1237	Lagwan	Afro-Asiatic	Africa	164	148	113	76.35
tunn1238	Tunni	Afro-Asiatic	Africa	184	160	122	76.25
wola1253	Wolane	Afro-Asiatic	Africa	165	143	109	76.22
libi1244	Libinza	Atlantic-Congo	Africa	134	126	96	76.19
awji1241	Awjilah	Afro-Asiatic	Africa	145	130	99	76.15
monz1249	Monzombo	Atlantic-Congo	Africa	119	109	83	76.15
saya1246	Saya	Afro-Asiatic	Africa	121	109	83	76.15
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	113	86	76.11
sher1258	Sherbro	Atlantic-Congo	Africa	118	117	89	76.07
kunz1244	Kunza		South America	72	71	54	76.06
siwi1239	Siwi	Afro-Asiatic	Africa	168	146	111	76.03
amas1236	Ama (Sudan)	Nyimang	Africa	166	150	114	76
bamb1270	Bambam	Austronesian	Papunesia	134	125	95	76
west2564	West Berawan	Austronesian	Papunesia	83	75	57	76
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	104	79	75.96
gese1240	Geser-Gorom	Austronesian	Papunesia	69	62	47	75.81
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	132	100	75.76
blan1242	Blang	Austroasiatic	Eurasia	159	144	109	75.69
nkon1248	Nkonya	Atlantic-Congo	Africa	128	111	84	75.68
shil1265	Shilluk	Nilotic	Africa	182	164	124	75.61
kips1239	Kipsigis	Nilotic	Africa	156	135	102	75.56
elmo1238	El Molo	Afro-Asiatic	Africa	171	155	117	75.48
bush1247	Bushoong	Atlantic-Congo	Africa	184	159	120	75.47
pawa1255	Pawaia		Papunesia	110	106	80	75.47
orma1241	Orma	Afro-Asiatic	Africa	128	122	92	75.41
anuf1239	Anufo	Atlantic-Congo	Africa	162	146	110	75.34
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	81	61	75.31
daka1243	Dakaka	Austronesian	Papunesia	187	162	122	75.31
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	125	94	75.2
ghad1239	Ghadames	Afro-Asiatic	Africa	160	141	106	75.18
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	149	112	75.17
alag1248	Alagwa	Afro-Asiatic	Africa	183	161	121	75.16
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	157	118	75.16
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	28	21	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
darl1243	Paakantyi	Pama-Nyungan	Australia	45	44	33	75
daza1242	Dazaga	Saharan	Africa	180	164	123	75
dual1243	Duala	Atlantic-Congo	Africa	138	124	93	75
giiw1236	Giiwo	Afro-Asiatic	Africa	70	68	51	75
kwam1249	Gwama	Koman	Africa	171	148	111	75
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	112	84	75
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	112	84	75
noon1243	Noone	Atlantic-Congo	Africa	172	156	117	75
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	160	120	75
nubi1253	Nubi	Afro-Asiatic	Africa	168	148	111	75
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	80	60	75
piap1246	Piapoco	Arawakan	South America	59	52	39	75
twan1247	Twana	Salishan	North America	87	84	63	75
vinm1237	Neve'ei	Austronesian	Papunesia	143	132	99	75
yasa1242	Yasa	Atlantic-Congo	Africa	101	92	69	75
nyan1307	Nyankole	Atlantic-Congo	Africa	185	163	122	74.85
phoe1239	Phoenician	Afro-Asiatic	Eurasia	153	139	104	74.82
puni1241	Punic	Afro-Asiatic	Africa	153	139	104	74.82
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	135	101	74.81
ango1257	Angosturas Tunebo	Chibchan	South America	136	127	95	74.8
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	127	95	74.8
land1256	Landoma	Atlantic-Congo	Africa	137	123	92	74.8
sham1280	Shambala	Atlantic-Congo	Africa	118	111	83	74.77
soma1255	Somali	Afro-Asiatic	Africa	97	83	62	74.7
kung1259	Kungarakany		Australia	82	79	59	74.68
ndob1238	Ndobo	Atlantic-Congo	Africa	85	79	59	74.68
teke1275	Latege	Atlantic-Congo	Africa	180	158	118	74.68
teda1241	Tedaga	Saharan	Africa	160	146	109	74.66
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	142	106	74.65
sanu1240	Sanumá	Yanomamic	South America	150	134	100	74.63
beng1282	Benga	Atlantic-Congo	Africa	132	118	88	74.58
biaf1240	Biafada	Atlantic-Congo	Africa	123	110	82	74.55
gbay1278	Gbayi	Atlantic-Congo	Africa	58	55	41	74.55
iliu1237	Ili'uun	Austronesian	Papunesia	168	157	117	74.52
yaak1241	Yaaku	Afro-Asiatic	Africa	177	157	117	74.52
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	149	111	74.5
bili1260	Bilin	Afro-Asiatic	Africa	157	145	108	74.48
hebr1245	Modern Hebrew	Afro-Asiatic	Eurasia	167	145	108	74.48
mbar1260	Mbara (Chad)	Afro-Asiatic	Africa	157	145	108	74.48
tomm1242	Tommo So Dogon	Dogon	Africa	167	145	108	74.48
loba1239	Lobala	Atlantic-Congo	Africa	98	94	70	74.47
koon1244	South-Central Koongo	Atlantic-Congo	Africa	153	133	99	74.44
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	125	93	74.4
toor1238	Tooro	Atlantic-Congo	Africa	184	160	119	74.38
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	39	29	74.36
bira1253	Ongota		Africa	163	148	110	74.32
ronn1241	Ron	Afro-Asiatic	Africa	169	148	110	74.32
sand1273	Sandawe		Africa	76	66	49	74.24
paaa1242	Pa'a	Afro-Asiatic	Africa	183	163	121	74.23
mbaa1245	Mba	Atlantic-Congo	Africa	137	128	95	74.22
bafi1243	Bafia	Atlantic-Congo	Africa	173	155	115	74.19
sida1246	Sidamo	Afro-Asiatic	Africa	104	93	69	74.19
zinz1238	Zinza	Atlantic-Congo	Africa	106	93	69	74.19
meen1242	Me'en	Surmic	Africa	167	151	112	74.17
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	143	106	74.13
zamb1245	Zamba	Atlantic-Congo	Africa	152	143	106	74.13
suda1237	South Sudanese Creole Arabic	Afro-Asiatic	Africa	151	139	103	74.1
