Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	6	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
muso1238	Musom	Austronesian	Papunesia	150	114	100	87.72
midd1327	Middle Watut	Austronesian	Papunesia	140	107	92	85.98
golo1234	Golo	Atlantic-Congo	Africa	82	49	42	85.71
tane1237	Tanema	Austronesian	Papunesia	154	107	90	84.11
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
vano1237	Lovono	Austronesian	Papunesia	146	103	85	82.52
tetu1245	Tetum	Austronesian	Papunesia	87	62	51	82.26
katb1237	Avava	Austronesian	Papunesia	183	115	94	81.74
tean1237	Teanu	Austronesian	Papunesia	147	104	85	81.73
mans1260	Mansim	Hatam-Mansim	Papunesia	71	59	48	81.36
avok1242	Avokaya	Central Sudanic	Africa	122	90	73	81.11
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	79	64	81.01
ngul1236	Nguluwan	Austronesian	Papunesia	56	52	42	80.77
emae1237	Emae	Austronesian	Papunesia	156	103	83	80.58
abee1242	Abé	Atlantic-Congo	Africa	142	100	80	80
aulu1238	Aulua	Austronesian	Papunesia	160	110	88	80
tolo1255	Tolomako	Austronesian	Papunesia	120	90	72	80
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	96	76	79.17
jiba1237	Jiba	Atlantic-Congo	Africa	120	86	68	79.07
loni1238	Loniu	Austronesian	Papunesia	185	119	94	78.99
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	71	56	78.87
nort2994	Northern Roglai	Austronesian	Eurasia	90	71	56	78.87
gebe1237	Gebe	Austronesian	Papunesia	129	104	82	78.85
jurm1239	Jur Modo	Central Sudanic	Africa	159	98	77	78.57
maee1241	Tirax	Austronesian	Papunesia	188	121	95	78.51
lach1248	Lachi	Tai-Kadai	Eurasia	167	111	87	78.38
mund1326	Mündü	Atlantic-Congo	Africa	120	92	72	78.26
whit1269	Whitesands	Austronesian	Papunesia	167	115	90	78.26
lamo1244	Lamogai	Austronesian	Papunesia	135	101	79	78.22
tuml1238	Tumleo	Austronesian	Papunesia	103	78	61	78.21
adze1240	Adzera	Austronesian	Papunesia	158	105	82	78.1
leme1238	Lemerig	Austronesian	Papunesia	164	114	89	78.07
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	114	89	78.07
hote1245	Hote	Austronesian	Papunesia	162	100	78	78
lame1260	Lamenu	Austronesian	Papunesia	126	95	74	77.89
