Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
ngul1236	Nguluwan	Austronesian	Papunesia	56	53	50	94.34
oroh1237	Oroha	Austronesian	Papunesia	118	101	94	93.07
lauu1247	Lau	Austronesian	Papunesia	141	110	101	91.82
tali1259	Talise	Austronesian	Papunesia	142	119	109	91.6
ghar1239	Ghari	Austronesian	Papunesia	151	128	117	91.41
siar1238	Siar-Lak	Austronesian	Papunesia	87	73	66	90.41
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
surs1246	Sursurunga	Austronesian	Papunesia	159	129	116	89.92
tiga1245	Tigak	Austronesian	Papunesia	171	138	124	89.86
mini1251	Minigir	Austronesian	Papunesia	178	137	123	89.78
tung1290	Tungag	Austronesian	Papunesia	178	136	122	89.71
wala1266	Wala	Austronesian	Papunesia	150	125	112	89.6
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	72	64	88.89
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	8	88.89
kuan1248	Kuanua	Austronesian	Papunesia	174	134	119	88.81
saaa1240	Sa'a	Austronesian	Papunesia	145	123	109	88.62
baba1268	Babatana	Austronesian	Papunesia	138	111	98	88.29
gela1263	Gela	Austronesian	Papunesia	181	140	123	87.86
kwar1239	Kwara'ae	Austronesian	Papunesia	186	138	121	87.68
ghan1242	Ghanongga	Austronesian	Papunesia	166	127	111	87.4
rotu1241	Rotuman	Austronesian	Papunesia	163	133	116	87.22
lamo1244	Lamogai	Austronesian	Papunesia	135	117	102	87.18
piji1239	Pijin	Indo-European	Papunesia	154	124	108	87.1
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	85	74	87.06
naka1262	Nakanai	Austronesian	Papunesia	173	130	113	86.92
lele1270	Lele (Papua New Guinea)	Austronesian	Papunesia	167	127	110	86.61
hano1246	Hano	Austronesian	Papunesia	183	134	116	86.57
papu1250	Papuan Malay	Austronesian	Papunesia	191	140	121	86.43
mudu1242	Muduapa	Austronesian	Papunesia	186	139	120	86.33
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	131	113	86.26
gada1258	Ga'dang	Austronesian	Papunesia	70	58	50	86.21
