Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	4	4	100
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	73	65	89.04
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	23	88.46
orok1265	Orok	Tungusic	Eurasia	151	66	58	87.88
hrus1242	Hruso		Eurasia	89	41	36	87.8
kaur1267	Kaurna	Pama-Nyungan	Australia	48	24	21	87.5
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	8	7	87.5
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	43	37	86.05
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	34	29	85.29
midd1357	Middle Clarence Bandjalang	Pama-Nyungan	Australia	96	85	72	84.71
warl1255	Warlmanpa	Pama-Nyungan	Australia	41	13	11	84.62
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	84	71	84.52
tuvi1240	Tuvinian	Turkic	Eurasia	154	69	58	84.06
yayg1236	Yaygir	Pama-Nyungan	Australia	154	81	68	83.95
kara1499	Kalamang	West Bomberai	Papunesia	99	48	40	83.33
umbu1235	Umbugarla		Australia	126	60	50	83.33
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	69	57	82.61
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	80	66	82.5
umes1235	Ume Saami	Uralic	Eurasia	183	80	66	82.5
nyun1247	Nyunga	Pama-Nyungan	Australia	26	17	14	82.35
yidi1250	Yidiñ	Pama-Nyungan	Australia	156	79	65	82.28
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	45	37	82.22
dyan1250	Dyangadi	Pama-Nyungan	Australia	190	84	69	82.14
zigu1244	Zigula-Mushungulu	Atlantic-Congo	Africa	54	28	23	82.14
mayk1239	Maykulan	Pama-Nyungan	Australia	152	78	64	82.05
niha1238	Nihali		Eurasia	164	77	63	81.82
waru1264	Warrongo	Pama-Nyungan	Australia	72	44	36	81.82
ying1247	Yinggarda	Pama-Nyungan	Australia	65	33	27	81.82
etru1241	Etruscan		Eurasia	130	71	58	81.69
warr1255	Warrgamay	Pama-Nyungan	Australia	80	38	31	81.58
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	81	66	81.48
biri1256	Biri	Pama-Nyungan	Australia	146	75	61	81.33
bata1285	Batanga	Atlantic-Congo	Africa	113	48	39	81.25
dhar1248	Dharumbal	Pama-Nyungan	Australia	74	48	39	81.25
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	80	65	81.25
uruu1244	Uru	Uru-Chipaya	South America	170	80	65	81.25
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	21	17	80.95
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	62	50	80.65
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	77	62	80.52
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	77	62	80.52
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	41	33	80.49
tule1245	Tule-Kaweah Yokuts	Yokutsan	North America	172	82	66	80.49
wamb1258	Wambayan	Mirndi	Australia	103	87	70	80.46
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	61	49	80.33
ulch1241	Ulch	Tungusic	Eurasia	164	81	65	80.25
