Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	2	2	100
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	53	49	92.45
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	8	88.89
suru1262	Suruí	Tupian	South America	18	17	15	88.24
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	142	124	87.32
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	142	123	86.62
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	89	77	86.52
araw1273	Araweté	Tupian	South America	148	124	107	86.29
saba1268	Sabanê	Nambiquaran	South America	169	135	116	85.93
suru1261	Suruí Do Pará	Tupian	South America	68	55	47	85.45
pawa1255	Pawaia		Papunesia	110	96	82	85.42
poya1241	Poyanáwa	Pano-Tacanan	South America	50	40	34	85
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	72	61	84.72
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	137	116	84.67
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	64	54	84.38
mbya1239	Mbyá Guaraní	Tupian	South America	161	127	107	84.25
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	107	90	84.11
awet1244	Awetí	Tupian	South America	161	137	115	83.94
mika1239	Mikasuki	Muskogean	North America	147	123	103	83.74
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	151	126	83.44
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	138	115	83.33
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	5	83.33
wyan1247	Huron-Wyandot	Iroquoian	North America	111	101	84	83.17
tepe1278	Tepecano	Uto-Aztecan	North America	121	105	87	82.86
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	87	72	82.76
maru1252	Marúbo	Pano-Tacanan	South America	126	110	91	82.73
gale1259	Galela	North Halmahera	Papunesia	143	121	100	82.64
siri1273	Sirionó	Tupian	South America	169	137	113	82.48
gang1266	Gangte	Sino-Tibetan	Eurasia	184	147	121	82.31
chol1284	Cholón	Hibito-Cholon	South America	181	141	116	82.27
sene1264	Seneca	Iroquoian	North America	174	141	116	82.27
koir1240	Koireng	Sino-Tibetan	Eurasia	155	124	102	82.26
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	152	125	82.24
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	84	69	82.14
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	83	68	81.93
kren1239	Krenak	Nuclear-Macro-Je	South America	111	94	77	81.91
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	116	95	81.9
taba1263	Tabaru	North Halmahera	Papunesia	176	149	122	81.88
goro1270	Gorowa	Afro-Asiatic	Africa	13	11	9	81.82
chic1270	Chickasaw	Muskogean	North America	150	126	103	81.75
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	142	116	81.69
tara1313	Tarao	Sino-Tibetan	Eurasia	166	142	116	81.69
pagu1249	Pagu	North Halmahera	Papunesia	153	131	107	81.68
kuma1280	Kuman	Nuclear Trans New Guinea	Papunesia	153	130	106	81.54
akun1241	Akuntsu	Tupian	South America	174	146	119	81.51
coca1259	Cocama-Cocamilla	Tupian	South America	188	150	122	81.33
iama1237	Iamalele	Austronesian	Papunesia	107	96	78	81.25
west2632	Western Keres	Keresan	North America	161	138	112	81.16
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	122	99	81.15
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	122	99	81.15
wira1265	Wirangu	Pama-Nyungan	Australia	66	53	43	81.13
nhen1239	Nhengatu	Tupian	South America	181	143	116	81.12
nucl1454	Yawa	Yawa-Saweru	Papunesia	105	90	73	81.11
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	132	107	81.06
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	132	107	81.06
sion1247	Siona-Tetete	Tucanoan	South America	62	47	38	80.85
coch1272	Cochimi	Cochimi-Yuman	North America	89	73	59	80.82
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	109	88	80.73
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	119	96	80.67
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	119	96	80.67
taus1253	Taushiro		South America	150	129	104	80.62
shan1283	Shanenawa	Pano-Tacanan	South America	171	139	112	80.58
jama1261	Madi	Arawan	South America	170	138	111	80.43
gali1262	Galibi Carib	Cariban	South America	173	143	115	80.42
lotu1250	Lotud	Austronesian	Papunesia	132	112	90	80.36
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	127	102	80.31
misi1243	Misima-Paneati	Austronesian	Papunesia	144	127	102	80.31
karo1304	Karok		North America	164	142	114	80.28
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	142	114	80.28
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	142	114	80.28
