Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bund1253	Bundeli	Indo-European	Eurasia	173	154	143	92.86
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	72	65	90.28
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	39	86.67
mari1414	Maria (India)	Dravidian	Eurasia	119	109	94	86.24
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	81	69	85.19
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	153	130	84.97
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	83	70	84.34
dand1238	Dandami Maria	Dravidian	Eurasia	161	143	120	83.92
doma1260	Domaaki	Indo-European	Eurasia	144	133	111	83.46
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
west2386	Western Panjabi	Indo-European	Eurasia	150	140	116	82.86
ambu1247	Ambulas	Ndu	Papunesia	91	81	67	82.72
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	133	110	82.71
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	89	73	82.02
lamb1269	Lambadi	Indo-European	Eurasia	155	138	113	81.88
muth1236	Muthuvan	Dravidian	Eurasia	143	129	105	81.4
korr1238	Korra Koraga	Dravidian	Eurasia	133	123	100	81.3
moch1259	Mochica		South America	139	127	103	81.1
saur1249	Sauria Paharia	Dravidian	Eurasia	179	164	133	81.1
nyun1247	Nyunga	Pama-Nyungan	Australia	26	26	21	80.77
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	165	133	80.61
kaur1267	Kaurna	Pama-Nyungan	Australia	48	46	37	80.43
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	51	41	80.39
etru1241	Etruscan		Eurasia	130	121	97	80.17
konk1267	Konkan Marathi	Indo-European	Eurasia	180	161	129	80.12
dime1235	Dime	South Omotic	Africa	52	50	40	80
koya1251	Koya	Dravidian	Eurasia	137	129	103	79.84
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	143	114	79.72
orma1241	Orma	Afro-Asiatic	Africa	128	113	90	79.65
oriy1255	Odia	Indo-European	Eurasia	193	171	136	79.53
kota1263	Kota (India)	Dravidian	Eurasia	158	146	116	79.45
kuii1252	Kui (India)	Dravidian	Eurasia	113	101	80	79.21
tami1289	Tamil	Dravidian	Eurasia	195	173	137	79.19
pras1239	Prasun	Indo-European	Eurasia	93	91	72	79.12
dara1250	Darai	Indo-European	Eurasia	178	157	124	78.98
