Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	58	58	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
hani1248	Hani	Sino-Tibetan	Eurasia	186	147	141	95.92
akha1245	Akha	Sino-Tibetan	Eurasia	159	123	117	95.12
naxi1245	Naxi	Sino-Tibetan	Eurasia	132	107	101	94.39
enuu1235	Enu	Sino-Tibetan	Eurasia	193	150	141	94
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	148	138	93.24
lolo1259	Lolopo	Sino-Tibetan	Eurasia	186	146	136	93.15
pela1242	Pela	Sino-Tibetan	Eurasia	194	150	139	92.67
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	94	87	92.55
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	80	74	92.5
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	125	115	92
axiy1235	Axi Yi	Sino-Tibetan	Eurasia	166	136	125	91.91
acha1249	Longchuan Achang	Sino-Tibetan	Eurasia	191	148	136	91.89
chas1234	Chashan	Sino-Tibetan	Eurasia	169	133	122	91.73
kats1235	Katso	Sino-Tibetan	Eurasia	186	145	133	91.72
cosa1234	Cosao	Sino-Tibetan	Eurasia	194	150	137	91.33
kima1246	Kimaama	Kolopom	Papunesia	92	80	73	91.25
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	79	72	91.14
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	124	113	91.13
yinc1238	Yinchia	Austroasiatic	Eurasia	65	56	51	91.07
uuuu1243	U	Austroasiatic	Eurasia	139	109	99	90.83
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	141	128	90.78
sapu1248	Sapuan	Austroasiatic	Eurasia	152	130	118	90.77
maru1249	Maru	Sino-Tibetan	Eurasia	191	149	135	90.6
sani1269	Sani	Sino-Tibetan	Eurasia	168	138	125	90.58
lash1243	Lashi	Sino-Tibetan	Eurasia	188	147	133	90.48
tsat1238	Tsat	Austronesian	Eurasia	183	147	133	90.48
hala1252	Halang	Austroasiatic	Eurasia	82	73	66	90.41
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	125	113	90.4
mokl1243	Moklen	Austronesian	Eurasia	181	144	130	90.28
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	151	136	90.07
honi1244	Honi	Sino-Tibetan	Eurasia	165	140	126	90
thai1261	Thai	Tai-Kadai	Eurasia	101	80	72	90
laoo1244	Lao	Tai-Kadai	Eurasia	99	79	71	89.87
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	128	115	89.84
nort2732	Northern Tujia	Sino-Tibetan	Eurasia	190	147	132	89.8
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	145	130	89.66
boka1249	Bokar-Ramo	Sino-Tibetan	Eurasia	151	125	112	89.6
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	123	110	89.43
lipo1242	Lipo	Sino-Tibetan	Eurasia	192	149	133	89.26
xish1235	Xishanba Lalo	Sino-Tibetan	Eurasia	174	138	123	89.13
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	110	98	89.09
cent2314	Central Chong	Austroasiatic	Eurasia	187	144	128	88.89
huuu1240	Hu	Austroasiatic	Eurasia	175	143	127	88.81
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	151	134	88.74
ahom1240	Ahom	Tai-Kadai	Eurasia	178	142	126	88.73
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	142	126	88.73
west2650	Western Cham	Austronesian	Eurasia	151	124	110	88.71
lach1248	Lachi	Tai-Kadai	Eurasia	167	140	124	88.57
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	148	131	88.51
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	146	129	88.36
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	149	131	87.92
bang1369	Bangru	Sino-Tibetan	Eurasia	151	124	109	87.9
manm1238	Man Met	Austroasiatic	Eurasia	150	124	109	87.9
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	148	130	87.84
lave1249	Brao	Austroasiatic	Eurasia	122	106	93	87.74
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	145	127	87.59
aito1238	Aiton	Tai-Kadai	Eurasia	102	80	70	87.5
shee1238	She	Hmong-Mien	Eurasia	162	135	118	87.41
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	150	131	87.33
lave1248	Laven	Austroasiatic	Eurasia	180	142	124	87.32
alor1247	Alorese	Austronesian	Papunesia	168	134	117	87.31
blan1242	Blang	Austroasiatic	Eurasia	159	134	117	87.31
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	149	130	87.25
kuyy1240	Kuy	Austroasiatic	Eurasia	174	141	123	87.23
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	78	68	87.18
hlai1239	Hlai	Tai-Kadai	Eurasia	99	78	68	87.18
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	78	68	87.18
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	124	108	87.1
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	116	101	87.07
maon1241	Maonan	Tai-Kadai	Eurasia	94	77	67	87.01
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	146	127	86.99
phai1238	Prai	Austroasiatic	Eurasia	186	145	126	86.9
moke1242	Moken	Austronesian	Eurasia	171	137	119	86.86
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	46	86.79
hung1275	Hung	Austroasiatic	Eurasia	142	113	98	86.73
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	143	124	86.71
aheu1239	Thavung	Austroasiatic	Eurasia	192	150	130	86.67
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	150	130	86.67
naro1251	Narom	Austronesian	Papunesia	132	112	97	86.61
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	134	116	86.57
kimm1246	Kim	Atlantic-Congo	Africa	129	104	90	86.54
buga1247	Bugan	Austroasiatic	Eurasia	190	148	128	86.49
fonn1241	Fon	Atlantic-Congo	Africa	189	146	126	86.3
boly1239	Bolyu	Austroasiatic	Eurasia	166	138	119	86.23
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	138	119	86.23
phak1238	Phake	Tai-Kadai	Eurasia	101	79	68	86.08
tang1334	Tangut	Sino-Tibetan	Eurasia	151	122	105	86.07
bisu1244	Bisu	Sino-Tibetan	Eurasia	187	143	123	86.01
tomb1244	Tombonuo	Austronesian	Papunesia	136	114	98	85.96
rade1240	Rade	Austronesian	Eurasia	167	135	116	85.93
baba1267	Baba Malay	Austronesian	Eurasia	191	149	128	85.91
west2396	Western Lawa	Austroasiatic	Eurasia	190	149	128	85.91
mang1378	Mang	Austroasiatic	Eurasia	158	133	114	85.71
paco1243	Pacoh	Austroasiatic	Eurasia	188	147	126	85.71
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	146	125	85.62
khmu1256	Khmu	Austroasiatic	Eurasia	167	132	113	85.61
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	132	113	85.61
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	132	113	85.61
keoo1238	Kéo	Austronesian	Papunesia	187	145	124	85.52
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	145	124	85.52
salt1242	Salt-Yui	Nuclear Trans New Guinea	Papunesia	85	69	59	85.51
waro1242	Waropen	Austronesian	Papunesia	137	110	94	85.45
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	151	129	85.43
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	150	128	85.33
bolg1251	Bolgo	Atlantic-Congo	Africa	78	68	58	85.29
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	149	127	85.23
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	148	126	85.14
east2485	Eastern Penan	Austronesian	Papunesia	147	121	103	85.12
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	121	103	85.12
jalk1242	Jalkunan	Mande	Africa	172	140	119	85
mpii1239	Mpi	Sino-Tibetan	Eurasia	174	140	119	85
ndog1248	Ndogo	Atlantic-Congo	Africa	177	140	119	85
aoua1234	A'ou	Tai-Kadai	Eurasia	187	146	124	84.93
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	66	56	84.85
lara1260	Larantuka Malay	Austronesian	Papunesia	169	138	117	84.78
ngul1236	Nguluwan	Austronesian	Papunesia	56	46	39	84.78
tagw1240	Tagwana Senoufo	Atlantic-Congo	Africa	115	92	78	84.78
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	131	111	84.73
khan1274	Kháng	Austroasiatic	Eurasia	168	137	116	84.67
bitt1240	Bit	Austroasiatic	Eurasia	153	130	110	84.62
homa1239	Homa	Atlantic-Congo	Africa	14	13	11	84.62
koho1244	Koho	Austroasiatic	Eurasia	182	143	121	84.62
mann1248	Mann	Mande	Africa	124	104	88	84.62
sooo1254	Sô	Austroasiatic	Eurasia	176	143	121	84.62
oldm1242	Old Mon	Austroasiatic	Eurasia	171	136	115	84.56
bahn1262	Bahnar	Austroasiatic	Eurasia	117	97	82	84.54
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	122	103	84.43
biha1246	Bih	Austronesian	Eurasia	182	141	119	84.4
anuf1239	Anufo	Atlantic-Congo	Africa	162	128	108	84.38
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	121	102	84.3
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	146	123	84.25
haro1237	Haroi	Austronesian	Eurasia	95	82	69	84.15
pawa1255	Pawaia		Papunesia	110	94	79	84.04
lund1271	Lundayeh	Austronesian	Papunesia	141	119	100	84.03
arak1252	Araki	Austronesian	Papunesia	194	150	126	84
bawm1236	Bawm Chin	Sino-Tibetan	Eurasia	160	125	105	84
kupa1239	Kupang Malay	Austronesian	Papunesia	168	137	115	83.94
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	149	125	83.89
sing1264	Northern Jinghpaw	Sino-Tibetan	Eurasia	192	149	125	83.89
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	111	93	83.78
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	111	93	83.78
adon1237	Adonara	Austronesian	Papunesia	165	129	108	83.72
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	116	97	83.62
reng1252	Rengao	Austroasiatic	Eurasia	172	134	112	83.58
dana1252	Danau	Austroasiatic	Eurasia	179	140	117	83.57
seda1262	Sedang	Austroasiatic	Eurasia	178	140	117	83.57
lule1238	Lule		South America	146	115	96	83.48
chra1242	Chrau	Austroasiatic	Eurasia	166	133	111	83.46
para1301	South Wa	Austroasiatic	Eurasia	185	145	121	83.45
east2332	Eastern Bru	Austroasiatic	Eurasia	134	114	95	83.33
samb1305	Samba Leko	Atlantic-Congo	Africa	172	132	110	83.33
