Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
baba1266	Babanki	Atlantic-Congo	Africa	159	156	143	91.67
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
okuu1243	Oku	Atlantic-Congo	Africa	110	109	96	88.07
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	46	40	86.96
loba1239	Lobala	Atlantic-Congo	Africa	98	97	84	86.6
tsog1243	Tsogo	Atlantic-Congo	Africa	167	164	142	86.59
homa1239	Homa	Atlantic-Congo	Africa	14	14	12	85.71
koon1245	Koonzime	Atlantic-Congo	Africa	133	133	114	85.71
komc1235	Kom (Cameroon)	Atlantic-Congo	Africa	158	156	132	84.62
yasa1242	Yasa	Atlantic-Congo	Africa	101	101	85	84.16
nucl1460	Madurese	Austronesian	Papunesia	91	87	73	83.91
ndob1238	Ndobo	Atlantic-Congo	Africa	85	85	71	83.53
cori1240	Cori	Atlantic-Congo	Africa	139	138	115	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
jjuu1238	Jju	Atlantic-Congo	Africa	85	84	70	83.33
bolo1262	Boloki	Atlantic-Congo	Africa	144	141	117	82.98
hala1252	Halang	Austroasiatic	Eurasia	82	82	68	82.93
tswa1255	Tswa	Atlantic-Congo	Africa	162	158	131	82.91
abar1238	Mungbam	Atlantic-Congo	Africa	180	175	145	82.86
kolc1235	Kol (Cameroon)	Atlantic-Congo	Africa	170	168	139	82.74
bekw1242	Bekwil	Atlantic-Congo	Africa	100	98	81	82.65
bamu1253	Bamun	Atlantic-Congo	Africa	159	159	131	82.39
dual1243	Duala	Atlantic-Congo	Africa	138	136	112	82.35
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	130	107	82.31
bomk1234	Bom-Kim	Atlantic-Congo	Africa	140	139	114	82.01
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
meta1238	Meta'	Atlantic-Congo	Africa	159	154	126	81.82
java1254	Javanese	Austronesian	Papunesia	84	81	66	81.48
maka1304	Makaa	Atlantic-Congo	Africa	159	156	127	81.41
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	32	26	81.25
tune1261	Tunen	Atlantic-Congo	Africa	98	96	78	81.25
keme1240	Kemezung	Atlantic-Congo	Africa	135	133	108	81.2
aghe1239	Aghem	Atlantic-Congo	Africa	180	175	142	81.14
bebe1248	Bebele	Atlantic-Congo	Africa	184	180	146	81.11
noon1243	Noone	Atlantic-Congo	Africa	172	169	137	81.07
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	126	102	80.95
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	157	127	80.89
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	161	130	80.75
fare1241	Farefare	Atlantic-Congo	Africa	174	171	138	80.7
luse1252	Lusengo	Atlantic-Congo	Africa	131	129	104	80.62
tigo1236	Tigon Mbembe	Atlantic-Congo	Africa	173	169	136	80.47
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	138	111	80.43
ilaa1246	Ila	Atlantic-Congo	Africa	124	122	98	80.33
waja1259	Waja	Atlantic-Congo	Africa	133	132	106	80.3
lika1243	Liko	Atlantic-Congo	Africa	165	162	130	80.25
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	131	105	80.15
paas1238	Paasaal	Atlantic-Congo	Africa	186	181	145	80.11
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	145	116	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
yako1252	Yakoma	Atlantic-Congo	Africa	143	140	112	80
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	164	131	79.88
noku1237	Nokuku	Austronesian	Papunesia	156	153	122	79.74
mars1254	Marshallese	Austronesian	Papunesia	152	148	118	79.73
gese1240	Geser-Gorom	Austronesian	Papunesia	69	69	55	79.71
thai1261	Thai	Tai-Kadai	Eurasia	101	98	78	79.59
tivv1240	Tiv	Atlantic-Congo	Africa	110	107	85	79.44
hyam1245	Hyam	Atlantic-Congo	Africa	93	92	73	79.35
indo1316	Indonesian	Austronesian	Papunesia	96	92	73	79.35
