Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
homa1239	Homa	Atlantic-Congo	Africa	14	12	11	91.67
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	29	25	86.21
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	24	20	83.33
tsog1243	Tsogo	Atlantic-Congo	Africa	167	101	83	82.18
suku1261	Sukuma	Atlantic-Congo	Africa	128	83	68	81.93
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	22	18	81.82
ndob1238	Ndobo	Atlantic-Congo	Africa	85	60	49	81.67
cori1240	Cori	Atlantic-Congo	Africa	139	81	66	81.48
java1254	Javanese	Austronesian	Papunesia	84	54	44	81.48
koon1245	Koonzime	Atlantic-Congo	Africa	133	81	66	81.48
loba1239	Lobala	Atlantic-Congo	Africa	98	70	57	81.43
lika1243	Liko	Atlantic-Congo	Africa	165	86	70	81.4
belu1239	Belueli	Atlantic-Congo	Africa	73	64	52	81.25
jjuu1238	Jju	Atlantic-Congo	Africa	85	64	52	81.25
kaon1241	Kaonde	Atlantic-Congo	Africa	120	80	65	81.25
koro1298	Koromfé	Atlantic-Congo	Africa	191	104	84	80.77
timn1235	Timne	Atlantic-Congo	Africa	166	104	84	80.77
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	98	79	80.61
vunj1238	Vunjo	Atlantic-Congo	Africa	165	98	79	80.61
yasa1242	Yasa	Atlantic-Congo	Africa	101	77	62	80.52
gusi1247	Gusii	Atlantic-Congo	Africa	173	102	82	80.39
jita1239	Jita	Atlantic-Congo	Africa	75	51	41	80.39
bekw1242	Bekwil	Atlantic-Congo	Africa	100	70	56	80
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	85	68	80
kala1384	Kalanga	Atlantic-Congo	Africa	164	95	76	80
dual1243	Duala	Atlantic-Congo	Africa	138	83	66	79.52
meru1245	Meru	Atlantic-Congo	Africa	162	101	80	79.21
kagf1238	Ut-Main	Atlantic-Congo	Africa	86	48	38	79.17
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	48	38	79.17
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	81	64	79.01
suba1238	Suba	Atlantic-Congo	Africa	111	81	64	79.01
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	19	15	78.95
lito1235	Litoka	Atlantic-Congo	Africa	97	76	60	78.95
mpot1240	Mpoto	Atlantic-Congo	Africa	173	99	78	78.79
bamu1253	Bamun	Atlantic-Congo	Africa	159	94	74	78.72
bafu1246	Bafut	Atlantic-Congo	Africa	190	103	81	78.64
baba1266	Babanki	Atlantic-Congo	Africa	159	98	77	78.57
maba1270	Mabaale	Atlantic-Congo	Africa	118	84	66	78.57
tswa1255	Tswa	Atlantic-Congo	Africa	162	97	76	78.35
swah1253	Swahili	Atlantic-Congo	Africa	178	100	78	78
land1256	Landoma	Atlantic-Congo	Africa	137	86	67	77.91
cici1237	Cicipu	Atlantic-Congo	Africa	172	99	77	77.78
esim1238	Esimbi	Atlantic-Congo	Africa	154	99	77	77.78
noon1242	Noon	Atlantic-Congo	Africa	188	103	80	77.67
nyan1307	Nyankole	Atlantic-Congo	Africa	185	103	80	77.67
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	98	76	77.55
nati1243	Natioro	Atlantic-Congo	Africa	51	40	31	77.5
paaa1242	Pa'a	Afro-Asiatic	Africa	183	102	79	77.45
soga1242	Soga	Atlantic-Congo	Africa	181	102	79	77.45
teke1275	Latege	Atlantic-Congo	Africa	180	102	79	77.45
fipa1238	Fipa	Atlantic-Congo	Africa	120	84	65	77.38
lang1320	Langi	Atlantic-Congo	Africa	174	97	75	77.32
gand1255	Ganda	Atlantic-Congo	Africa	148	88	68	77.27
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	101	78	77.23
nyor1246	Nyoro	Atlantic-Congo	Africa	180	101	78	77.23
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	92	71	77.17
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	70	54	77.14
mong1338	Mongo	Atlantic-Congo	Africa	124	83	64	77.11
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	87	67	77.01
bush1247	Bushoong	Atlantic-Congo	Africa	184	100	77	77
gade1242	Gade	Atlantic-Congo	Africa	178	100	77	77
nila1242	Nilamba	Atlantic-Congo	Africa	162	100	77	77
supy1237	Supyire Senoufo	Atlantic-Congo	Africa	195	104	80	76.92
saga1262	Sagalla	Atlantic-Congo	Africa	152	95	73	76.84
dege1246	Degema	Atlantic-Congo	Africa	189	103	79	76.7
