Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	161	140	86.96
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	156	133	85.26
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	166	141	84.94
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	162	137	84.57
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
hunz1247	Hunzib	Nakh-Daghestanian	Eurasia	170	151	125	82.78
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	141	115	81.56
muth1236	Muthuvan	Dravidian	Eurasia	143	123	100	81.3
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	151	122	80.79
korr1238	Korra Koraga	Dravidian	Eurasia	133	118	95	80.51
poya1241	Poyanáwa	Pano-Tacanan	South America	50	41	33	80.49
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
khva1239	Khwarshi-Inkhoqwari	Nakh-Daghestanian	Eurasia	169	165	132	80
lakk1252	Lak	Nakh-Daghestanian	Eurasia	158	155	124	80
nonu1241	Nonuya	Huitotoan	South America	54	44	35	79.55
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	156	124	79.49
mari1414	Maria (India)	Dravidian	Eurasia	119	102	81	79.41
bezh1248	Bezhta	Nakh-Daghestanian	Eurasia	158	155	123	79.35
arch1244	Archi	Nakh-Daghestanian	Eurasia	148	145	115	79.31
nkor1239	Nkoroo	Ijoid	Africa	54	53	42	79.25
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	145	114	78.62
dime1235	Dime	South Omotic	Africa	52	51	40	78.43
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	143	112	78.32
duru1236	Duruwa	Dravidian	Eurasia	121	106	83	78.3
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	73	57	78.08
cogu1240	Cogui	Chibchan	South America	141	130	101	77.69
siri1274	Siriano	Tucanoan	South America	122	112	87	77.68
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	94	73	77.66
kada1242	Kadar	Dravidian	Eurasia	156	137	106	77.37
dizi1235	Dizin	Dizoid	Africa	57	53	41	77.36
mala1463	Malavedan	Dravidian	Eurasia	163	141	109	77.3
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	136	105	77.21
waim1253	Waimiri-Atroari	Cariban	South America	127	114	88	77.19
shol1240	Sholaga	Dravidian	Eurasia	172	148	114	77.03
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	69	53	76.81
kuii1252	Kui (India)	Dravidian	Eurasia	113	99	76	76.77
nepa1254	Nepali	Indo-European	Eurasia	162	142	109	76.76
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	146	112	76.71
mara1396	Mararit	Tamaic	Africa	92	81	62	76.54
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	81	62	76.54
tama1331	Tama (Chad)	Tamaic	Africa	139	119	91	76.47
dand1238	Dandami Maria	Dravidian	Eurasia	161	140	107	76.43
mill1237	Millcayac	Huarpean	South America	122	110	84	76.36
even1260	Even	Tungusic	Eurasia	141	139	106	76.26
telu1262	Telugu	Dravidian	Eurasia	127	109	83	76.15
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	138	105	76.09
beto1236	Betoi-Jirara		South America	130	112	85	75.89
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	87	66	75.86
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	95	72	75.79
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	144	109	75.69
siaw1243	Siawi	Amto-Musan	Papunesia	123	111	84	75.68
doma1260	Domaaki	Indo-European	Eurasia	144	123	93	75.61
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	127	96	75.59
daha1245	Dahalo	Afro-Asiatic	Africa	46	45	34	75.56
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	122	92	75.41
saur1249	Sauria Paharia	Dravidian	Eurasia	179	154	116	75.32
pano1255	Panobo	Pano-Tacanan	South America	163	141	106	75.18
tulu1258	Tulu	Dravidian	Eurasia	163	145	109	75.17
boro1277	Boro (Ethiopia)	Ta-Ne-Omotic	Africa	176	153	115	75.16
kota1263	Kota (India)	Dravidian	Eurasia	158	140	105	75
samo1303	Samo	East Strickland	Papunesia	44	40	30	75
tain1254	Taino	Arawakan	North America	4	4	3	75
even1259	Evenki	Tungusic	Eurasia	158	155	116	74.84
mudu1239	Muduga	Dravidian	Eurasia	161	147	110	74.83
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	168	125	74.4
toda1252	Toda	Dravidian	Eurasia	139	125	93	74.4
koit1244	Koitabu	Koiarian	Papunesia	168	148	110	74.32
kusu1250	Kusunda		Eurasia	173	148	110	74.32
garo1247	Garo	Sino-Tibetan	Eurasia	164	144	107	74.31
west2386	Western Panjabi	Indo-European	Eurasia	150	132	98	74.24
serr1255	Serrano	Uto-Aztecan	North America	183	159	118	74.21
burm1264	Burmeso		Papunesia	65	62	46	74.19
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	155	115	74.19
kuvi1243	Kuvi	Dravidian	Eurasia	103	93	69	74.19
brah1256	Brahui	Dravidian	Eurasia	151	147	109	74.15
bada1257	Badaga	Dravidian	Eurasia	127	112	83	74.11
mara1378	Marathi	Indo-European	Eurasia	190	166	123	74.1
waor1240	Waorani		South America	150	135	100	74.07
chen1255	Chenchu	Dravidian	Eurasia	180	158	117	74.05
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	146	108	73.97
suab1238	Suabo	Inanwatan	Papunesia	101	96	71	73.96
east2545	Eastern Pomo	Pomoan	North America	163	142	105	73.94
konk1267	Konkan Marathi	Indo-European	Eurasia	180	157	116	73.89
ndom1245	Ndom	Kolopom	Papunesia	74	65	48	73.85
capa1241	Capanahua	Pano-Tacanan	South America	171	149	110	73.83
chec1245	Chechen	Nakh-Daghestanian	Eurasia	168	164	121	73.78
buru1296	Burushaski		Eurasia	159	156	115	73.72
khak1248	Khakas	Turkic	Eurasia	170	152	112	73.68
ingu1240	Ingush	Nakh-Daghestanian	Eurasia	166	163	120	73.62
diga1241	Tawra	Sino-Tibetan	Eurasia	178	155	114	73.55
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	155	114	73.55
koya1251	Koya	Dravidian	Eurasia	137	117	86	73.5
nort2972	Northern Emberá	Chocoan	South America	167	162	119	73.46
bili1260	Bilin	Afro-Asiatic	Africa	157	139	102	73.38
chuv1255	Chuvash	Turkic	Eurasia	193	169	124	73.37
nort2690	Northern Uzbek	Turkic	Eurasia	193	169	124	73.37
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	150	110	73.33
east2773	Eastern Newari	Sino-Tibetan	Eurasia	190	165	121	73.33
suru1262	Suruí	Tupian	South America	18	15	11	73.33
sida1246	Sidamo	Afro-Asiatic	Africa	104	101	74	73.27
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	142	104	73.24
tuvi1240	Tuvinian	Turkic	Eurasia	154	134	98	73.13
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	141	103	73.05
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	152	111	73.03
hang1263	Hanga Hundi	Ndu	Papunesia	161	137	100	72.99
lamb1269	Lambadi	Indo-European	Eurasia	155	137	100	72.99
siri1273	Sirionó	Tupian	South America	169	148	108	72.97
west2415	Western Tamang	Sino-Tibetan	Eurasia	170	148	108	72.97
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	107	78	72.9
fuln1247	Fulniô		South America	177	155	113	72.9
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	129	94	72.87
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	70	51	72.86
chep1245	Chepang	Sino-Tibetan	Eurasia	163	143	104	72.73
dera1245	Dera (Indonesia)	Senagi	Papunesia	93	88	64	72.73
yona1241	Yonaguni	Japonic	Eurasia	164	143	104	72.73
orok1265	Orok	Tungusic	Eurasia	151	139	101	72.66
mala1464	Malayalam	Dravidian	Eurasia	192	168	122	72.62
dara1250	Darai	Indo-European	Eurasia	178	157	114	72.61
juan1238	Juang	Austroasiatic	Eurasia	150	146	106	72.6
sant1410	Santali	Austroasiatic	Eurasia	155	153	111	72.55
benc1235	Bench	Ta-Ne-Omotic	Africa	82	80	58	72.5
hrus1242	Hruso		Eurasia	89	80	58	72.5
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	149	108	72.48
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	149	108	72.48
nucl1305	Kannada	Dravidian	Eurasia	191	167	121	72.46
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	156	113	72.44
miga1249	Migaama	Afro-Asiatic	Africa	104	87	63	72.41
tami1289	Tamil	Dravidian	Eurasia	195	170	123	72.35
tele1256	Telefol	Nuclear Trans New Guinea	Papunesia	99	94	68	72.34
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	130	94	72.31
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	65	47	72.31
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	148	107	72.3
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	148	107	72.3
shor1247	Shor	Turkic	Eurasia	175	155	112	72.26
mido1240	Midob	Nubian	Africa	55	54	39	72.22
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	90	65	72.22
bund1253	Bundeli	Indo-European	Eurasia	173	151	109	72.19
lezg1247	Lezgian	Nakh-Daghestanian	Eurasia	194	169	122	72.19
nort2745	Northern Yukaghir	Yukaghir	Eurasia	191	169	122	72.19
amdo1237	Amdo Tibetan	Sino-Tibetan	Eurasia	177	158	114	72.15
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	122	88	72.13
nort2697	North Azerbaijani	Turkic	Eurasia	188	165	119	72.12
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	154	111	72.08
guru1261	Gurung	Sino-Tibetan	Eurasia	174	154	111	72.08
kiow1266	Kiowa	Kiowa-Tanoan	North America	177	154	111	72.08
kash1277	Kashmiri	Indo-European	Eurasia	184	161	116	72.05
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	143	103	72.03
awad1243	Awadhi	Indo-European	Eurasia	173	150	108	72
ngit1239	Ngiti	Central Sudanic	Africa	180	157	113	71.97
tsam1247	Tsamai	Afro-Asiatic	Africa	185	164	118	71.95
wanm1242	Wanman	Pama-Nyungan	Australia	132	114	82	71.93
moun1252	Mountain Koiali	Koiarian	Papunesia	168	146	105	71.92
cent2150	Central Tunebo	Chibchan	South America	159	153	110	71.9
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	153	110	71.9
limb1266	Limbu	Sino-Tibetan	Eurasia	140	121	87	71.9
maza1304	Mazagway	Afro-Asiatic	Africa	182	160	115	71.88
niha1238	Nihali		Eurasia	164	160	115	71.88
bata1285	Batanga	Atlantic-Congo	Africa	113	103	74	71.84
bira1253	Ongota		Africa	163	142	102	71.83
uruu1244	Uru	Uru-Chipaya	South America	170	149	107	71.81
