Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
limo1249	Limonese Creole	Indo-European	North America	143	97	92	94.85
berb1259	Berbice Creole Dutch	Indo-European	South America	170	101	92	91.09
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
nica1252	Nicaragua Creole English	Indo-European	North America	157	100	90	90
arig1246	Arigidi	Atlantic-Congo	Africa	142	92	82	89.13
jama1262	Jamaican Creole English	Indo-European	North America	157	101	89	88.12
sana1297	San Andres Creole English	Indo-European	North America	168	101	89	88.12
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	7	6	85.71
mund1326	Mündü	Atlantic-Congo	Africa	120	69	59	85.51
beli1260	Belize Kriol English	Indo-European	North America	130	99	84	84.85
piap1246	Piapoco	Arawakan	South America	59	33	28	84.85
jehh1245	Jeh	Austroasiatic	Eurasia	139	78	66	84.62
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	102	86	84.31
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	95	80	84.21
laoo1244	Lao	Tai-Kadai	Eurasia	99	57	48	84.21
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	101	85	84.16
defa1248	Defaka	Ijoid	Africa	75	50	42	84
tokp1240	Tok Pisin	Indo-European	Papunesia	184	98	82	83.67
huas1242	Huastec	Mayan	North America	176	97	81	83.51
shee1238	She	Hmong-Mien	Eurasia	162	97	81	83.51
cuaa1241	Cua	Austroasiatic	Eurasia	8	6	5	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
piji1239	Pijin	Indo-European	Papunesia	154	84	70	83.33
chek1238	Cheke Holo	Austronesian	Papunesia	167	95	79	83.16
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	71	59	83.1
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	47	39	82.98
mban1263	Mbandja	Atlantic-Congo	Africa	162	88	73	82.95
busa1253	Busa	Mande	Africa	171	99	82	82.83
anuf1239	Anufo	Atlantic-Congo	Africa	162	93	77	82.8
jara1266	Jarai	Austronesian	Eurasia	156	93	77	82.8
mang1403	Mangseng	Austronesian	Papunesia	165	93	77	82.8
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	87	72	82.76
yako1252	Yakoma	Atlantic-Congo	Africa	143	92	76	82.61
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	74	61	82.43
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	91	75	82.42
aros1241	Arosi	Austronesian	Papunesia	141	85	70	82.35
