Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bwat1240	Bwatoo	Austronesian	Papunesia	188	150	124	82.67
nyal1254	Belep	Austronesian	Papunesia	180	145	119	82.07
kuma1276	Nêlêmwa-Nixumwak	Austronesian	Papunesia	189	150	123	82
neng1238	Nengone	Austronesian	Papunesia	169	144	117	81.25
ajie1238	Ajië	Austronesian	Papunesia	149	127	103	81.1
siar1238	Siar-Lak	Austronesian	Papunesia	87	73	59	80.82
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	92	74	80.43
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	132	106	80.3
ulit1238	Ulithian	Austronesian	Papunesia	177	146	117	80.14
west2516	West Uvean	Austronesian	Papunesia	189	150	120	80
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	94	75	79.79
orow1242	Orowe	Austronesian	Papunesia	160	133	106	79.7
caac1237	Caac	Austronesian	Papunesia	151	128	102	79.69
labe1239	Label	Austronesian	Papunesia	70	64	51	79.69
cebu1242	Cebuano	Austronesian	Papunesia	84	68	54	79.41
gela1263	Gela	Austronesian	Papunesia	181	144	114	79.17
dehu1237	Dehu	Austronesian	Papunesia	150	115	91	79.13
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	90	71	78.89
pulu1242	Puluwatese	Austronesian	Papunesia	166	137	108	78.83
tang1348	Tangga	Austronesian	Papunesia	140	118	93	78.81
niue1239	Niuean	Austronesian	Papunesia	137	117	92	78.63
cemu1238	Cemuhî	Austronesian	Papunesia	180	149	117	78.52
ngul1236	Nguluwan	Austronesian	Papunesia	56	51	40	78.43
kuan1248	Kuanua	Austronesian	Papunesia	174	138	108	78.26
mang1401	Mangareva	Austronesian	Papunesia	173	142	111	78.17
wall1257	East Uvean	Austronesian	Papunesia	189	151	118	78.15
labo1244	Ninde	Austronesian	Papunesia	122	105	82	78.1
mini1251	Minigir	Austronesian	Papunesia	178	141	110	78.01
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	50	39	78
sons1242	Sonsorol	Austronesian	Papunesia	181	145	113	77.93
bera1262	Berau Malay	Austronesian	Papunesia	11	9	7	77.78
kwai1243	Kwaio	Austronesian	Papunesia	191	151	117	77.48
oroh1237	Oroha	Austronesian	Papunesia	118	102	79	77.45
rovi1238	Roviana	Austronesian	Papunesia	161	133	103	77.44
gada1258	Ga'dang	Austronesian	Papunesia	70	62	48	77.42
east2332	Eastern Bru	Austroasiatic	Eurasia	134	115	89	77.39
xara1244	Xârâcùù	Austronesian	Papunesia	189	150	116	77.33
bara1370	Baram Kayan	Austronesian	Papunesia	143	119	92	77.31
mama1275	Mamanwa	Austronesian	Papunesia	149	119	92	77.31
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	119	92	77.31
tomb1244	Tombonuo	Austronesian	Papunesia	136	114	88	77.19
cent1990	Central Nicobarese	Austroasiatic	Eurasia	169	135	104	77.04
ghar1239	Ghari	Austronesian	Papunesia	151	126	97	76.98
wala1266	Wala	Austronesian	Papunesia	150	126	97	76.98
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	104	80	76.92
kana1286	Kanakanavu	Austronesian	Papunesia	147	124	95	76.61
hili1240	Hiligaynon	Austronesian	Papunesia	77	64	49	76.56
mota1237	Mota	Austronesian	Papunesia	107	81	62	76.54
tiri1258	Tiri-Mea	Austronesian	Papunesia	188	149	114	76.51
reja1241	Rejang Kayan	Austronesian	Papunesia	140	119	91	76.47
surs1246	Sursurunga	Austronesian	Papunesia	159	136	104	76.47
saaa1240	Sa'a	Austronesian	Papunesia	145	123	94	76.42
vure1239	Vurës	Austronesian	Papunesia	194	152	116	76.32
bunu1267	Bunun	Austronesian	Papunesia	74	59	45	76.27
seim1238	Seimat	Austronesian	Papunesia	192	151	115	76.16
lihi1237	Lihir	Austronesian	Papunesia	143	117	89	76.07
gayo1244	Gayo	Austronesian	Papunesia	193	150	114	76
jeha1242	Jehai	Austroasiatic	Eurasia	162	129	98	75.97
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	129	98	75.97
lotu1250	Lotud	Austronesian	Papunesia	132	108	82	75.93
mang1403	Mangseng	Austronesian	Papunesia	165	137	104	75.91
hawa1245	Hawaiian	Austronesian	Papunesia	181	144	109	75.69
toab1237	To'abaita	Austronesian	Papunesia	193	152	115	75.66
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	135	102	75.56
maor1246	Maori	Austronesian	Papunesia	191	151	114	75.5
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	114	86	75.44
sisi1250	Sisiqa	Austronesian	Papunesia	71	61	46	75.41
wole1240	Woleaian	Austronesian	Papunesia	145	126	95	75.4
zaba1237	Zabana	Austronesian	Papunesia	163	134	101	75.37
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	142	107	75.35
pala1344	Palauan	Austronesian	Papunesia	184	146	110	75.34
ughe1237	Ughele	Austronesian	Papunesia	182	146	110	75.34
chek1238	Cheke Holo	Austronesian	Papunesia	167	137	103	75.18
hoav1238	Hoava	Austronesian	Papunesia	176	141	106	75.18
kaga1256	Kagayanen	Austronesian	Papunesia	167	137	103	75.18
bugh1239	Bughotu	Austronesian	Papunesia	131	116	87	75
east1236	Eastern Katu	Austroasiatic	Eurasia	106	88	66	75
