Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
bomb1262	Bomboma	Atlantic-Congo	Africa	119	94	91	96.81
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	67	63	94.03
ndob1238	Ndobo	Atlantic-Congo	Africa	85	78	73	93.59
belu1239	Belueli	Atlantic-Congo	Africa	73	55	51	92.73
temb1272	Motembo-Kunda	Atlantic-Congo	Africa	105	96	89	92.71
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	95	88	92.63
liki1240	Balobo	Atlantic-Congo	Africa	99	94	87	92.55
elip1238	Elip	Atlantic-Congo	Africa	111	79	73	92.41
lito1235	Litoka	Atlantic-Congo	Africa	97	90	83	92.22
lumb1249	Lumbu	Atlantic-Congo	Africa	146	86	79	91.86
maba1270	Mabaale	Atlantic-Congo	Africa	118	97	89	91.75
zamb1245	Zamba	Atlantic-Congo	Africa	152	96	88	91.67
bond1247	Bondei	Atlantic-Congo	Africa	151	94	86	91.49
vunj1238	Vunjo	Atlantic-Congo	Africa	165	94	86	91.49
loba1239	Lobala	Atlantic-Congo	Africa	98	81	74	91.36
mbol1247	Mbole	Atlantic-Congo	Africa	89	57	52	91.23
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	91	83	91.21
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	79	72	91.14
bong1284	Bongili	Atlantic-Congo	Africa	102	90	82	91.11
hehe1240	Hehe	Atlantic-Congo	Africa	144	90	82	91.11
gusi1247	Gusii	Atlantic-Congo	Africa	173	99	90	90.91
bush1247	Bushoong	Atlantic-Congo	Africa	184	98	89	90.82
lika1243	Liko	Atlantic-Congo	Africa	165	98	89	90.82
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	54	49	90.74
sham1280	Shambala	Atlantic-Congo	Africa	118	75	68	90.67
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	96	87	90.62
tswa1253	Tswana	Atlantic-Congo	Africa	178	96	87	90.62
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	91	82	90.11
koti1238	Koti	Atlantic-Congo	Africa	182	99	89	89.9
nyor1246	Nyoro	Atlantic-Congo	Africa	180	99	89	89.9
mong1338	Mongo	Atlantic-Congo	Africa	124	98	88	89.8
zinz1238	Zinza	Atlantic-Congo	Africa	106	68	61	89.71
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	97	87	89.69
budz1238	Budza	Atlantic-Congo	Africa	166	96	86	89.58
tien1242	Tiene	Atlantic-Congo	Africa	126	86	77	89.53
yaoo1241	Yao	Atlantic-Congo	Africa	137	86	77	89.53
maka1304	Makaa	Atlantic-Congo	Africa	159	95	85	89.47
makw1236	Makwe	Atlantic-Congo	Africa	86	66	59	89.39
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	93	83	89.25
chig1238	Chiga	Atlantic-Congo	Africa	95	65	58	89.23
yasa1242	Yasa	Atlantic-Congo	Africa	101	65	58	89.23
libi1244	Libinza	Atlantic-Congo	Africa	134	92	82	89.13
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	92	82	89.13
here1253	Herero	Atlantic-Congo	Africa	187	101	90	89.11
gwen1239	Gweno	Atlantic-Congo	Africa	135	82	73	89.02
makh1264	Makhuwa	Atlantic-Congo	Africa	168	91	81	89.01
orok1266	Oroko	Atlantic-Congo	Africa	139	89	79	88.76
kala1384	Kalanga	Atlantic-Congo	Africa	164	97	86	88.66
lund1266	Lunda	Atlantic-Congo	Africa	150	96	85	88.54
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	95	84	88.42
bolo1262	Boloki	Atlantic-Congo	Africa	144	102	90	88.24
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	67	59	88.06
beem1239	Beembe	Atlantic-Congo	Africa	144	92	81	88.04
jita1239	Jita	Atlantic-Congo	Africa	75	50	44	88
bang1354	Bobangi	Atlantic-Congo	Africa	151	99	87	87.88
gand1255	Ganda	Atlantic-Congo	Africa	148	99	87	87.88
bafi1243	Bafia	Atlantic-Congo	Africa	173	98	86	87.76
lamb1272	Lambya	Atlantic-Congo	Africa	132	81	71	87.65
pang1287	Pangwa	Atlantic-Congo	Africa	167	97	85	87.63
lang1320	Langi	Atlantic-Congo	Africa	174	96	84	87.5
mwan1247	Mwani	Atlantic-Congo	Africa	157	96	84	87.5
nila1242	Nilamba	Atlantic-Congo	Africa	162	96	84	87.5
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	40	35	87.5
konz1239	Konzo	Atlantic-Congo	Africa	133	87	76	87.36
shon1251	Shona	Atlantic-Congo	Africa	182	102	89	87.25
ndam1251	Ndam	Afro-Asiatic	Africa	41	31	27	87.1
tote1238	Totela	Atlantic-Congo	Africa	161	93	81	87.1
gyel1242	Gyele	Atlantic-Congo	Africa	190	100	87	87
nyan1307	Nyankole	Atlantic-Congo	Africa	185	100	87	87
pagi1243	Pagibete	Atlantic-Congo	Africa	170	100	87	87
mako1251	Makonde	Atlantic-Congo	Africa	164	98	85	86.73
bila1255	Bila	Atlantic-Congo	Africa	134	90	78	86.67
buku1249	Bukusu	Atlantic-Congo	Africa	52	45	39	86.67
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	97	84	86.6
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	97	84	86.6
thar1283	Tharaka	Atlantic-Congo	Africa	101	67	58	86.57
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	52	45	86.54
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	95	82	86.32
swah1253	Swahili	Atlantic-Congo	Africa	178	95	82	86.32
eton1253	Eton-Mengisa	Atlantic-Congo	Africa	115	73	63	86.3
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	102	88	86.27
kagu1239	Kagulu	Atlantic-Congo	Africa	186	101	87	86.14
luse1252	Lusengo	Atlantic-Congo	Africa	131	101	87	86.14
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	93	80	86.02
giry1241	Giryama	Atlantic-Congo	Africa	83	50	43	86
nden1248	Ndengereko	Atlantic-Congo	Africa	88	64	55	85.94
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	64	55	85.94
osam1235	Osamayi	Atlantic-Congo	Africa	105	71	61	85.92
suba1238	Suba	Atlantic-Congo	Africa	111	85	73	85.88
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	92	79	85.87
cori1240	Cori	Atlantic-Congo	Africa	139	84	72	85.71
luya1241	Luyi	Atlantic-Congo	Africa	172	98	84	85.71
tswa1255	Tswa	Atlantic-Congo	Africa	162	97	83	85.57
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	48	41	85.42
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	82	70	85.37
saam1283	Saamia	Atlantic-Congo	Africa	134	75	64	85.33
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	75	64	85.33
ling1263	Kinshasa Lingala	Atlantic-Congo	Africa	75	54	46	85.19
haaa1252	Ha	Atlantic-Congo	Africa	187	99	84	84.85
soga1242	Soga	Atlantic-Congo	Africa	181	99	84	84.85
suku1261	Sukuma	Atlantic-Congo	Africa	128	79	67	84.81
