Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
apol1242	Apolista	Arawakan	South America	14	13	12	92.31
sara1331	Saraveca	Arawakan	South America	19	17	15	88.24
cham1318	Chamicuro	Arawakan	South America	54	50	43	86
isla1278	Island Carib	Arawakan	North America	85	75	62	82.67
asha1243	Asháninka	Arawakan	South America	91	79	65	82.28
wayu1243	Wayuu	Arawakan	South America	117	79	65	82.28
noma1263	Nomatsiguenga	Arawakan	South America	96	84	68	80.95
acha1250	Achagua	Arawakan	South America	124	83	67	80.72
gari1256	Garifuna	Arawakan	North America	80	72	58	80.56
waur1244	Waurá	Arawakan	South America	86	76	60	78.95
curr1243	Curripaco	Arawakan	South America	101	85	67	78.82
yane1238	Yanesha'	Arawakan	South America	114	73	57	78.08
guar1293	Baniva de Maroa	Arawakan	South America	101	85	66	77.65
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	44	34	77.27
igna1246	Ignaciano	Arawakan	South America	91	79	61	77.22
yavi1244	Yavitero-Pareni	Arawakan	South America	117	81	62	76.54
apur1254	Apurinã	Arawakan	South America	155	77	58	75.32
maco1239	Maco	Saliban	South America	163	81	61	75.31
baur1253	Baure	Arawakan	South America	168	80	60	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
ngur1261	Wilson River (Grey Range)	Pama-Nyungan	Australia	29	16	12	75
mach1267	Machiguenga	Arawakan	South America	96	83	62	74.7
muth1236	Muthuvan	Dravidian	Eurasia	143	65	48	73.85
dime1235	Dime	South Omotic	Africa	52	37	27	72.97
rita1239	Ritarungo	Pama-Nyungan	Australia	93	74	54	72.97
yine1238	Yine	Arawakan	South America	91	77	56	72.73
wapi1253	Wapishana	Arawakan	South America	86	73	53	72.6
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	83	60	72.29
tata1255	Tatar	Turkic	Eurasia	176	79	57	72.15
araw1276	Lokono	Arawakan	South America	136	75	54	72
piap1246	Piapoco	Arawakan	South America	59	25	18	72
resi1247	Resígaro	Arawakan	South America	83	75	54	72
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	7	5	71.43
sida1246	Sidamo	Afro-Asiatic	Africa	104	66	47	71.21
paun1241	Paunaka	Arawakan	South America	99	83	59	71.08
shor1247	Shor	Turkic	Eurasia	175	83	59	71.08
bash1264	Bashkir	Turkic	Eurasia	161	69	49	71.01
bare1276	Baré	Arawakan	South America	117	79	56	70.89
yagu1244	Yagua	Peba-Yagua	South America	170	79	56	70.89
cofa1242	Cofán		South America	137	65	46	70.77
tulu1258	Tulu	Dravidian	Eurasia	163	75	53	70.67
kuii1252	Kui (India)	Dravidian	Eurasia	113	61	43	70.49
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	71	50	70.42
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	84	59	70.24
yaku1245	Sakha	Turkic	Eurasia	190	84	59	70.24
pich1237	Pichis Ashéninka	Arawakan	South America	148	67	47	70.15
omii1238	Omi	Central Sudanic	Africa	18	10	7	70
orok1265	Orok	Tungusic	Eurasia	151	70	49	70
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	73	51	69.86
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	76	53	69.74
cacu1241	Kakua	Kakua-Nukak	South America	168	76	53	69.74
iton1250	Itonama		South America	170	79	55	69.62
ngan1295	Ngandi	Gunwinyguan	Australia	95	79	55	69.62
nana1257	Nanai	Tungusic	Eurasia	195	85	59	69.41
pare1272	Parecís	Arawakan	South America	144	75	52	69.33
quil1240	Quileute	Chimakuan	North America	165	75	52	69.33
kota1263	Kota (India)	Dravidian	Eurasia	158	78	54	69.23
saur1249	Sauria Paharia	Dravidian	Eurasia	179	81	56	69.14
cogu1240	Cogui	Chibchan	South America	141	68	47	69.12
trin1274	Trinitario-Javeriano-Loretano	Arawakan	South America	146	71	49	69.01
