Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	53	45	84.91
saar1237	Saaroa	Austronesian	Papunesia	192	92	78	84.78
idaa1241	Ida'an	Austronesian	Papunesia	93	87	72	82.76
mang1405	Manggarai	Austronesian	Papunesia	168	86	71	82.56
kens1248	Kensiu	Austroasiatic	Eurasia	164	82	67	81.71
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	82	67	81.71
kemb1249	Mateq	Austronesian	Papunesia	195	92	75	81.52
thao1240	Thao	Austronesian	Papunesia	170	84	68	80.95
lund1271	Lundayeh	Austronesian	Papunesia	141	78	63	80.77
kwai1243	Kwaio	Austronesian	Papunesia	191	92	74	80.43
seda1262	Sedang	Austroasiatic	Eurasia	178	81	65	80.25
lave1248	Laven	Austroasiatic	Eurasia	180	90	72	80
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	90	72	80
paco1243	Pacoh	Austroasiatic	Eurasia	188	89	71	79.78
sooo1254	Sô	Austroasiatic	Eurasia	176	84	67	79.76
anut1237	Anuta	Austronesian	Papunesia	153	79	63	79.75
tomb1244	Tombonuo	Austronesian	Papunesia	136	74	59	79.73
chek1238	Cheke Holo	Austronesian	Papunesia	167	83	66	79.52
lara1260	Larantuka Malay	Austronesian	Papunesia	169	83	66	79.52
ajie1238	Ajië	Austronesian	Papunesia	149	78	62	79.49
east2332	Eastern Bru	Austroasiatic	Eurasia	134	68	54	79.41
gayo1244	Gayo	Austronesian	Papunesia	193	92	73	79.35
agus1235	Agusan Manobo	Austronesian	Papunesia	103	58	46	79.31
khmu1256	Khmu	Austroasiatic	Eurasia	167	87	69	79.31
sasa1249	Sasak	Austronesian	Papunesia	150	87	69	79.31
naro1251	Narom	Austronesian	Papunesia	132	72	57	79.17
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	72	57	79.17
achi1257	Acehnese	Austronesian	Papunesia	192	91	72	79.12
tern1247	Ternate	North Halmahera	Papunesia	190	91	72	79.12
dumb1241	Dumbea	Austronesian	Papunesia	173	86	68	79.07
oldm1242	Old Mon	Austroasiatic	Eurasia	171	81	64	79.01
east1236	Eastern Katu	Austroasiatic	Eurasia	106	57	45	78.95
iran1262	Iranun	Austronesian	Papunesia	138	76	60	78.95
