Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
sana1297	San Andres Creole English	Indo-European	North America	168	126	117	92.86
nica1252	Nicaragua Creole English	Indo-European	North America	157	127	117	92.13
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
piji1239	Pijin	Indo-European	Papunesia	154	108	97	89.81
hlai1239	Hlai	Tai-Kadai	Eurasia	99	77	69	89.61
hala1252	Halang	Austroasiatic	Eurasia	82	56	50	89.29
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
jama1262	Jamaican Creole English	Indo-European	North America	157	125	111	88.8
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	77	68	88.31
limo1249	Limonese Creole	Indo-European	North America	143	117	103	88.03
ngul1236	Nguluwan	Austronesian	Papunesia	56	41	36	87.8
maon1241	Maonan	Tai-Kadai	Eurasia	94	73	64	87.67
shee1238	She	Hmong-Mien	Eurasia	162	119	104	87.39
kimm1246	Kim	Atlantic-Congo	Africa	129	105	91	86.67
arig1246	Arigidi	Atlantic-Congo	Africa	142	112	97	86.61
saba1263	Sabah Malay	Austronesian	Papunesia	182	127	110	86.61
uuuu1243	U	Austroasiatic	Eurasia	139	96	83	86.46
hait1244	Haitian	Indo-European	North America	180	124	107	86.29
west2650	Western Cham	Austronesian	Eurasia	151	109	94	86.24
mang1378	Mang	Austroasiatic	Eurasia	158	116	100	86.21
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	79	68	86.08
rere1240	Rerep	Austronesian	Papunesia	147	100	86	86
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	107	92	85.98
berb1259	Berbice Creole Dutch	Indo-European	South America	170	128	110	85.94
laoo1244	Lao	Tai-Kadai	Eurasia	99	78	67	85.9
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	78	67	85.9
jehh1245	Jeh	Austroasiatic	Eurasia	139	91	78	85.71
esan1238	Esan	Atlantic-Congo	Africa	123	97	83	85.57
chek1238	Cheke Holo	Austronesian	Papunesia	167	117	100	85.47
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	129	110	85.27
sooo1254	Sô	Austroasiatic	Eurasia	176	122	104	85.25
aito1238	Aiton	Tai-Kadai	Eurasia	102	80	68	85
huuu1240	Hu	Austroasiatic	Eurasia	175	119	101	84.87
baha1260	Bahamas Creole English	Indo-European	North America	103	99	84	84.85
phak1238	Phake	Tai-Kadai	Eurasia	101	79	67	84.81
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	118	100	84.75
monn1252	Mon	Austroasiatic	Eurasia	91	72	61	84.72
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	13	11	84.62
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	65	55	84.62
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	110	93	84.55
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	116	98	84.48
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	103	87	84.47
lach1248	Lachi	Tai-Kadai	Eurasia	167	122	103	84.43
sara1340	Saramaccan	Indo-European	South America	183	122	103	84.43
samb1305	Samba Leko	Atlantic-Congo	Africa	172	120	101	84.17
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	126	106	84.13
aoua1234	A'ou	Tai-Kadai	Eurasia	187	126	106	84.13
boly1239	Bolyu	Austroasiatic	Eurasia	166	119	100	84.03
sani1269	Sani	Sino-Tibetan	Eurasia	168	118	99	83.9
tokp1240	Tok Pisin	Indo-European	Papunesia	184	124	104	83.87
aros1241	Arosi	Austronesian	Papunesia	141	105	88	83.81
mort1237	Mortlockese	Austronesian	Papunesia	141	117	98	83.76
kuyy1240	Kuy	Austroasiatic	Eurasia	174	123	103	83.74
mans1260	Mansim	Hatam-Mansim	Papunesia	71	55	46	83.64
sapu1248	Sapuan	Austroasiatic	Eurasia	152	116	97	83.62
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	122	102	83.61
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	128	107	83.59
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	128	107	83.59
fonn1241	Fon	Atlantic-Congo	Africa	189	128	107	83.59
haro1237	Haroi	Austronesian	Eurasia	95	73	61	83.56
thai1261	Thai	Tai-Kadai	Eurasia	101	79	66	83.54
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	79	66	83.54
mund1326	Mündü	Atlantic-Congo	Africa	120	85	71	83.53
cent1989	Central Khmer	Austroasiatic	Eurasia	177	121	101	83.47
keoo1238	Kéo	Austronesian	Papunesia	187	125	104	83.2
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	118	98	83.05
tang1347	Movono	Austronesian	Papunesia	159	118	98	83.05
jara1266	Jarai	Austronesian	Eurasia	156	112	93	83.04
aheu1239	Thavung	Austroasiatic	Eurasia	192	129	107	82.95
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	129	107	82.95
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	129	107	82.95
east2563	Eastern Cham	Austronesian	Eurasia	92	70	58	82.86
siar1238	Siar-Lak	Austronesian	Papunesia	87	70	58	82.86
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	64	53	82.81
adon1237	Adonara	Austronesian	Papunesia	165	122	101	82.79
biha1246	Bih	Austronesian	Eurasia	182	122	101	82.79
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	98	81	82.65
juku1254	Jukun Takum	Atlantic-Congo	Africa	187	126	104	82.54
tsat1238	Tsat	Austronesian	Eurasia	183	126	104	82.54
koyr1242	Koyraboro Senni Songhai	Songhay	Africa	168	120	99	82.5
ndog1248	Ndogo	Atlantic-Congo	Africa	177	120	99	82.5
waim1252	Waima'a	Austronesian	Papunesia	144	114	94	82.46
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	108	89	82.41
nort2994	Northern Roglai	Austronesian	Eurasia	90	68	56	82.35
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	130	107	82.31
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	130	107	82.31
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	130	107	82.31
mokl1243	Moklen	Austronesian	Eurasia	181	124	102	82.26
bahn1262	Bahnar	Austroasiatic	Eurasia	117	95	78	82.11
baba1267	Baba Malay	Austronesian	Eurasia	191	128	105	82.03
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	128	105	82.03
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	128	105	82.03
bara1370	Baram Kayan	Austronesian	Papunesia	143	111	91	81.98
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	111	91	81.98
lave1249	Brao	Austroasiatic	Eurasia	122	94	77	81.91
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	127	104	81.89
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	127	104	81.89
khan1274	Kháng	Austroasiatic	Eurasia	168	121	99	81.82
leme1238	Lemerig	Austronesian	Papunesia	164	115	94	81.74
bang1363	Bangime		Africa	127	104	85	81.73
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	49	40	81.63
bini1246	Bini	Atlantic-Congo	Africa	177	125	102	81.6
yako1252	Yakoma	Atlantic-Congo	Africa	143	103	84	81.55
bitt1240	Bit	Austroasiatic	Eurasia	153	113	92	81.42
manm1238	Man Met	Austroasiatic	Eurasia	150	113	92	81.42
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	129	105	81.4
oldm1243	Old Malay	Austronesian	Papunesia	119	86	70	81.4
tiga1245	Tigak	Austronesian	Papunesia	171	118	96	81.36
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	118	96	81.36
tagw1240	Tagwana Senoufo	Atlantic-Congo	Africa	115	91	74	81.32
naue1237	Nauete	Austronesian	Papunesia	183	123	100	81.3
anuf1239	Anufo	Atlantic-Congo	Africa	162	117	95	81.2
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	122	99	81.15
buga1247	Bugan	Austroasiatic	Eurasia	190	127	103	81.1
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	127	103	81.1
