Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
suru1262	Suruí	Tupian	South America	18	12	10	83.33
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	31	25	80.65
gale1259	Galela	North Halmahera	Papunesia	143	77	60	77.92
nyun1247	Nyunga	Pama-Nyungan	Australia	26	18	14	77.78
sina1266	Sinaugoro	Austronesian	Papunesia	192	102	79	77.45
sout2949	Southern Kiwai	Kiwaian	Papunesia	89	89	68	76.4
mera1242	Meramera	Austronesian	Papunesia	54	54	41	75.93
umbu1235	Umbugarla		Australia	126	70	53	75.71
madi1260	Ma'di	Central Sudanic	Africa	185	94	71	75.53
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	53	40	75.47
wadj1254	Wadjiginy		Australia	141	85	64	75.29
mono1275	Mono (USA)	Uto-Aztecan	North America	161	89	67	75.28
gali1262	Galibi Carib	Cariban	South America	173	93	70	75.27
keap1239	Keapara	Austronesian	Papunesia	174	93	70	75.27
geme1244	Geme	Atlantic-Congo	Africa	6	4	3	75
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	3	75
tain1254	Taino	Arawakan	North America	4	4	3	75
tusc1257	Tuscarora	Iroquoian	North America	158	88	66	75
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	28	21	75
karo1304	Karok		North America	164	99	74	74.75
haaa1252	Ha	Atlantic-Congo	Africa	187	95	71	74.74
motu1246	Motu	Austronesian	Papunesia	160	90	67	74.44
cham1318	Chamicuro	Arawakan	South America	54	54	40	74.07
gamb1251	Gambera	Worrorran	Australia	129	81	60	74.07
miwa1242	Miwa	Worrorran	Australia	130	81	60	74.07
siks1238	Siksika	Algic	North America	162	94	69	73.4
uruu1244	Uru	Uru-Chipaya	South America	170	94	69	73.4
poya1241	Poyanáwa	Pano-Tacanan	South America	50	26	19	73.08
wila1240	Wilawila	Worrorran	Australia	127	78	57	73.08
pich1237	Pichis Ashéninka	Arawakan	South America	148	74	54	72.97
kwin1241	Kwini	Worrorran	Australia	160	85	62	72.94
nyul1247	Nyulnyul	Nyulnyulan	Australia	159	85	62	72.94
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	81	59	72.84
sout2782	South Fali	Atlantic-Congo	Africa	177	92	67	72.83
iqui1243	Iquito	Zaparoan	South America	116	77	56	72.73
mono1273	Mono-Alu	Austronesian	Papunesia	111	66	48	72.73
yaki1237	Northwest Sahaptin	Sahaptian	North America	187	99	72	72.73
yawa1261	Yawalapití	Arawakan	South America	58	33	24	72.73
marg1253	Margany	Pama-Nyungan	Australia	144	87	63	72.41
wash1253	Washo		North America	152	87	63	72.41
agut1237	Agutaynen	Austronesian	Papunesia	161	94	68	72.34
lara1258	Laragia		Australia	108	72	52	72.22
murr1258	Murriny Patha	Southern Daly	Australia	97	97	70	72.16
awab1243	Awabakal	Pama-Nyungan	Australia	67	43	31	72.09
kumb1268	Kumbainggar	Pama-Nyungan	Australia	192	100	72	72
saam1283	Saamia	Atlantic-Congo	Africa	134	82	59	71.95
kung1259	Kungarakany		Australia	82	57	41	71.93
abad1241	Abadi	Austronesian	Papunesia	118	64	46	71.88
piap1246	Piapoco	Arawakan	South America	59	32	23	71.88
sene1264	Seneca	Iroquoian	North America	174	96	69	71.88
magu1243	Maguindanao	Austronesian	Papunesia	129	71	51	71.83
taba1263	Tabaru	North Halmahera	Papunesia	176	99	71	71.72
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	81	58	71.6
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	91	65	71.43
gogo1265	Gogodala	Suki-Gogodala	Papunesia	166	91	65	71.43
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	14	10	71.43
tobe1252	Tobelo	North Halmahera	Papunesia	173	98	70	71.43
kwom1262	Kwoma	Sepik	Papunesia	174	94	67	71.28
wyan1247	Huron-Wyandot	Iroquoian	North America	111	66	47	71.21
yany1243	Yanyuwa	Pama-Nyungan	Australia	90	90	64	71.11
nami1256	Namia	Sepik	Papunesia	85	83	59	71.08
lala1268	Lala	Austronesian	Papunesia	187	96	68	70.83
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	72	51	70.83
waim1253	Waimiri-Atroari	Cariban	South America	127	72	51	70.83
waja1257	Wajarri	Pama-Nyungan	Australia	65	41	29	70.73
yayg1236	Yaygir	Pama-Nyungan	Australia	154	92	65	70.65
alse1251	Alsea-Yaquina		North America	149	85	60	70.59
misi1243	Misima-Paneati	Austronesian	Papunesia	144	85	60	70.59
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	78	55	70.51
waiw1244	Waiwai	Cariban	South America	178	98	69	70.41
neng1238	Nengone	Austronesian	Papunesia	169	91	64	70.33
kagu1239	Kagulu	Atlantic-Congo	Africa	186	101	71	70.3
suab1238	Suabo	Inanwatan	Papunesia	101	101	71	70.3
tuwa1243	Tuwali Ifugao	Austronesian	Papunesia	192	101	71	70.3
atam1239	Atampaya	Pama-Nyungan	Australia	87	87	61	70.11
lihi1237	Lihir	Austronesian	Papunesia	143	87	61	70.11
kwar1239	Kwara'ae	Austronesian	Papunesia	186	97	68	70.1
nort2954	Northern Paiute	Uto-Aztecan	North America	184	97	68	70.1
east2447	East Futuna	Austronesian	Papunesia	187	100	70	70
gbay1278	Gbayi	Atlantic-Congo	Africa	58	30	21	70
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	20	14	70
baki1244	Baki	Austronesian	Papunesia	152	83	58	69.88
ticu1245	Ticuna	Ticuna-Yuri	South America	154	83	58	69.88
adny1235	Adnyamathanha	Pama-Nyungan	Australia	131	73	51	69.86
lazz1240	Laz	Kartvelian	Eurasia	171	96	67	69.79
tawa1275	Tawala	Austronesian	Papunesia	96	96	67	69.79
trum1247	Trumai		South America	172	96	67	69.79
tani1257	Tanimuca-Retuarã	Tucanoan	South America	69	43	30	69.77
mada1285	Madak	Austronesian	Papunesia	176	99	69	69.7
waim1251	Waima	Austronesian	Papunesia	186	99	69	69.7
mayk1239	Maykulan	Pama-Nyungan	Australia	152	89	62	69.66
winj1235	Winjarumi	Worrorran	Australia	126	79	55	69.62
wuna1249	Wunambal	Worrorran	Australia	127	79	55	69.62
ngal1292	Ngalkbun	Gunwinyguan	Australia	188	102	71	69.61
kalk1246	Kalkutung	Pama-Nyungan	Australia	158	92	64	69.57
kunj1245	Kunjen	Pama-Nyungan	Australia	163	92	64	69.57
maku1277	Maku'a	Austronesian	Papunesia	29	23	16	69.57
emae1237	Emae	Austronesian	Papunesia	156	82	57	69.51
buna1278	Bunak	Timor-Alor-Pantar	Papunesia	96	95	66	69.47
wage1238	Wageman		Australia	175	95	66	69.47
waur1244	Waurá	Arawakan	South America	86	85	59	69.41
worr1237	Worrorra	Worrorran	Australia	151	85	59	69.41
west2548	West Damar	Austronesian	Papunesia	163	88	61	69.32
yala1262	Yalarnnga	Pama-Nyungan	Australia	157	88	61	69.32
papa1265	Papapana	Austronesian	Papunesia	188	101	70	69.31
chek1238	Cheke Holo	Austronesian	Papunesia	167	91	63	69.23
djin1253	Djinang	Pama-Nyungan	Australia	59	39	27	69.23
