Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
piji1239	Pijin	Indo-European	Papunesia	154	150	142	94.67
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	9	90
tokp1240	Tok Pisin	Indo-European	Papunesia	184	180	162	90
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	56	50	89.29
surs1246	Sursurunga	Austronesian	Papunesia	159	154	133	86.36
hala1252	Halang	Austroasiatic	Eurasia	82	79	68	86.08
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	184	158	85.87
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	6	85.71
uuuu1243	U	Austroasiatic	Eurasia	139	133	114	85.71
reng1252	Rengao	Austroasiatic	Eurasia	172	163	139	85.28
lave1249	Brao	Austroasiatic	Eurasia	122	115	98	85.22
leme1238	Lemerig	Austronesian	Papunesia	164	155	132	85.16
tiga1245	Tigak	Austronesian	Papunesia	171	167	142	85.03
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	109	92	84.4
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	87	73	83.91
tung1290	Tungag	Austronesian	Papunesia	178	173	145	83.82
nort2994	Northern Roglai	Austronesian	Eurasia	90	86	72	83.72
west2397	Western Bru	Austroasiatic	Eurasia	157	153	128	83.66
sana1297	San Andres Creole English	Indo-European	North America	168	158	132	83.54
monn1252	Mon	Austroasiatic	Eurasia	91	90	75	83.33
paco1243	Pacoh	Austroasiatic	Eurasia	188	180	150	83.33
teiw1235	Teiwa	Timor-Alor-Pantar	Papunesia	32	30	25	83.33
taku1257	Takuu	Austronesian	Papunesia	168	161	134	83.23
jama1262	Jamaican Creole English	Indo-European	North America	157	149	124	83.22
berb1259	Berbice Creole Dutch	Indo-European	South America	170	160	133	83.12
tang1347	Movono	Austronesian	Papunesia	159	154	128	83.12
keoo1238	Kéo	Austronesian	Papunesia	187	177	147	83.05
bahn1262	Bahnar	Austroasiatic	Eurasia	117	112	93	83.04
seda1262	Sedang	Austroasiatic	Eurasia	178	171	142	83.04
limo1249	Limonese Creole	Indo-European	North America	143	135	112	82.96
wala1266	Wala	Austronesian	Papunesia	150	145	120	82.76
yinc1238	Yinchia	Austroasiatic	Eurasia	65	63	52	82.54
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	177	146	82.49
neng1238	Nengone	Austronesian	Papunesia	169	164	135	82.32
ghar1239	Ghari	Austronesian	Papunesia	151	147	121	82.31
kupa1239	Kupang Malay	Austronesian	Papunesia	168	162	133	82.1
lave1248	Laven	Austroasiatic	Eurasia	180	173	142	82.08
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	111	91	81.98
teop1238	Teop	Austronesian	Papunesia	149	144	118	81.94
hait1244	Haitian	Indo-European	North America	180	171	140	81.87
jehh1245	Jeh	Austroasiatic	Eurasia	139	132	108	81.82
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	45	81.82
west2650	Western Cham	Austronesian	Eurasia	151	143	117	81.82
sooo1254	Sô	Austroasiatic	Eurasia	176	170	139	81.76
lauu1247	Lau	Austronesian	Papunesia	141	137	112	81.75
tali1259	Talise	Austronesian	Papunesia	142	137	112	81.75
stan1306	Standard Malay	Austronesian	Eurasia	190	180	147	81.67
nali1244	Nalik	Austronesian	Papunesia	174	169	138	81.66
anut1237	Anuta	Austronesian	Papunesia	153	147	120	81.63
mera1242	Meramera	Austronesian	Papunesia	54	49	40	81.63
oroh1237	Oroha	Austronesian	Papunesia	118	114	93	81.58
phai1238	Prai	Austroasiatic	Eurasia	186	179	146	81.56
saaa1240	Sa'a	Austronesian	Papunesia	145	141	115	81.56
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	92	75	81.52
labo1244	Ninde	Austronesian	Papunesia	122	119	97	81.51
huuu1240	Hu	Austroasiatic	Eurasia	175	167	136	81.44
moki1238	Mokilese	Austronesian	Papunesia	171	167	136	81.44
shee1238	She	Hmong-Mien	Eurasia	162	156	127	81.41
louu1245	Lou	Austronesian	Papunesia	176	172	140	81.4
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	172	140	81.4
east1236	Eastern Katu	Austroasiatic	Eurasia	106	102	83	81.37
lach1248	Lachi	Tai-Kadai	Eurasia	167	160	130	81.25
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	133	108	81.2
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	175	142	81.14
naue1237	Nauete	Austronesian	Papunesia	183	174	141	81.03
rade1240	Rade	Austronesian	Eurasia	167	158	128	81.01
rotu1241	Rotuman	Austronesian	Papunesia	163	158	128	81.01
gela1263	Gela	Austronesian	Papunesia	181	173	140	80.92
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	152	123	80.92
oldm1242	Old Mon	Austroasiatic	Eurasia	171	162	131	80.86
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	162	131	80.86
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	141	114	80.85
west2600	West Makian	North Halmahera	Papunesia	151	146	118	80.82
biha1246	Bih	Austronesian	Eurasia	182	172	139	80.81
mato1252	Mato	Austronesian	Papunesia	169	161	130	80.75
saba1263	Sabah Malay	Austronesian	Papunesia	182	176	142	80.68
buga1247	Bugan	Austroasiatic	Eurasia	190	181	146	80.66
blan1242	Blang	Austroasiatic	Eurasia	159	155	125	80.65
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	104	80.62
yako1252	Yakoma	Atlantic-Congo	Africa	143	134	108	80.6
tsat1238	Tsat	Austronesian	Eurasia	183	175	141	80.57
ajie1238	Ajië	Austronesian	Papunesia	149	144	116	80.56
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	184	148	80.43
haro1237	Haroi	Austronesian	Eurasia	95	92	74	80.43
bura1292	Bura-Pabir	Afro-Asiatic	Africa	147	143	115	80.42
sika1261	Sikaiana	Austronesian	Papunesia	173	168	135	80.36
sioo1240	Sio	Austronesian	Papunesia	175	168	135	80.36
aros1241	Arosi	Austronesian	Papunesia	141	137	110	80.29
hung1275	Hung	Austroasiatic	Eurasia	142	137	110	80.29
east2485	Eastern Penan	Austronesian	Papunesia	147	142	114	80.28
sapu1248	Sapuan	Austroasiatic	Eurasia	152	147	118	80.27
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	152	122	80.26
khmu1256	Khmu	Austroasiatic	Eurasia	167	162	130	80.25
rovi1238	Roviana	Austronesian	Papunesia	161	157	126	80.25
kuan1248	Kuanua	Austronesian	Papunesia	174	167	134	80.24
east2447	East Futuna	Austronesian	Papunesia	187	177	142	80.23
kwai1243	Kwaio	Austronesian	Papunesia	191	182	146	80.22
manm1238	Man Met	Austroasiatic	Eurasia	150	146	117	80.14
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	156	125	80.13
kuyy1240	Kuy	Austroasiatic	Eurasia	174	166	133	80.12
vera1241	Vera'a	Austronesian	Papunesia	191	181	145	80.11
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	125	100	80
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	180	144	80
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	8	80
kima1244	Kimaragang	Austronesian	Papunesia	90	85	68	80
tane1237	Tanema	Austronesian	Papunesia	154	150	120	80
tong1308	Maniq	Austroasiatic	Eurasia	163	155	124	80
fonn1241	Fon	Atlantic-Congo	Africa	189	179	143	79.89
iban1264	Iban	Austronesian	Papunesia	188	179	143	79.89
nica1252	Nicaragua Creole English	Indo-European	North America	157	149	119	79.87
bara1370	Baram Kayan	Austronesian	Papunesia	143	139	111	79.86
beli1260	Belize Kriol English	Indo-European	North America	130	124	99	79.84
aoua1234	A'ou	Tai-Kadai	Eurasia	187	178	142	79.78
gayo1244	Gayo	Austronesian	Papunesia	193	183	146	79.78
maon1241	Maonan	Tai-Kadai	Eurasia	94	89	71	79.78
papu1250	Papuan Malay	Austronesian	Papunesia	191	183	146	79.78
lote1237	Lote	Austronesian	Papunesia	178	173	138	79.77
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	173	138	79.77
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	158	126	79.75
java1254	Javanese	Austronesian	Papunesia	84	79	63	79.75
lara1260	Larantuka Malay	Austronesian	Papunesia	169	163	130	79.75
maan1238	Ma'anyan	Austronesian	Papunesia	163	158	126	79.75
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	153	122	79.74
bitt1240	Bit	Austroasiatic	Eurasia	153	148	118	79.73
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	128	102	79.69
