Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	60	58	96.67
manm1238	Man Met	Austroasiatic	Eurasia	150	138	129	93.48
khan1274	Kháng	Austroasiatic	Eurasia	168	151	141	93.38
uuuu1243	U	Austroasiatic	Eurasia	139	115	105	91.3
huuu1240	Hu	Austroasiatic	Eurasia	175	142	129	90.85
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	146	132	90.41
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	52	47	90.38
buga1247	Bugan	Austroasiatic	Eurasia	190	152	137	90.13
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	137	123	89.78
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	146	131	89.73
boly1239	Bolyu	Austroasiatic	Eurasia	166	143	128	89.51
lave1249	Brao	Austroasiatic	Eurasia	122	104	93	89.42
mang1378	Mang	Austroasiatic	Eurasia	158	149	133	89.26
hala1252	Halang	Austroasiatic	Eurasia	82	74	66	89.19
sani1269	Sani	Sino-Tibetan	Eurasia	168	148	132	89.19
lave1248	Laven	Austroasiatic	Eurasia	180	147	131	89.12
east1236	Eastern Katu	Austroasiatic	Eurasia	106	90	80	88.89
shee1238	She	Hmong-Mien	Eurasia	162	140	124	88.57
hung1275	Hung	Austroasiatic	Eurasia	142	122	108	88.52
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	85	75	88.24
khmu1256	Khmu	Austroasiatic	Eurasia	167	143	126	88.11
laoo1244	Lao	Tai-Kadai	Eurasia	99	84	74	88.1
thai1261	Thai	Tai-Kadai	Eurasia	101	84	74	88.1
phai1238	Prai	Austroasiatic	Eurasia	186	148	130	87.84
aheu1239	Thavung	Austroasiatic	Eurasia	192	152	133	87.5
haro1237	Haroi	Austronesian	Eurasia	95	80	70	87.5
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	64	56	87.5
dzao1238	Dzao Min	Hmong-Mien	Eurasia	193	151	132	87.42
para1301	South Wa	Austroasiatic	Eurasia	185	150	131	87.33
makc1235	Mak (China)	Tai-Kadai	Eurasia	171	142	124	87.32
sapu1248	Sapuan	Austroasiatic	Eurasia	152	134	117	87.31
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	125	109	87.2
sooo1254	Sô	Austroasiatic	Eurasia	176	146	127	86.99
mand1415	Mandarin Chinese	Sino-Tibetan	Eurasia	195	153	133	86.93
piji1239	Pijin	Indo-European	Papunesia	154	130	113	86.92
west2650	Western Cham	Austronesian	Eurasia	151	129	112	86.82
kuyy1240	Kuy	Austroasiatic	Eurasia	174	144	125	86.81
mokl1243	Moklen	Austronesian	Eurasia	181	151	131	86.75
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	149	129	86.58
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	149	129	86.58
east2485	Eastern Penan	Austronesian	Papunesia	147	119	103	86.55
tokp1240	Tok Pisin	Indo-European	Papunesia	184	148	128	86.49
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	139	120	86.33
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	146	126	86.3
keoo1238	Kéo	Austronesian	Papunesia	187	146	126	86.3
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	102	88	86.27
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	153	132	86.27
east2332	Eastern Bru	Austroasiatic	Eurasia	134	116	100	86.21
naro1251	Narom	Austronesian	Papunesia	132	116	100	86.21
