Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	53	51	96.23
sapu1248	Sapuan	Austroasiatic	Eurasia	152	135	126	93.33
uuuu1243	U	Austroasiatic	Eurasia	139	118	109	92.37
hala1252	Halang	Austroasiatic	Eurasia	82	70	64	91.43
west2650	Western Cham	Austronesian	Eurasia	151	127	116	91.34
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	52	47	90.38
lave1249	Brao	Austroasiatic	Eurasia	122	112	101	90.18
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	136	122	89.71
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	112	100	89.29
east2342	Eastern Kayah	Sino-Tibetan	Eurasia	189	157	140	89.17
thai1261	Thai	Tai-Kadai	Eurasia	101	83	74	89.16
cent2314	Central Chong	Austroasiatic	Eurasia	187	153	136	88.89
lave1248	Laven	Austroasiatic	Eurasia	180	152	135	88.82
mokl1243	Moklen	Austronesian	Eurasia	181	152	135	88.82
ruch1235	Ruching Palaung	Austroasiatic	Eurasia	184	151	134	88.74
kuyy1240	Kuy	Austroasiatic	Eurasia	174	148	131	88.51
shee1238	She	Hmong-Mien	Eurasia	162	138	122	88.41
kimm1246	Kim	Atlantic-Congo	Africa	129	112	99	88.39
moke1242	Moken	Austronesian	Eurasia	171	146	129	88.36
lara1260	Larantuka Malay	Austronesian	Papunesia	169	145	128	88.28
reng1252	Rengao	Austroasiatic	Eurasia	172	145	128	88.28
maon1241	Maonan	Tai-Kadai	Eurasia	94	76	67	88.16
nort2747	Northern Qiandong Miao	Hmong-Mien	Eurasia	194	159	140	88.05
ngul1236	Nguluwan	Austronesian	Papunesia	56	50	44	88
haro1237	Haroi	Austronesian	Eurasia	95	83	73	87.95
ndog1248	Ndogo	Atlantic-Congo	Africa	177	147	129	87.76
bouy1240	Bouyei	Tai-Kadai	Eurasia	95	81	71	87.65
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	80	70	87.5
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	7	87.5
east2332	Eastern Bru	Austroasiatic	Eurasia	134	120	105	87.5
huuu1240	Hu	Austroasiatic	Eurasia	175	143	125	87.41
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	143	125	87.41
aheu1239	Thavung	Austroasiatic	Eurasia	192	158	138	87.34
azha1235	Azha	Sino-Tibetan	Eurasia	151	134	117	87.31
paco1243	Pacoh	Austroasiatic	Eurasia	188	156	136	87.18
buga1247	Bugan	Austroasiatic	Eurasia	190	155	135	87.1
tsat1238	Tsat	Austronesian	Eurasia	183	155	135	87.1
hung1275	Hung	Austroasiatic	Eurasia	142	116	101	87.07
west2397	Western Bru	Austroasiatic	Eurasia	157	139	121	87.05
bahn1262	Bahnar	Austroasiatic	Eurasia	117	108	94	87.04
labo1244	Ninde	Austronesian	Papunesia	122	108	94	87.04
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	154	134	87.01
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	123	107	86.99
sgaw1245	S'gaw Karen	Sino-Tibetan	Eurasia	161	138	120	86.96
reja1241	Rejang Kayan	Austronesian	Papunesia	140	122	106	86.89
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	59	86.76
laoo1244	Lao	Tai-Kadai	Eurasia	99	83	72	86.75
unua1237	Unua	Austronesian	Papunesia	192	158	137	86.71
ruma1248	Rumai Palaung	Austroasiatic	Eurasia	182	150	130	86.67
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	157	136	86.62
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	119	103	86.55
sooo1254	Sô	Austroasiatic	Eurasia	176	148	128	86.49
zhab1238	Zhaba	Sino-Tibetan	Eurasia	146	125	108	86.4
ambo1250	Ambonese Malay	Austronesian	Papunesia	185	154	133	86.36
khmu1256	Khmu	Austroasiatic	Eurasia	167	139	120	86.33
bolg1251	Bolgo	Atlantic-Congo	Africa	78	73	63	86.3
chra1242	Chrau	Austroasiatic	Eurasia	166	146	126	86.3
phai1238	Prai	Austroasiatic	Eurasia	186	152	131	86.18
maan1238	Ma'anyan	Austronesian	Papunesia	163	137	118	86.13
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	36	31	86.11
zaye1235	Lahta-Zayein Karen	Sino-Tibetan	Eurasia	193	158	136	86.08
ajie1238	Ajië	Austronesian	Papunesia	149	128	110	85.94
west2564	West Berawan	Austronesian	Papunesia	83	71	61	85.92
bara1370	Baram Kayan	Austronesian	Papunesia	143	127	109	85.83
ahom1240	Ahom	Tai-Kadai	Eurasia	178	147	126	85.71
dana1252	Danau	Austroasiatic	Eurasia	179	146	125	85.62
nort2724	Northern Bai	Sino-Tibetan	Eurasia	116	104	89	85.58
phak1238	Phake	Tai-Kadai	Eurasia	101	83	71	85.54
vure1239	Vurës	Austronesian	Papunesia	194	159	136	85.53
nupe1254	Nupe-Nupe-Tako	Atlantic-Congo	Africa	159	131	112	85.5
nort2775	Northwest Gbaya	Atlantic-Congo	Africa	135	117	100	85.47
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	110	94	85.45
east2330	Eastern Lawa	Austroasiatic	Eurasia	194	158	135	85.44
papu1250	Papuan Malay	Austronesian	Papunesia	191	158	135	85.44
kupa1239	Kupang Malay	Austronesian	Papunesia	168	144	123	85.42
shwe1236	Shwe Palaung	Austroasiatic	Eurasia	167	137	117	85.4
hlai1239	Hlai	Tai-Kadai	Eurasia	99	82	70	85.37
nort2994	Northern Roglai	Austronesian	Eurasia	90	82	70	85.37
aoua1234	A'ou	Tai-Kadai	Eurasia	187	157	134	85.35
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	157	134	85.35
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	109	93	85.32
east1236	Eastern Katu	Austroasiatic	Eurasia	106	95	81	85.26
seda1262	Sedang	Austroasiatic	Eurasia	178	149	127	85.23
chas1234	Chashan	Sino-Tibetan	Eurasia	169	135	115	85.19
idom1241	Idoma	Atlantic-Congo	Africa	144	121	103	85.12
boly1239	Bolyu	Austroasiatic	Eurasia	166	141	120	85.11
yako1252	Yakoma	Atlantic-Congo	Africa	143	114	97	85.09
akha1245	Akha	Sino-Tibetan	Eurasia	159	134	114	85.07
mang1378	Mang	Austroasiatic	Eurasia	158	134	114	85.07
oldm1242	Old Mon	Austroasiatic	Eurasia	171	140	119	85
leme1238	Lemerig	Austronesian	Papunesia	164	133	113	84.96
geba1237	Geba Karen	Sino-Tibetan	Eurasia	193	157	133	84.71
avok1242	Avokaya	Central Sudanic	Africa	122	98	83	84.69
anut1237	Anuta	Austronesian	Papunesia	153	130	110	84.62
cari1276	Caribbean Javanese	Austronesian	South America	97	78	66	84.62
emae1237	Emae	Austronesian	Papunesia	156	130	110	84.62
homa1239	Homa	Atlantic-Congo	Africa	14	13	11	84.62
west2396	Western Lawa	Austroasiatic	Eurasia	190	156	132	84.62
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	123	104	84.55
keoo1238	Kéo	Austronesian	Papunesia	187	155	131	84.52
kare1338	Kare (Central African Republic)	Atlantic-Congo	Africa	158	129	109	84.5
ngas1240	Ngas	Afro-Asiatic	Africa	176	148	125	84.46
para1301	South Wa	Austroasiatic	Eurasia	185	154	130	84.42
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	154	130	84.42
piji1239	Pijin	Indo-European	Papunesia	154	128	108	84.38
lauu1247	Lau	Austronesian	Papunesia	141	115	97	84.35
naro1251	Narom	Austronesian	Papunesia	132	115	97	84.35
yong1276	Yongbei Zhuang	Tai-Kadai	Eurasia	101	83	70	84.34
manm1238	Man Met	Austroasiatic	Eurasia	150	134	113	84.33
fonn1241	Fon	Atlantic-Congo	Africa	189	153	129	84.31
khan1274	Kháng	Austroasiatic	Eurasia	168	140	118	84.29
iban1264	Iban	Austronesian	Papunesia	188	159	134	84.28
mban1263	Mbandja	Atlantic-Congo	Africa	162	133	112	84.21
mpur1239	Mpur		Papunesia	185	152	128	84.21
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	133	112	84.21
tane1237	Tanema	Austronesian	Papunesia	154	133	112	84.21
alor1247	Alorese	Austronesian	Papunesia	168	139	117	84.17
vano1237	Lovono	Austronesian	Papunesia	146	126	106	84.13
mund1326	Mündü	Atlantic-Congo	Africa	120	107	90	84.11
saba1263	Sabah Malay	Austronesian	Papunesia	182	157	132	84.08
pate1247	Patep	Austronesian	Papunesia	142	113	95	84.07
monn1252	Mon	Austroasiatic	Eurasia	91	75	63	84
baba1267	Baba Malay	Austronesian	Eurasia	191	156	131	83.97
gilb1244	Gilbertese	Austronesian	Papunesia	171	137	115	83.94
sout2730	Southern Bai	Sino-Tibetan	Eurasia	161	137	115	83.94
tang1347	Movono	Austronesian	Papunesia	159	137	115	83.94
lach1248	Lachi	Tai-Kadai	Eurasia	167	143	120	83.92
louu1245	Lou	Austronesian	Papunesia	176	149	125	83.89
naue1237	Nauete	Austronesian	Papunesia	183	155	130	83.87
ajab1235	Aja (Benin)	Atlantic-Congo	Africa	173	142	119	83.8
keri1250	Kerinci	Austronesian	Papunesia	127	111	93	83.78
hani1248	Hani	Sino-Tibetan	Eurasia	186	154	129	83.77
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	98	82	83.67
caom1238	Cao Miao	Tai-Kadai	Eurasia	183	153	128	83.66
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	159	133	83.65
lamo1244	Lamogai	Austronesian	Papunesia	135	116	97	83.62
biao1253	Shidong Biao	Tai-Kadai	Eurasia	175	146	122	83.56
arak1252	Araki	Austronesian	Papunesia	194	158	132	83.54
sout2741	Southern Dong	Tai-Kadai	Eurasia	96	79	66	83.54
oroh1237	Oroha	Austronesian	Papunesia	118	103	86	83.5
achi1257	Acehnese	Austronesian	Papunesia	192	156	130	83.33
aito1238	Aiton	Tai-Kadai	Eurasia	102	84	70	83.33
biha1246	Bih	Austronesian	Eurasia	182	150	125	83.33
rade1240	Rade	Austronesian	Eurasia	167	138	115	83.33
sika1261	Sikaiana	Austronesian	Papunesia	173	144	120	83.33
tomb1244	Tombonuo	Austronesian	Papunesia	136	120	100	83.33
hote1245	Hote	Austronesian	Papunesia	162	137	114	83.21
samb1311	Samba Daka	Atlantic-Congo	Africa	158	137	114	83.21
cori1240	Cori	Atlantic-Congo	Africa	139	119	99	83.19
tang1348	Tangga	Austronesian	Papunesia	140	113	94	83.19
lash1243	Lashi	Sino-Tibetan	Eurasia	188	154	128	83.12
beta1252	Betawi	Austronesian	Papunesia	170	142	118	83.1
anuf1239	Anufo	Atlantic-Congo	Africa	162	136	113	83.09
kens1248	Kensiu	Austroasiatic	Eurasia	164	136	113	83.09
ngam1268	Ngambay	Central Sudanic	Africa	156	136	113	83.09
west2430	Western Xiangxi Miao	Hmong-Mien	Eurasia	181	153	127	83.01
tiga1245	Tigak	Austronesian	Papunesia	171	141	117	82.98
aros1241	Arosi	Austronesian	Papunesia	141	123	102	82.93
qaua1234	Central Gelao-Qau	Tai-Kadai	Eurasia	99	82	68	82.93
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	158	131	82.91
iumi1238	Iu Mien	Hmong-Mien	Eurasia	165	140	116	82.86
tean1237	Teanu	Austronesian	Papunesia	147	128	106	82.81
sioo1240	Sio	Austronesian	Papunesia	175	145	120	82.76
honi1244	Honi	Sino-Tibetan	Eurasia	165	139	115	82.73
saaa1241	Sa	Austronesian	Papunesia	162	133	110	82.71
tokp1240	Tok Pisin	Indo-European	Papunesia	184	156	129	82.69
wala1266	Wala	Austronesian	Papunesia	150	127	105	82.68
cent2004	Central Bai	Sino-Tibetan	Eurasia	162	138	114	82.61
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	155	128	82.58
cent1992	Central Mnong	Austroasiatic	Eurasia	190	155	128	82.58
nuuu1241	N||ng-Danster !Ui	Tuu	Africa	160	132	109	82.58
mota1237	Mota	Austronesian	Papunesia	107	86	71	82.56
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	149	123	82.55
malu1245	Malua Bay	Austronesian	Papunesia	173	143	118	82.52
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	114	94	82.46
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	131	108	82.44
surs1246	Sursurunga	Austronesian	Papunesia	159	131	108	82.44
guru1271	Guruntum-Mbaaru	Afro-Asiatic	Africa	181	153	126	82.35
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	130	107	82.31
puoc1238	Ksingmul	Austroasiatic	Eurasia	94	79	65	82.28
mang1405	Manggarai	Austronesian	Papunesia	168	141	116	82.27
mara1399	Maragus	Austronesian	Papunesia	174	141	116	82.27
mort1237	Mortlockese	Austronesian	Papunesia	141	124	102	82.26
tetu1246	Tetun Dili	Austronesian	Papunesia	183	152	125	82.24
cent1989	Central Khmer	Austroasiatic	Eurasia	177	146	120	82.19
youn1235	Younuo Bunu	Hmong-Mien	Eurasia	193	157	129	82.17
sout2782	South Fali	Atlantic-Congo	Africa	177	145	119	82.07
baba1268	Babatana	Austronesian	Papunesia	138	117	96	82.05
hyam1245	Hyam	Atlantic-Congo	Africa	93	78	64	82.05
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	156	128	82.05
east2485	Eastern Penan	Austronesian	Papunesia	147	128	105	82.03
kats1235	Katso	Sino-Tibetan	Eurasia	186	150	123	82
hakk1236	Hakka Chinese	Sino-Tibetan	Eurasia	143	122	100	81.97
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	155	127	81.94
tuml1238	Tumleo	Austronesian	Papunesia	103	83	68	81.93
keme1240	Kemezung	Atlantic-Congo	Africa	135	116	95	81.9
jara1266	Jarai	Austronesian	Eurasia	156	127	104	81.89
koho1244	Koho	Austroasiatic	Eurasia	182	149	122	81.88
mala1481	Manado Malay	Austronesian	Papunesia	178	149	122	81.88
zaiw1241	Zaiwa	Sino-Tibetan	Eurasia	174	149	122	81.88
bann1247	Bannoni	Austronesian	Papunesia	72	66	54	81.82
kweg1241	Kwegu	Surmic	Africa	162	132	108	81.82
vinm1237	Neve'ei	Austronesian	Papunesia	143	121	99	81.82
waro1242	Waropen	Austronesian	Papunesia	137	110	90	81.82
abun1252	Abun		Papunesia	195	159	130	81.76
beli1257	Beli (South Sudan)	Central Sudanic	Africa	133	115	94	81.74
bant1288	Bantoanon	Austronesian	Papunesia	124	104	85	81.73
iray1237	Iraya	Austronesian	Papunesia	113	93	76	81.72
tutu1241	Tutuba	Austronesian	Papunesia	184	153	125	81.7
