Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	165	151	91.52
hrus1242	Hruso		Eurasia	89	87	79	90.8
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	103	92	89.32
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	156	139	89.1
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	146	127	86.99
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	13	86.67
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	135	116	85.93
shol1240	Sholaga	Dravidian	Eurasia	172	149	128	85.91
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	92	79	85.87
mara1396	Mararit	Tamaic	Africa	92	88	75	85.23
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	142	121	85.21
dizi1235	Dizin	Dizoid	Africa	57	54	46	85.19
kara1499	Kalamang	West Bomberai	Papunesia	99	93	79	84.95
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	72	61	84.72
yona1241	Yonaguni	Japonic	Eurasia	164	144	122	84.72
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	136	115	84.56
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	147	124	84.35
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	146	123	84.25
toda1252	Toda	Dravidian	Eurasia	139	127	107	84.25
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	119	100	84.03
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	150	126	84
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	142	119	83.8
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	122	102	83.61
cent2126	Central Okinawan	Japonic	Eurasia	153	140	117	83.57
mala1463	Malavedan	Dravidian	Eurasia	163	146	122	83.56
