Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	8	100
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
sani1269	Sani	Sino-Tibetan	Eurasia	168	146	132	90.41
azha1235	Azha	Sino-Tibetan	Eurasia	151	125	112	89.6
hler1235	Hlersu	Sino-Tibetan	Eurasia	74	65	58	89.23
kima1246	Kimaama	Kolopom	Papunesia	92	87	77	88.51
ugon1239	Ugong	Sino-Tibetan	Eurasia	133	110	97	88.18
enuu1235	Enu	Sino-Tibetan	Eurasia	193	150	132	88
kimm1245	Kim Mun	Hmong-Mien	Eurasia	188	146	128	87.67
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	129	113	87.6
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	137	120	87.59
goro1270	Gorowa	Afro-Asiatic	Africa	13	8	7	87.5
boly1239	Bolyu	Austroasiatic	Eurasia	166	142	124	87.32
biao1256	Biao Mon	Hmong-Mien	Eurasia	189	148	129	87.16
hani1248	Hani	Sino-Tibetan	Eurasia	186	148	129	87.16
mokl1243	Moklen	Austronesian	Eurasia	181	147	128	87.07
kuyy1240	Kuy	Austroasiatic	Eurasia	174	138	120	86.96
mara1382	Mara Chin	Sino-Tibetan	Eurasia	160	135	117	86.67
pahn1237	Pa-Hng	Hmong-Mien	Eurasia	194	150	130	86.67
wusa1235	Wusa Nasu	Sino-Tibetan	Eurasia	192	150	130	86.67
biao1254	Biao-Jiao Mien	Hmong-Mien	Eurasia	191	149	129	86.58
khan1274	Kháng	Austroasiatic	Eurasia	168	148	128	86.49
shee1238	She	Hmong-Mien	Eurasia	162	138	119	86.23
honi1244	Honi	Sino-Tibetan	Eurasia	165	137	118	86.13
bang1369	Bangru	Sino-Tibetan	Eurasia	151	126	108	85.71
chas1234	Chashan	Sino-Tibetan	Eurasia	169	133	114	85.71
lach1248	Lachi	Tai-Kadai	Eurasia	167	140	120	85.71
tsat1238	Tsat	Austronesian	Eurasia	183	147	126	85.71
huuu1240	Hu	Austroasiatic	Eurasia	175	139	119	85.61
lahu1253	Lahu	Sino-Tibetan	Eurasia	175	139	119	85.61
