Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
mera1242	Meramera	Austronesian	Papunesia	54	54	48	88.89
labo1244	Ninde	Austronesian	Papunesia	122	122	106	86.89
tali1259	Talise	Austronesian	Papunesia	142	141	121	85.82
bann1247	Bannoni	Austronesian	Papunesia	72	72	61	84.72
ajie1238	Ajië	Austronesian	Papunesia	149	148	125	84.46
unea1237	Uneapa	Austronesian	Papunesia	87	87	73	83.91
aros1241	Arosi	Austronesian	Papunesia	141	141	118	83.69
meng1267	Mengen	Austronesian	Papunesia	98	98	82	83.67
kaul1240	Kaulong	Austronesian	Papunesia	90	90	75	83.33
muss1246	Mussau-Emira	Austronesian	Papunesia	90	90	75	83.33
port1285	Port Sandwich	Austronesian	Papunesia	174	172	143	83.14
lauu1247	Lau	Austronesian	Papunesia	141	140	116	82.86
nali1244	Nalik	Austronesian	Papunesia	174	173	143	82.66
tiga1245	Tigak	Austronesian	Papunesia	171	170	140	82.35
amar1272	Amara	Austronesian	Papunesia	148	147	121	82.31
bari1286	Bariai	Austronesian	Papunesia	176	175	144	82.29
mota1237	Mota	Austronesian	Papunesia	107	107	88	82.24
oroh1237	Oroha	Austronesian	Papunesia	118	118	97	82.2
maro1244	Marovo	Austronesian	Papunesia	84	84	69	82.14
lamo1244	Lamogai	Austronesian	Papunesia	135	134	110	82.09
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	88	72	81.82
piji1239	Pijin	Indo-European	Papunesia	154	154	126	81.82
aulu1238	Aulua	Austronesian	Papunesia	160	158	129	81.65
siar1238	Siar-Lak	Austronesian	Papunesia	87	87	71	81.61
karn1252	Karnai	Austronesian	Papunesia	142	141	115	81.56
lihi1237	Lihir	Austronesian	Papunesia	143	141	115	81.56
mort1237	Mortlockese	Austronesian	Papunesia	141	141	115	81.56
mari1426	Sunwadia	Austronesian	Papunesia	167	166	135	81.33
monn1252	Mon	Austroasiatic	Eurasia	91	91	74	81.32
arop1243	Arop-Lokep	Austronesian	Papunesia	161	160	130	81.25
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	138	112	81.16
east2443	East Ambae	Austronesian	Papunesia	182	180	146	81.11
simb1256	Simbo	Austronesian	Papunesia	95	95	77	81.05
bign1238	Big Nambas	Austronesian	Papunesia	181	179	145	81.01
kove1237	Kove	Austronesian	Papunesia	180	179	145	81.01
surs1246	Sursurunga	Austronesian	Papunesia	159	158	128	81.01
sout2895	South Nuaulu	Austronesian	Papunesia	158	157	127	80.89
tolo1255	Tolomako	Austronesian	Papunesia	120	120	97	80.83
ghar1239	Ghari	Austronesian	Papunesia	151	151	122	80.79
arak1252	Araki	Austronesian	Papunesia	194	192	155	80.73
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	149	120	80.54
bara1370	Baram Kayan	Austronesian	Papunesia	143	143	115	80.42
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	153	123	80.39
hala1252	Halang	Austroasiatic	Eurasia	82	81	65	80.25
apma1240	Apma	Austronesian	Papunesia	194	192	154	80.21
hata1243	Hatam	Hatam-Mansim	Papunesia	96	96	77	80.21
tido1248	Tidore	North Halmahera	Papunesia	96	96	77	80.21
tomb1244	Tombonuo	Austronesian	Papunesia	136	136	109	80.15
