Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
goro1270	Gorowa	Afro-Asiatic	Africa	13	4	4	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
daha1245	Dahalo	Afro-Asiatic	Africa	46	43	39	90.7
orma1241	Orma	Afro-Asiatic	Africa	128	67	60	89.55
ndam1251	Ndam	Afro-Asiatic	Africa	41	19	17	89.47
soma1255	Somali	Afro-Asiatic	Africa	97	63	55	87.3
iraq1241	Iraqw	Afro-Asiatic	Africa	116	76	66	86.84
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	61	52	85.25
kons1243	Konso	Afro-Asiatic	Africa	87	67	57	85.07
rend1243	Rendille	Afro-Asiatic	Africa	44	35	29	82.86
bata1285	Batanga	Atlantic-Congo	Africa	113	52	43	82.69
shek1245	Sheko	Dizoid	Africa	90	66	54	81.82
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
korr1238	Korra Koraga	Dravidian	Eurasia	133	65	52	80
siri1274	Siriano	Tucanoan	South America	122	65	52	80
muth1236	Muthuvan	Dravidian	Eurasia	143	63	50	79.37
konk1267	Konkan Marathi	Indo-European	Eurasia	180	72	57	79.17
lamb1269	Lambadi	Indo-European	Eurasia	155	72	57	79.17
kota1263	Kota (India)	Dravidian	Eurasia	158	75	59	78.67
arbo1245	Arbore	Afro-Asiatic	Africa	170	74	58	78.38
awad1243	Awadhi	Indo-European	Eurasia	173	69	54	78.26
burj1242	Burji	Afro-Asiatic	Africa	187	78	61	78.21
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	78	61	78.21
homa1239	Homa	Atlantic-Congo	Africa	14	9	7	77.78
gheg1238	Gheg Albanian	Indo-European	Eurasia	188	76	59	77.63
tunn1238	Tunni	Afro-Asiatic	Africa	184	76	59	77.63
esee1247	Ese	Koiarian	Papunesia	75	40	31	77.5
melo1242	Melo	Ta-Ne-Omotic	Africa	163	71	55	77.46
sand1273	Sandawe		Africa	76	53	41	77.36
nzad1234	Nzadi	Atlantic-Congo	Africa	101	75	58	77.33
buku1249	Bukusu	Atlantic-Congo	Africa	52	44	34	77.27
nara1262	Nara		Africa	132	57	44	77.19
beng1282	Benga	Atlantic-Congo	Africa	132	52	40	76.92
nkor1239	Nkoroo	Ijoid	Africa	54	26	20	76.92
papa1268	Papar	Austronesian	Papunesia	47	26	20	76.92
sora1254	Sora	Austroasiatic	Eurasia	145	69	53	76.81
bash1264	Bashkir	Turkic	Eurasia	161	73	56	76.71
qima1242	Qimant	Afro-Asiatic	Africa	166	73	56	76.71
nati1243	Natioro	Atlantic-Congo	Africa	51	30	23	76.67
tain1253	Tainae	Angan	Papunesia	90	60	46	76.67
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	51	39	76.47
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	55	42	76.36
daas1238	Daasanach	Afro-Asiatic	Africa	191	76	58	76.32
tsam1247	Tsamai	Afro-Asiatic	Africa	185	76	58	76.32
etru1241	Etruscan		Eurasia	130	59	45	76.27
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	75	57	76
tomm1242	Tommo So Dogon	Dogon	Africa	167	75	57	76
tosk1239	Northern Tosk Albanian	Indo-European	Eurasia	180	75	57	76
cori1240	Cori	Atlantic-Congo	Africa	139	58	44	75.86
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	62	47	75.81
akka1240	Akkadian	Afro-Asiatic	Eurasia	167	70	53	75.71
dara1250	Darai	Indo-European	Eurasia	178	74	56	75.68
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	74	56	75.68
tulu1258	Tulu	Dravidian	Eurasia	163	74	56	75.68
alag1248	Alagwa	Afro-Asiatic	Africa	183	78	59	75.64
russ1263	Russian	Indo-European	Eurasia	193	78	59	75.64
wask1241	Waskia	Nuclear Trans New Guinea	Papunesia	86	57	43	75.44
wamb1259	Wambon	Nuclear Trans New Guinea	Papunesia	94	61	46	75.41
doma1260	Domaaki	Indo-European	Eurasia	144	65	49	75.38
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	73	55	75.34
sida1246	Sidamo	Afro-Asiatic	Africa	104	73	55	75.34
buru1320	Burunge	Afro-Asiatic	Africa	180	77	58	75.32
kamb1316	Kambaata	Afro-Asiatic	Africa	132	77	58	75.32
nort2697	North Azerbaijani	Turkic	Eurasia	188	77	58	75.32
nucl1305	Kannada	Dravidian	Eurasia	191	77	58	75.32
ambu1247	Ambulas	Ndu	Papunesia	91	60	45	75
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	4	3	75
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	76	57	75
hadi1240	Hadiyya	Afro-Asiatic	Africa	189	76	57	75
koda1255	Kodava	Dravidian	Eurasia	182	76	57	75
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	52	39	75
bund1253	Bundeli	Indo-European	Eurasia	173	75	56	74.67
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	71	53	74.65
lule1238	Lule		South America	146	67	50	74.63
haus1257	Hausa	Afro-Asiatic	Africa	91	63	47	74.6
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	51	38	74.51
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	78	58	74.36
