Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	4	4	100
goro1270	Gorowa	Afro-Asiatic	Africa	13	11	10	90.91
mari1414	Maria (India)	Dravidian	Eurasia	119	113	97	85.84
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	39	84.78
koor1239	Koorete	Ta-Ne-Omotic	Africa	175	160	135	84.38
hozo1236	Hozo	Blue Nile Mao	Africa	87	83	69	83.13
melo1242	Melo	Ta-Ne-Omotic	Africa	163	148	123	83.11
etru1241	Etruscan		Eurasia	130	119	98	82.35
dand1238	Dandami Maria	Dravidian	Eurasia	161	145	119	82.07
benc1235	Bench	Ta-Ne-Omotic	Africa	82	77	63	81.82
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	154	126	81.82
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	137	112	81.75
nkor1239	Nkoroo	Ijoid	Africa	54	49	40	81.63
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	92	75	81.52
muth1236	Muthuvan	Dravidian	Eurasia	143	134	109	81.34
korr1238	Korra Koraga	Dravidian	Eurasia	133	123	100	81.3
even1260	Even	Tungusic	Eurasia	141	133	108	81.2
siri1274	Siriano	Tucanoan	South America	122	116	94	81.03
doma1260	Domaaki	Indo-European	Eurasia	144	130	105	80.77
kota1263	Kota (India)	Dravidian	Eurasia	158	145	117	80.69
xamt1239	Xamtanga	Afro-Asiatic	Africa	189	170	137	80.59
defa1248	Defaka	Ijoid	Africa	75	72	58	80.56
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	81	65	80.25
orma1241	Orma	Afro-Asiatic	Africa	128	121	97	80.17
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	136	109	80.15
bili1260	Bilin	Afro-Asiatic	Africa	157	146	117	80.14
yems1235	Yemsa	Ta-Ne-Omotic	Africa	182	171	137	80.12
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	85	68	80
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	20	80
mudu1239	Muduga	Dravidian	Eurasia	161	147	117	79.59
tami1289	Tamil	Dravidian	Eurasia	195	176	140	79.55
rong1266	Rongmei Naga	Sino-Tibetan	Eurasia	161	146	116	79.45
toda1252	Toda	Dravidian	Eurasia	139	131	104	79.39
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	92	73	79.35
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	159	126	79.25
qima1242	Qimant	Afro-Asiatic	Africa	166	158	125	79.11
shol1240	Sholaga	Dravidian	Eurasia	172	157	124	78.98
duru1236	Duruwa	Dravidian	Eurasia	121	114	90	78.95
ango1257	Angosturas Tunebo	Chibchan	South America	136	128	101	78.91
yona1241	Yonaguni	Japonic	Eurasia	164	150	118	78.67
alab1254	Alaba-K'abeena	Afro-Asiatic	Africa	192	173	136	78.61
tang1336	East-Central Tangkhul Naga	Sino-Tibetan	Eurasia	170	154	121	78.57
nara1262	Nara		Africa	132	121	95	78.51
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	130	102	78.46
chen1255	Chenchu	Dravidian	Eurasia	180	167	131	78.44
dime1235	Dime	South Omotic	Africa	52	51	40	78.43
ulch1241	Ulch	Tungusic	Eurasia	164	153	120	78.43
tama1331	Tama (Chad)	Tamaic	Africa	139	129	101	78.29
cent2126	Central Okinawan	Japonic	Eurasia	153	142	111	78.17
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	169	132	78.11
mlah1239	Mlahsô	Afro-Asiatic	Eurasia	117	114	89	78.07
mill1237	Millcayac	Huarpean	South America	122	118	92	77.97
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	154	120	77.92
kada1242	Kadar	Dravidian	Eurasia	156	140	109	77.86
dizi1235	Dizin	Dizoid	Africa	57	54	42	77.78
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	153	119	77.78
umes1235	Ume Saami	Uralic	Eurasia	183	166	129	77.71
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	148	115	77.7
dard1243	Dar Daju Daju	Dajuic	Africa	93	85	66	77.65
bada1257	Badaga	Dravidian	Eurasia	127	120	93	77.5
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	151	117	77.48
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	146	113	77.4
west2386	Western Panjabi	Indo-European	Eurasia	150	137	106	77.37
hadi1240	Hadiyya	Afro-Asiatic	Africa	189	172	133	77.33
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	132	102	77.27
konk1267	Konkan Marathi	Indo-European	Eurasia	180	167	129	77.25
kach1284	Kachama-Ganjule-Haro	Ta-Ne-Omotic	Africa	188	171	132	77.19
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	149	115	77.18
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	131	101	77.1
khak1248	Khakas	Turkic	Eurasia	170	157	121	77.07
tene1248	Tengou-Togo Dogon	Dogon	Africa	163	148	114	77.03
garo1247	Garo	Sino-Tibetan	Eurasia	164	152	117	76.97
mala1463	Malavedan	Dravidian	Eurasia	163	152	117	76.97
pume1238	Pumé		South America	137	130	100	76.92
nucl1305	Kannada	Dravidian	Eurasia	191	173	133	76.88
tulu1258	Tulu	Dravidian	Eurasia	163	151	116	76.82
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	137	105	76.64
negi1245	Negidal	Tungusic	Eurasia	160	149	114	76.51
woun1238	Woun Meu	Chocoan	South America	150	136	104	76.47
fore1265	Forest Enets	Uralic	Eurasia	193	174	133	76.44
embe1262	Emberá-Chamí	Chocoan	South America	159	144	110	76.39
koya1251	Koya	Dravidian	Eurasia	137	131	100	76.34
argo1244	Argobba	Afro-Asiatic	Africa	184	168	128	76.19
icel1247	Icelandic	Indo-European	Eurasia	184	168	128	76.19
even1259	Evenki	Tungusic	Eurasia	158	151	115	76.16
boru1252	Boruca	Chibchan	North America	117	109	83	76.15
cogu1240	Cogui	Chibchan	South America	141	130	99	76.15
nucl1301	Turkish	Turkic	Eurasia	195	176	134	76.14
bent1238	Ben Tey Dogon	Dogon	Africa	170	155	118	76.13
bira1253	Ongota		Africa	163	155	118	76.13
