Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mehi1240	Mehináku	Arawakan	South America	4	3	3	100
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	12	11	91.67
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	151	138	91.39
rutu1240	Rutul	Nakh-Daghestanian	Eurasia	143	134	122	91.04
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	134	119	88.81
khin1240	Khinalug	Nakh-Daghestanian	Eurasia	153	142	126	88.73
muth1236	Muthuvan	Dravidian	Eurasia	143	115	101	87.83
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
dido1241	Tsez	Nakh-Daghestanian	Eurasia	170	155	134	86.45
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	147	127	86.39
mudu1239	Muduga	Dravidian	Eurasia	161	139	120	86.33
bezh1248	Bezhta	Nakh-Daghestanian	Eurasia	158	146	126	86.3
dizi1235	Dizin	Dizoid	Africa	57	50	43	86
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	135	116	85.93
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	139	119	85.61
korr1238	Korra Koraga	Dravidian	Eurasia	133	111	95	85.59
mala1463	Malavedan	Dravidian	Eurasia	163	135	115	85.19
kada1242	Kadar	Dravidian	Eurasia	156	130	110	84.62
defa1248	Defaka	Ijoid	Africa	75	64	54	84.38
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	108	91	84.26
kota1263	Kota (India)	Dravidian	Eurasia	158	133	112	84.21
poya1241	Poyanáwa	Pano-Tacanan	South America	50	38	32	84.21
lakk1252	Lak	Nakh-Daghestanian	Eurasia	158	145	122	84.14
tulu1258	Tulu	Dravidian	Eurasia	163	138	116	84.06
shol1240	Sholaga	Dravidian	Eurasia	172	137	115	83.94
peng1244	Pengo	Dravidian	Eurasia	171	141	118	83.69
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	145	121	83.45
lezg1247	Lezgian	Nakh-Daghestanian	Eurasia	194	157	131	83.44
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	120	100	83.33
mala1464	Malayalam	Dravidian	Eurasia	192	155	129	83.23
tata1255	Tatar	Turkic	Eurasia	176	143	119	83.22
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	130	108	83.08
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	122	101	82.79
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	87	72	82.76
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	139	115	82.73
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	127	105	82.68
chen1255	Chenchu	Dravidian	Eurasia	180	149	123	82.55
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	154	127	82.47
koya1251	Koya	Dravidian	Eurasia	137	113	93	82.3
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	79	65	82.28
ghod1238	Godoberi	Nakh-Daghestanian	Eurasia	165	151	124	82.12
mari1414	Maria (India)	Dravidian	Eurasia	119	95	78	82.11
toto1302	Toto	Sino-Tibetan	Eurasia	155	128	105	82.03
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	100	82	82
ingu1240	Ingush	Nakh-Daghestanian	Eurasia	166	150	123	82
tama1331	Tama (Chad)	Tamaic	Africa	139	111	91	81.98
saur1249	Sauria Paharia	Dravidian	Eurasia	179	144	118	81.94
niha1238	Nihali		Eurasia	164	149	122	81.88
khva1239	Khwarshi-Inkhoqwari	Nakh-Daghestanian	Eurasia	169	154	126	81.82
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	131	107	81.68
zulu1248	Zulu	Atlantic-Congo	Africa	42	38	31	81.58
bada1257	Badaga	Dravidian	Eurasia	127	103	84	81.55
yona1241	Yonaguni	Japonic	Eurasia	164	135	110	81.48
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	75	61	81.33
kuvi1243	Kuvi	Dravidian	Eurasia	103	85	69	81.18
kusu1250	Kusunda		Eurasia	173	138	112	81.16
ulch1241	Ulch	Tungusic	Eurasia	164	138	112	81.16
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	90	73	81.11
koda1255	Kodava	Dravidian	Eurasia	182	148	120	81.08
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	63	51	80.95
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	136	110	80.88
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	151	122	80.79
nucl1305	Kannada	Dravidian	Eurasia	191	156	126	80.77
aghw1237	Aghwan	Nakh-Daghestanian	Eurasia	147	135	109	80.74
toda1252	Toda	Dravidian	Eurasia	139	114	92	80.7
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	62	50	80.65
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	129	104	80.62
bira1253	Ongota		Africa	163	134	108	80.6
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	67	54	80.6
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	139	112	80.58
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	139	112	80.58
kaur1267	Kaurna	Pama-Nyungan	Australia	48	36	29	80.56
hrus1242	Hruso		Eurasia	89	77	62	80.52
dara1250	Darai	Indo-European	Eurasia	178	148	119	80.41
nort2697	North Azerbaijani	Turkic	Eurasia	188	153	123	80.39
nana1257	Nanai	Tungusic	Eurasia	195	158	127	80.38
orok1265	Orok	Tungusic	Eurasia	151	132	106	80.3
guru1261	Gurung	Sino-Tibetan	Eurasia	174	147	118	80.27
kuii1252	Kui (India)	Dravidian	Eurasia	113	91	73	80.22
