Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	11	10	90.91
beta1252	Betawi	Austronesian	Papunesia	170	158	131	82.91
stan1306	Standard Malay	Austronesian	Eurasia	190	178	147	82.58
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	86	71	82.56
wotu1240	Wotu	Austronesian	Papunesia	180	170	140	82.35
laiy1246	Laiyolo	Austronesian	Papunesia	123	117	96	82.05
cani1243	Canichana		South America	50	50	41	82
lotu1250	Lotud	Austronesian	Papunesia	132	127	104	81.89
sela1260	Selayar	Austronesian	Papunesia	135	131	107	81.68
kana1286	Kanakanavu	Austronesian	Papunesia	147	140	114	81.43
jamb1236	Jambi Malay	Austronesian	Papunesia	181	172	140	81.4
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	138	112	81.16
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	132	107	81.06
teng1272	Tengger	Austronesian	Papunesia	121	116	94	81.03
bara1370	Baram Kayan	Austronesian	Papunesia	143	137	111	81.02
rung1259	Rungus	Austronesian	Papunesia	137	131	106	80.92
oldm1243	Old Malay	Austronesian	Papunesia	119	114	92	80.7
bunu1267	Bunun	Austronesian	Papunesia	74	72	58	80.56
mina1268	Minangkabau	Austronesian	Papunesia	164	154	124	80.52
lund1271	Lundayeh	Austronesian	Papunesia	141	135	108	80
bata1289	Batak Toba	Austronesian	Papunesia	168	159	127	79.87
iran1262	Iranun	Austronesian	Papunesia	138	133	106	79.7
boli1256	Bolinao	Austronesian	Papunesia	60	59	47	79.66
moro1287	Moronene	Austronesian	Papunesia	106	103	82	79.61
west2560	West Coast Bajau	Austronesian	Papunesia	179	171	136	79.53
bert1248	Berta		Africa	119	117	93	79.49
huba1236	Huba	Afro-Asiatic	Africa	151	146	116	79.45
tomb1244	Tombonuo	Austronesian	Papunesia	136	131	104	79.39
tuge1241	Tugen	Nilotic	Africa	126	121	96	79.34
maro1244	Marovo	Austronesian	Papunesia	84	82	65	79.27
gada1258	Ga'dang	Austronesian	Papunesia	70	67	53	79.1
iban1267	Ibanag	Austronesian	Papunesia	177	167	132	79.04
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	62	49	79.03
agus1235	Agusan Manobo	Austronesian	Papunesia	103	100	79	79
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	128	101	78.91
aros1241	Arosi	Austronesian	Papunesia	141	137	108	78.83
leti1246	Leti (Indonesia)	Austronesian	Papunesia	172	165	130	78.79
mala1479	Colloquial Malay	Austronesian	Eurasia	153	146	115	78.77
simb1256	Simbo	Austronesian	Papunesia	95	94	74	78.72
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	126	99	78.57
west2548	West Damar	Austronesian	Papunesia	163	153	120	78.43
mang1405	Manggarai	Austronesian	Papunesia	168	162	127	78.4
keri1250	Kerinci	Austronesian	Papunesia	127	120	94	78.33
tuba1278	Tübatulabal	Uto-Aztecan	North America	152	143	112	78.32
nort2994	Northern Roglai	Austronesian	Eurasia	90	87	68	78.16
pang1290	Pangasinan	Austronesian	Papunesia	169	164	128	78.05
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	95	74	77.89
iban1264	Iban	Austronesian	Papunesia	188	176	137	77.84
masb1238	Masbatenyo	Austronesian	Papunesia	172	167	130	77.84
lave1249	Brao	Austroasiatic	Eurasia	122	117	91	77.78
isin1239	Isinai	Austronesian	Papunesia	152	148	115	77.7
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	130	101	77.69
twan1247	Twana	Salishan	North America	87	85	66	77.65
east2332	Eastern Bru	Austroasiatic	Eurasia	134	129	100	77.52
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	31	24	77.42
colu1241	Columbia-Wenatchi	Salishan	North America	178	168	130	77.38
maka1311	Makasar	Austronesian	Papunesia	86	84	65	77.38
sira1267	Sirayaic	Austronesian	Papunesia	177	168	130	77.38
achi1257	Acehnese	Austronesian	Papunesia	192	181	140	77.35
naro1251	Narom	Austronesian	Papunesia	132	128	99	77.34
xink1235	Xinka-Jumaytepeque	Xincan	North America	150	141	109	77.3
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	132	102	77.27
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	145	112	77.24
chra1242	Chrau	Austroasiatic	Eurasia	166	158	122	77.22
east2690	Eastern Egyptian Bedawi Arabic	Afro-Asiatic	Eurasia	147	140	108	77.14
sasa1249	Sasak	Austronesian	Papunesia	150	140	108	77.14
xinc1246	Xinca-Guazacapan	Xincan	North America	164	153	118	77.12
tuka1248	Tukang Besi North	Austronesian	Papunesia	175	166	128	77.11
bali1278	Balinese	Austronesian	Papunesia	167	157	121	77.07
kawi1241	Kawi	Austronesian	Papunesia	128	122	94	77.05
mara1404	Maranao	Austronesian	Papunesia	128	122	94	77.05
monn1252	Mon	Austroasiatic	Eurasia	91	87	67	77.01
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	152	117	76.97
ines1240	Ineseño	Chumashan	North America	173	165	127	76.97
timu1262	Timugon Murut	Austronesian	Papunesia	153	152	117	76.97
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	130	100	76.92
isna1241	Isnag	Austronesian	Papunesia	163	156	120	76.92
bulo1242	Bulo Stieng	Austroasiatic	Eurasia	185	173	133	76.88
kips1239	Kipsigis	Nilotic	Africa	156	146	112	76.71
ibal1244	Ibaloi	Austronesian	Papunesia	169	163	125	76.69
bala1315	Balantak	Austronesian	Papunesia	178	167	128	76.65
sema1265	Semaq Beri	Austroasiatic	Eurasia	181	171	131	76.61
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	141	108	76.6
bamb1270	Bambam	Austronesian	Papunesia	134	128	98	76.56
kava1241	Kavalan	Austronesian	Papunesia	148	145	111	76.55
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	145	111	76.55
reng1252	Rengao	Austroasiatic	Eurasia	172	162	124	76.54
west2397	Western Bru	Austroasiatic	Eurasia	157	149	114	76.51
maan1238	Ma'anyan	Austronesian	Papunesia	163	157	120	76.43
nort2877	Northern Kankanay	Austronesian	Papunesia	149	140	107	76.43
thao1240	Thao	Austronesian	Papunesia	170	161	123	76.4
kunz1244	Kunza		South America	72	72	55	76.39
bala1311	Balangingi	Austronesian	Papunesia	153	148	113	76.35
east2485	Eastern Penan	Austronesian	Papunesia	147	139	106	76.26
mota1237	Mota	Austronesian	Papunesia	107	105	80	76.19
piji1239	Pijin	Indo-European	Papunesia	154	147	112	76.19
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	109	83	76.15
ayiw1239	Äiwoo	Austronesian	Papunesia	172	163	124	76.07
huas1242	Huastec	Mayan	North America	176	167	127	76.05
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	75	57	76
nort2684	Northern Khmer	Austroasiatic	Eurasia	191	179	136	75.98
