Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
poya1241	Poyanáwa	Pano-Tacanan	South America	50	46	40	86.96
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	115	97	84.35
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	171	144	84.21
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	10	83.33
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	156	129	82.69
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	129	106	82.17
pano1255	Panobo	Pano-Tacanan	South America	163	156	128	82.05
even1260	Even	Tungusic	Eurasia	141	128	105	82.03
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	133	109	81.95
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	138	113	81.88
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	110	90	81.82
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	70	57	81.43
nkor1239	Nkoroo	Ijoid	Africa	54	47	38	80.85
than1259	Thangmi	Sino-Tibetan	Eurasia	177	164	132	80.49
puma1239	Puma	Sino-Tibetan	Eurasia	172	157	126	80.25
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	101	81	80.2
raji1240	Raji	Sino-Tibetan	Eurasia	153	146	117	80.14
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	15	12	80
limb1266	Limbu	Sino-Tibetan	Eurasia	140	125	100	80
puqu1242	Puquina		South America	118	115	92	80
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	75	79.79
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	128	102	79.69
mill1237	Millcayac	Huarpean	South America	122	118	94	79.66
dara1250	Darai	Indo-European	Eurasia	178	162	129	79.63
bada1257	Badaga	Dravidian	Eurasia	127	122	97	79.51
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	68	54	79.41
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	160	127	79.38
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	159	126	79.25
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	144	114	79.17
hrus1242	Hruso		Eurasia	89	81	64	79.01
gana1278	Ganai	Pama-Nyungan	Australia	53	52	41	78.85
khal1275	Khaling	Sino-Tibetan	Eurasia	168	156	123	78.85
thur1254	Thurawal	Pama-Nyungan	Australia	86	85	67	78.82
muth1236	Muthuvan	Dravidian	Eurasia	143	132	104	78.79
chep1245	Chepang	Sino-Tibetan	Eurasia	163	159	125	78.62
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	168	132	78.57
kusu1250	Kusunda		Eurasia	173	163	128	78.53
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	135	106	78.52
orok1269	Orokaiva	Nuclear Trans New Guinea	Papunesia	171	158	124	78.48
kara1476	Karadjeri	Pama-Nyungan	Australia	67	65	51	78.46
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	153	120	78.43
dura1244	Dura	Sino-Tibetan	Eurasia	171	157	123	78.34
raut1239	Raute	Sino-Tibetan	Eurasia	133	129	101	78.29
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	114	89	78.07
duru1236	Duruwa	Dravidian	Eurasia	121	114	89	78.07
mund1320	Mundari	Austroasiatic	Eurasia	156	141	110	78.01
kile1243	Kilen	Tungusic	Eurasia	188	172	134	77.91
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	158	123	77.85
toto1302	Toto	Sino-Tibetan	Eurasia	155	149	116	77.85
drun1238	Drung	Sino-Tibetan	Eurasia	182	167	130	77.84
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	144	112	77.78
foii1241	Foi	East Kutubu	Papunesia	118	108	84	77.78
kork1243	Korku	Austroasiatic	Eurasia	133	126	98	77.78
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	139	108	77.7
thul1246	Thulung	Sino-Tibetan	Eurasia	175	161	125	77.64
bang1369	Bangru	Sino-Tibetan	Eurasia	151	138	107	77.54
kaki1249	Kaki Ae		Papunesia	138	129	100	77.52
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	151	117	77.48
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	142	110	77.46
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	155	120	77.42
west2417	Western Muya	Sino-Tibetan	Eurasia	112	106	82	77.36
gata1239	Gata'	Austroasiatic	Eurasia	156	145	112	77.24
koya1251	Koya	Dravidian	Eurasia	137	123	95	77.24
