Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	10	100
yinc1238	Yinchia	Austroasiatic	Eurasia	65	64	61	95.31
west2397	Western Bru	Austroasiatic	Eurasia	157	155	146	94.19
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	140	130	92.86
biha1246	Bih	Austronesian	Eurasia	182	175	162	92.57
homa1239	Homa	Atlantic-Congo	Africa	14	13	12	92.31
nort2994	Northern Roglai	Austronesian	Eurasia	90	88	81	92.05
east2485	Eastern Penan	Austronesian	Papunesia	147	142	130	91.55
phon1246	Phong-Kniang	Austroasiatic	Eurasia	74	70	64	91.43
hala1252	Halang	Austroasiatic	Eurasia	82	81	74	91.36
nyah1250	Nyahkur	Austroasiatic	Eurasia	192	183	167	91.26
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	159	145	91.19
chon1284	Chong of Chanthaburi	Austroasiatic	Eurasia	193	183	166	90.71
sooo1254	Sô	Austroasiatic	Eurasia	176	167	151	90.42
oldm1242	Old Mon	Austroasiatic	Eurasia	171	166	150	90.36
kuyy1240	Kuy	Austroasiatic	Eurasia	174	164	148	90.24
seda1262	Sedang	Austroasiatic	Eurasia	178	173	156	90.17
keri1250	Kerinci	Austronesian	Papunesia	127	120	108	90
lave1249	Brao	Austroasiatic	Eurasia	122	120	108	90
naro1251	Narom	Austronesian	Papunesia	132	128	115	89.84
phai1238	Prai	Austroasiatic	Eurasia	186	177	159	89.83
aheu1239	Thavung	Austroasiatic	Eurasia	192	182	163	89.56
mokl1243	Moklen	Austronesian	Eurasia	181	172	154	89.53
jehh1245	Jeh	Austroasiatic	Eurasia	139	133	119	89.47
khmu1256	Khmu	Austroasiatic	Eurasia	167	161	144	89.44
east2332	Eastern Bru	Austroasiatic	Eurasia	134	132	118	89.39
chra1242	Chrau	Austroasiatic	Eurasia	166	160	143	89.38
sapu1248	Sapuan	Austroasiatic	Eurasia	152	150	134	89.33
