Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
libi1244	Libinza	Atlantic-Congo	Africa	134	113	101	89.38
mmen1238	Mmen	Atlantic-Congo	Africa	10	9	8	88.89
maka1304	Makaa	Atlantic-Congo	Africa	159	139	123	88.49
keme1240	Kemezung	Atlantic-Congo	Africa	135	119	104	87.39
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	23	20	86.96
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	115	100	86.96
makw1236	Makwe	Atlantic-Congo	Africa	86	72	62	86.11
gala1264	Galambu	Afro-Asiatic	Africa	79	77	66	85.71
orok1266	Oroko	Atlantic-Congo	Africa	139	125	107	85.6
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	96	82	85.42
liki1240	Balobo	Atlantic-Congo	Africa	99	88	75	85.23
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	121	103	85.12
elip1238	Elip	Atlantic-Congo	Africa	111	100	85	85
bila1255	Bila	Atlantic-Congo	Africa	134	115	97	84.35
ndob1238	Ndobo	Atlantic-Congo	Africa	85	76	64	84.21
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	101	85	84.16
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	156	131	83.97
tien1242	Tiene	Atlantic-Congo	Africa	126	112	94	83.93
tswa1255	Tswa	Atlantic-Congo	Africa	162	143	120	83.92
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	142	119	83.8
bebe1248	Bebele	Atlantic-Congo	Africa	184	154	129	83.77
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	141	118	83.69
dibo1245	Dibole	Atlantic-Congo	Africa	124	109	91	83.49
baba1266	Babanki	Atlantic-Congo	Africa	159	138	115	83.33
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
osam1235	Osamayi	Atlantic-Congo	Africa	105	96	80	83.33
swah1253	Swahili	Atlantic-Congo	Africa	178	150	125	83.33
ukaa1243	Ukaan	Atlantic-Congo	Africa	46	42	35	83.33
bond1247	Bondei	Atlantic-Congo	Africa	151	131	109	83.21
koon1245	Koonzime	Atlantic-Congo	Africa	133	119	99	83.19
yasa1242	Yasa	Atlantic-Congo	Africa	101	95	79	83.16
yinc1238	Yinchia	Austroasiatic	Eurasia	65	59	49	83.05
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	112	93	83.04
luya1241	Luyi	Atlantic-Congo	Africa	172	147	122	82.99
chim1312	Chimwiini	Atlantic-Congo	Africa	81	70	58	82.86
nyan1307	Nyankole	Atlantic-Congo	Africa	185	157	130	82.8
okuu1243	Oku	Atlantic-Congo	Africa	110	98	81	82.65
lumb1249	Lumbu	Atlantic-Congo	Africa	146	126	104	82.54
bafi1243	Bafia	Atlantic-Congo	Africa	173	148	122	82.43
bekw1242	Bekwil	Atlantic-Congo	Africa	100	91	75	82.42
dual1243	Duala	Atlantic-Congo	Africa	138	119	98	82.35
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	34	28	82.35
soga1242	Soga	Atlantic-Congo	Africa	181	153	126	82.35
nila1242	Nilamba	Atlantic-Congo	Africa	162	141	116	82.27
geru1240	Geruma	Afro-Asiatic	Africa	66	62	51	82.26
abar1238	Mungbam	Atlantic-Congo	Africa	180	152	125	82.24
gusi1247	Gusii	Atlantic-Congo	Africa	173	152	125	82.24
belu1239	Belueli	Atlantic-Congo	Africa	73	67	55	82.09
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	116	95	81.9
