Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
awad1243	Awadhi	Indo-European	Eurasia	173	154	143	92.86
daha1245	Dahalo	Afro-Asiatic	Africa	46	46	41	89.13
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	161	142	88.2
west2386	Western Panjabi	Indo-European	Eurasia	150	140	120	85.71
doma1260	Domaaki	Indo-European	Eurasia	144	130	110	84.62
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	71	60	84.51
mara1378	Marathi	Indo-European	Eurasia	190	170	143	84.12
mari1414	Maria (India)	Dravidian	Eurasia	119	112	94	83.93
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	66	83.54
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	90	75	83.33
kash1277	Kashmiri	Indo-European	Eurasia	184	165	137	83.03
konk1267	Konkan Marathi	Indo-European	Eurasia	180	163	135	82.82
panj1256	Eastern Panjabi	Indo-European	Eurasia	195	173	143	82.66
nepa1254	Nepali	Indo-European	Eurasia	162	152	124	81.58
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	134	108	80.6
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	134	108	80.6
dand1238	Dandami Maria	Dravidian	Eurasia	161	149	120	80.54
tami1289	Tamil	Dravidian	Eurasia	195	173	139	80.35
muth1236	Muthuvan	Dravidian	Eurasia	143	132	106	80.3
duru1236	Duruwa	Dravidian	Eurasia	121	111	89	80.18
dara1250	Darai	Indo-European	Eurasia	178	160	128	80
koya1251	Koya	Dravidian	Eurasia	137	129	103	79.84
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	84	67	79.76
oriy1255	Odia	Indo-European	Eurasia	193	172	137	79.65
hind1269	Hindi	Indo-European	Eurasia	187	169	134	79.29
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	53	42	79.25
mait1250	Maithili	Indo-European	Eurasia	180	163	129	79.14
tulu1258	Tulu	Dravidian	Eurasia	163	148	117	79.05
lamb1269	Lambadi	Indo-European	Eurasia	155	146	115	78.77
korr1238	Korra Koraga	Dravidian	Eurasia	133	121	95	78.51
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	166	130	78.31
kada1242	Kadar	Dravidian	Eurasia	156	138	108	78.26
dizi1235	Dizin	Dizoid	Africa	57	55	43	78.18
moch1259	Mochica		South America	139	127	99	77.95
koro1312	Korowai	Nuclear Trans New Guinea	Papunesia	96	86	67	77.91
bada1257	Badaga	Dravidian	Eurasia	127	117	91	77.78
benc1235	Bench	Ta-Ne-Omotic	Africa	82	76	59	77.63
kota1263	Kota (India)	Dravidian	Eurasia	158	143	111	77.62
erzy1239	Erzya	Uralic	Eurasia	190	169	131	77.51
bili1260	Bilin	Afro-Asiatic	Africa	157	146	113	77.4
maga1260	Magahi	Indo-European	Eurasia	136	128	99	77.34
livv1244	Liv	Uralic	Eurasia	194	172	133	77.33
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	132	102	77.27
nara1262	Nara		Africa	132	118	91	77.12
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	109	84	77.06
mala1463	Malavedan	Dravidian	Eurasia	163	148	114	77.03
cald1236	Calderón Highland Quichua	Quechuan	South America	155	143	110	76.92
cham1309	Chamalal	Nakh-Daghestanian	Eurasia	159	143	110	76.92
even1259	Evenki	Tungusic	Eurasia	158	143	110	76.92
lith1251	Lithuanian	Indo-European	Eurasia	191	169	130	76.92
esto1258	Estonian	Uralic	Eurasia	195	173	133	76.88
hier1240	Hieroglyphic Luwian	Indo-European	Eurasia	142	134	103	76.87
swed1254	Swedish	Indo-European	Eurasia	182	164	126	76.83
latv1249	Latvian	Indo-European	Eurasia	184	168	129	76.79
faro1244	Faroese	Indo-European	Eurasia	194	172	132	76.74
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	158	121	76.58
tong1329	Tongva	Uto-Aztecan	North America	162	145	111	76.55
telu1262	Telugu	Dravidian	Eurasia	127	115	88	76.52
kinn1249	Kinnauri	Sino-Tibetan	Eurasia	188	166	127	76.51
niha1238	Nihali		Eurasia	164	149	114	76.51
mido1240	Midob	Nubian	Africa	55	51	39	76.47
nucl1305	Kannada	Dravidian	Eurasia	191	170	130	76.47
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	152	116	76.32
sant1410	Santali	Austroasiatic	Eurasia	155	139	106	76.26
