Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
cemu1238	Cemuhî	Austronesian	Papunesia	180	175	157	89.71
ngul1236	Nguluwan	Austronesian	Papunesia	56	55	49	89.09
oroh1237	Oroha	Austronesian	Papunesia	118	117	101	86.32
kuma1276	Nêlêmwa-Nixumwak	Austronesian	Papunesia	189	183	156	85.25
xara1244	Xârâcùù	Austronesian	Papunesia	189	184	156	84.78
gela1263	Gela	Austronesian	Papunesia	181	176	149	84.66
nyal1254	Belep	Austronesian	Papunesia	180	173	146	84.39
neng1238	Nengone	Austronesian	Papunesia	169	166	140	84.34
dehu1237	Dehu	Austronesian	Papunesia	150	143	120	83.92
iaai1238	Iaai	Austronesian	Papunesia	178	173	145	83.82
bugh1239	Bughotu	Austronesian	Papunesia	131	129	108	83.72
lauu1247	Lau	Austronesian	Papunesia	141	140	117	83.57
orow1242	Orowe	Austronesian	Papunesia	160	158	132	83.54
aros1241	Arosi	Austronesian	Papunesia	141	139	116	83.45
tali1259	Talise	Austronesian	Papunesia	142	141	117	82.98
rovi1238	Roviana	Austronesian	Papunesia	161	158	131	82.91
surs1246	Sursurunga	Austronesian	Papunesia	159	158	131	82.91
bala1316	Balade	Austronesian	Papunesia	152	150	124	82.67
ughe1237	Ughele	Austronesian	Papunesia	182	179	147	82.12
ghar1239	Ghari	Austronesian	Papunesia	151	150	123	82
tuva1244	Tuvalu	Austronesian	Papunesia	179	172	141	81.98
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	111	91	81.98
saaa1240	Sa'a	Austronesian	Papunesia	145	144	118	81.94
leme1238	Lemerig	Austronesian	Papunesia	164	160	131	81.88
long1395	Longgu	Austronesian	Papunesia	151	148	121	81.76
caac1237	Caac	Austronesian	Papunesia	151	147	120	81.63
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	87	71	81.61
wala1266	Wala	Austronesian	Papunesia	150	149	121	81.21
ajie1238	Ajië	Austronesian	Papunesia	149	148	120	81.08
maro1244	Marovo	Austronesian	Papunesia	84	84	68	80.95
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	104	84	80.77
anut1237	Anuta	Austronesian	Papunesia	153	150	121	80.67
mini1251	Minigir	Austronesian	Papunesia	178	174	140	80.46
muss1246	Mussau-Emira	Austronesian	Papunesia	90	87	70	80.46
tung1290	Tungag	Austronesian	Papunesia	178	174	140	80.46
lamo1244	Lamogai	Austronesian	Papunesia	135	132	106	80.3
hoav1238	Hoava	Austronesian	Papunesia	176	172	138	80.23
vure1239	Vurës	Austronesian	Papunesia	194	187	150	80.21
anei1239	Aneityum	Austronesian	Papunesia	180	176	141	80.11
kuan1248	Kuanua	Austronesian	Papunesia	174	170	136	80
dumb1241	Dumbea	Austronesian	Papunesia	173	169	135	79.88
ghan1242	Ghanongga	Austronesian	Papunesia	166	164	131	79.88
rotu1241	Rotuman	Austronesian	Papunesia	163	159	127	79.87
zaba1237	Zabana	Austronesian	Papunesia	163	159	127	79.87
kusa1251	Kusaghe-Njela	Austronesian	Papunesia	177	173	138	79.77
siar1238	Siar-Lak	Austronesian	Papunesia	87	84	67	79.76
tiga1245	Tigak	Austronesian	Papunesia	171	168	134	79.76
tiri1258	Tiri-Mea	Austronesian	Papunesia	188	182	145	79.67
kwai1243	Kwaio	Austronesian	Papunesia	191	186	148	79.57
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	141	112	79.43
maor1246	Maori	Austronesian	Papunesia	191	184	146	79.35
west2516	West Uvean	Austronesian	Papunesia	189	184	146	79.35
labo1244	Ninde	Austronesian	Papunesia	122	121	96	79.34
mudu1242	Muduapa	Austronesian	Papunesia	186	182	144	79.12
niua1240	Niuafo'ou	Austronesian	Papunesia	182	177	140	79.1
hawa1245	Hawaiian	Austronesian	Papunesia	181	176	139	78.98
piji1239	Pijin	Indo-European	Papunesia	154	152	120	78.95
maan1238	Ma'anyan	Austronesian	Papunesia	163	161	127	78.88
bann1247	Bannoni	Austronesian	Papunesia	72	71	56	78.87
east1236	Eastern Katu	Austroasiatic	Eurasia	106	104	82	78.85
mota1237	Mota	Austronesian	Papunesia	107	104	82	78.85
koko1269	Kokota	Austronesian	Papunesia	190	184	145	78.8
blab1237	Blablanga	Austronesian	Papunesia	169	165	130	78.79
kaul1240	Kaulong	Austronesian	Papunesia	90	89	70	78.65
amar1272	Amara	Austronesian	Papunesia	148	145	114	78.62
toab1237	To'abaita	Austronesian	Papunesia	193	187	147	78.61
labe1239	Label	Austronesian	Papunesia	70	70	55	78.57
chek1238	Cheke Holo	Austronesian	Papunesia	167	163	128	78.53
nali1244	Nalik	Austronesian	Papunesia	174	172	135	78.49
wall1257	East Uvean	Austronesian	Papunesia	189	185	145	78.38
rung1259	Rungus	Austronesian	Papunesia	137	134	105	78.36
taga1272	Tagabawa	Austronesian	Papunesia	161	157	123	78.34
kwar1239	Kwara'ae	Austronesian	Papunesia	186	180	141	78.33
mono1273	Mono-Alu	Austronesian	Papunesia	111	110	86	78.18
lote1237	Lote	Austronesian	Papunesia	178	174	136	78.16
ulit1238	Ulithian	Austronesian	Papunesia	177	174	136	78.16
tolo1255	Tolomako	Austronesian	Papunesia	120	119	93	78.15
samo1305	Samoan	Austronesian	Papunesia	193	187	146	78.07
mouk1239	Mouk-Aria	Austronesian	Papunesia	139	136	106	77.94
bara1370	Baram Kayan	Austronesian	Papunesia	143	140	109	77.86
sons1242	Sonsorol	Austronesian	Papunesia	181	176	137	77.84
sika1261	Sikaiana	Austronesian	Papunesia	173	171	133	77.78
vera1241	Vera'a	Austronesian	Papunesia	191	184	143	77.72
tang1347	Movono	Austronesian	Papunesia	159	157	122	77.71
yako1252	Yakoma	Atlantic-Congo	Africa	143	139	108	77.7
mang1401	Mangareva	Austronesian	Papunesia	173	170	132	77.65
hili1240	Hiligaynon	Austronesian	Papunesia	77	76	59	77.63
penr1237	Māngarongaro	Austronesian	Papunesia	117	116	90	77.59
kele1258	Kele (Papua New Guinea)	Austronesian	Papunesia	150	146	113	77.4
raro1241	Southern Cook Island Maori	Austronesian	Papunesia	173	168	130	77.38
sioo1240	Sio	Austronesian	Papunesia	175	172	133	77.33
papu1250	Papuan Malay	Austronesian	Papunesia	191	185	143	77.3
saka1289	Wanohe	Austronesian	Papunesia	187	184	142	77.17
mang1403	Mangseng	Austronesian	Papunesia	165	162	125	77.16
agut1237	Agutaynen	Austronesian	Papunesia	161	157	121	77.07
jeha1242	Jehai	Austroasiatic	Eurasia	162	157	121	77.07
seke1241	Seke (Vanuatu)	Austronesian	Papunesia	175	170	131	77.06
tahi1242	Tahitian	Austronesian	Papunesia	188	183	141	77.05
wuvu1239	Wuvulu-Aua	Austronesian	Papunesia	151	148	114	77.03
aulu1238	Aulua	Austronesian	Papunesia	160	156	120	76.92
kana1286	Kanakanavu	Austronesian	Papunesia	147	143	110	76.92
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	186	143	76.88
kove1237	Kove	Austronesian	Papunesia	180	177	136	76.84
sisi1250	Sisiqa	Austronesian	Papunesia	71	69	53	76.81
sant1451	Santa María Quiegolani Zapotec	Otomanguean	North America	160	155	119	76.77
mand1440	Mandara	Austronesian	Papunesia	177	172	132	76.74
mang1405	Manggarai	Austronesian	Papunesia	168	163	125	76.69
niue1239	Niuean	Austronesian	Papunesia	137	133	102	76.69
leng1259	Lengo	Austronesian	Papunesia	172	167	128	76.65
motl1237	Mwotlap	Austronesian	Papunesia	195	188	144	76.6
cebu1242	Cebuano	Austronesian	Papunesia	84	81	62	76.54
mari1426	Sunwadia	Austronesian	Papunesia	167	162	124	76.54
pile1238	Vaeakau-Taumako	Austronesian	Papunesia	184	179	137	76.54
renn1242	Rennell-Bellona	Austronesian	Papunesia	166	162	124	76.54
lihi1237	Lihir	Austronesian	Papunesia	143	140	107	76.43
carn1240	Car Nicobarese	Austroasiatic	Eurasia	184	178	136	76.4
mere1242	Merei	Austronesian	Papunesia	183	178	136	76.4
patp1243	Patpatar	Austronesian	Papunesia	187	182	139	76.37
sooo1256	Soo	Kuliak	Africa	82	80	61	76.25
urak1238	Urak Lawoi'	Austronesian	Eurasia	167	164	125	76.22
binu1244	Talaandig-Binukid	Austronesian	Papunesia	108	105	80	76.19
reng1252	Rengao	Austroasiatic	Eurasia	172	168	128	76.19
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	134	102	76.12
east2447	East Futuna	Austronesian	Papunesia	187	180	137	76.11
tutu1241	Tutuba	Austronesian	Papunesia	184	180	137	76.11
ilon1239	Ilongot	Austronesian	Papunesia	145	142	108	76.06
lewo1244	Lewotobi	Austronesian	Papunesia	189	183	139	75.96
pohn1238	Pohnpeian	Austronesian	Papunesia	182	178	135	75.84
arop1243	Arop-Lokep	Austronesian	Papunesia	161	157	119	75.8
nort2839	North Ambrym	Austronesian	Papunesia	174	169	128	75.74
gada1258	Ga'dang	Austronesian	Papunesia	70	70	53	75.71
idom1241	Idoma	Atlantic-Congo	Africa	144	140	106	75.71
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	140	106	75.71
bisl1239	Bislama	Indo-European	Papunesia	185	181	137	75.69
west2600	West Makian	North Halmahera	Papunesia	151	148	112	75.68
rapa1244	Rapanui	Austronesian	Papunesia	163	156	118	75.64
moki1238	Mokilese	Austronesian	Papunesia	171	168	127	75.6
unea1237	Uneapa	Austronesian	Papunesia	87	86	65	75.58
karn1252	Karnai	Austronesian	Papunesia	142	139	105	75.54
sapo1253	Saposa	Austronesian	Papunesia	145	143	108	75.52
agus1235	Agusan Manobo	Austronesian	Papunesia	103	102	77	75.49
west2397	Western Bru	Austroasiatic	Eurasia	157	155	117	75.48
nang1262	Nanggu	Austronesian	Papunesia	162	159	120	75.47
mbul1263	Mbula	Austronesian	Papunesia	183	179	135	75.42
heil1246	Heiltsuk-Oowekyala	Wakashan	North America	126	122	92	75.41
lotu1250	Lotud	Austronesian	Papunesia	132	130	98	75.38
mama1275	Mamanwa	Austronesian	Papunesia	149	146	110	75.34
noku1237	Nokuku	Austronesian	Papunesia	156	154	116	75.32
sanm1295	San Miguel El Grande Mixtec	Otomanguean	North America	184	178	134	75.28
buna1276	Bunama	Austronesian	Papunesia	125	121	91	75.21
remb1250	Rembong-Wangka	Austronesian	Papunesia	159	157	118	75.16
oldm1242	Old Mon	Austroasiatic	Eurasia	171	165	124	75.15
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	165	124	75.15
cari1276	Caribbean Javanese	Austronesian	South America	97	96	72	75
cent2058	Central Maewo	Austronesian	Papunesia	110	108	81	75
iran1262	Iranun	Austronesian	Papunesia	138	136	102	75
lusi1240	Lusi	Austronesian	Papunesia	144	140	105	75
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	96	72	75
oldk1249	Old Khmer	Austroasiatic	Eurasia	147	144	108	75
teop1238	Teop	Austronesian	Papunesia	149	148	111	75
tojo1241	Tojolabal	Mayan	North America	195	188	141	75
tong1325	Tonga (Tonga Islands)	Austronesian	Papunesia	172	168	126	75
torr1261	Torres Strait-Lockhart River Creole	Indo-European	Australia	190	187	140	74.87
mlab1235	Mlabri	Austroasiatic	Eurasia	182	175	131	74.86
bari1286	Bariai	Austronesian	Papunesia	176	171	128	74.85
sout2895	South Nuaulu	Austronesian	Papunesia	158	155	116	74.84
male1289	Maleu-Kilenge	Austronesian	Papunesia	154	151	113	74.83
east2694	Eastern Subanen	Austronesian	Papunesia	109	107	80	74.77
seim1238	Seimat	Austronesian	Papunesia	192	186	139	74.73
zoog1238	Zoogocho Zapotec	Otomanguean	North America	176	170	127	74.71
lara1260	Larantuka Malay	Austronesian	Papunesia	169	166	124	74.7
whit1269	Whitesands	Austronesian	Papunesia	167	162	121	74.69
chuu1238	Chuukese	Austronesian	Papunesia	132	130	97	74.62
zenz1235	Zenzontepec Chatino	Otomanguean	North America	134	130	97	74.62
paco1243	Pacoh	Austroasiatic	Eurasia	188	181	135	74.59
hali1244	Halia	Austronesian	Papunesia	172	169	126	74.56
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	55	41	74.55
simb1256	Simbo	Austronesian	Papunesia	95	94	70	74.47
cham1312	Chamorro	Austronesian	Papunesia	188	184	137	74.46
biat1246	Biatah Bidayuh	Austronesian	Papunesia	137	133	99	74.44
buka1257	Bukar-Sadung Bidayuh	Austronesian	Papunesia	132	129	96	74.42
idun1242	Iduna	Austronesian	Papunesia	179	172	128	74.42
tata1258	Tataltepec Chatino	Otomanguean	North America	126	125	93	74.4
daak1235	Da'a Kaili	Austronesian	Papunesia	123	121	90	74.38
rata1244	Ratahan	Austronesian	Papunesia	166	160	119	74.38
papa1265	Papapana	Austronesian	Papunesia	188	183	136	74.32
mpur1239	Mpur		Papunesia	185	179	133	74.3
basa1287	Basay	Austronesian	Papunesia	106	105	78	74.29
nort2845	North Marquesan	Austronesian	Papunesia	178	175	130	74.29
suru1261	Suruí Do Pará	Tupian	South America	68	66	49	74.24
gapa1238	Gapapaiwa	Austronesian	Papunesia	157	155	115	74.19
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	124	92	74.19
akei1237	Akei	Austronesian	Papunesia	122	120	89	74.17
tane1237	Tanema	Austronesian	Papunesia	154	151	112	74.17
west2650	Western Cham	Austronesian	Eurasia	151	147	109	74.15
sabu1255	Hawu	Austronesian	Papunesia	172	170	126	74.12
tang1348	Tangga	Austronesian	Papunesia	140	139	103	74.1
yape1248	Yapese	Austronesian	Papunesia	170	166	123	74.1
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	131	97	74.05
east2332	Eastern Bru	Austroasiatic	Eurasia	134	131	97	74.05
fili1244	Filipino	Austronesian	Papunesia	186	181	134	74.03
maee1241	Tirax	Austronesian	Papunesia	188	181	134	74.03
para1301	South Wa	Austroasiatic	Eurasia	185	181	134	74.03
jamb1236	Jambi Malay	Austronesian	Papunesia	181	177	131	74.01
pulu1242	Puluwatese	Austronesian	Papunesia	166	165	122	73.94
taku1257	Takuu	Austronesian	Papunesia	168	165	122	73.94
