Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
finn1310	Finnish Sign Language	Sign Language	Eurasia	16	12	11	91.67
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	154	141	91.56
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	149	136	91.28
puqu1242	Puquina		South America	118	103	92	89.32
sanm1289	San Martín Quechua	Quechuan	South America	171	141	125	88.65
inga1252	Colombian Inga	Quechuan	South America	69	61	54	88.52
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	153	135	88.24
achu1248	Achuar-Shiwiar	Chicham	South America	183	150	132	88
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	8	7	87.5
bada1257	Badaga	Dravidian	Eurasia	127	118	103	87.29
muth1236	Muthuvan	Dravidian	Eurasia	143	125	109	87.2
tuvi1240	Tuvinian	Turkic	Eurasia	154	131	114	87.02
mill1237	Millcayac	Huarpean	South America	122	113	98	86.73
pano1255	Panobo	Pano-Tacanan	South America	163	139	120	86.33
mala1463	Malavedan	Dravidian	Eurasia	163	138	119	86.23
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	116	100	86.21
duru1236	Duruwa	Dravidian	Eurasia	121	106	91	85.85
caml1239	Camling	Sino-Tibetan	Eurasia	170	140	120	85.71
nalo1235	Nalögo	Austronesian	Papunesia	33	28	24	85.71
tulu1258	Tulu	Dravidian	Eurasia	163	138	118	85.51
yawa1260	Yawanawa	Pano-Tacanan	South America	148	131	112	85.5
jaqa1244	Jaqaru	Aymaran	South America	150	124	106	85.48
korr1238	Korra Koraga	Dravidian	Eurasia	133	116	99	85.34
sout1549	Southeastern Kolami	Dravidian	Eurasia	76	68	58	85.29
sout2996	Southern Aymara	Aymaran	South America	186	147	125	85.03
cusc1236	Cusco Quechua	Quechuan	South America	167	143	121	84.62
nort2980	North Junín Quechua	Quechuan	South America	175	149	126	84.56
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	128	108	84.38
ayac1239	Ayacucho Quechua	Quechuan	South America	166	140	118	84.29
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	89	75	84.27
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	139	117	84.17
kuvi1243	Kuvi	Dravidian	Eurasia	103	88	74	84.09
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	144	121	84.03
nort2699	Northwestern Kolami	Dravidian	Eurasia	89	81	68	83.95
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	136	114	83.82
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	136	114	83.82
uruu1244	Uru	Uru-Chipaya	South America	170	142	119	83.8
maga1260	Magahi	Indo-European	Eurasia	136	123	103	83.74
bash1264	Bashkir	Turkic	Eurasia	161	129	108	83.72
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	141	118	83.69
siaw1243	Siawi	Amto-Musan	Papunesia	123	116	97	83.62
toda1252	Toda	Dravidian	Eurasia	139	128	107	83.59
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	91	76	83.52
telu1262	Telugu	Dravidian	Eurasia	127	103	86	83.5
yora1241	Yora	Pano-Tacanan	South America	129	115	96	83.48
koya1251	Koya	Dravidian	Eurasia	137	120	100	83.33
guam1248	Guambiano	Barbacoan	South America	127	113	94	83.19
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	113	94	83.19
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	53	44	83.02
nort2952	Northeast Maidu	Maiduan	North America	161	141	117	82.98
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	105	87	82.86
kusu1250	Kusunda		Eurasia	173	140	116	82.86
woiw1237	Woiwurrung-Thagungwurrung	Pama-Nyungan	Australia	99	93	77	82.8
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	133	110	82.71
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	132	109	82.58
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	132	109	82.58
koda1255	Kodava	Dravidian	Eurasia	182	149	123	82.55
chen1255	Chenchu	Dravidian	Eurasia	180	143	118	82.52
paez1247	Páez		South America	45	40	33	82.5
skol1241	Skolt Saami	Uralic	Eurasia	192	154	127	82.47
biri1256	Biri	Pama-Nyungan	Australia	146	125	103	82.4
char1269	Chara	Ta-Ne-Omotic	Africa	149	125	103	82.4
kada1242	Kadar	Dravidian	Eurasia	156	136	112	82.35
tata1255	Tatar	Turkic	Eurasia	176	147	121	82.31
dara1250	Darai	Indo-European	Eurasia	178	141	116	82.27
shan1283	Shanenawa	Pano-Tacanan	South America	171	141	116	82.27
nucl1305	Kannada	Dravidian	Eurasia	191	152	125	82.24
yami1256	Yaminahua	Pano-Tacanan	South America	182	151	124	82.12
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	95	78	82.11
thur1254	Thurawal	Pama-Nyungan	Australia	86	78	64	82.05
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	128	105	82.03
even1260	Even	Tungusic	Eurasia	141	111	91	81.98
kork1243	Korku	Austroasiatic	Eurasia	133	111	91	81.98
niha1238	Nihali		Eurasia	164	133	109	81.95
tami1289	Tamil	Dravidian	Eurasia	195	155	127	81.94
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	22	18	81.82
kota1263	Kota (India)	Dravidian	Eurasia	158	132	108	81.82
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	132	108	81.82
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	58	81.69
oroc1248	Oroch	Tungusic	Eurasia	162	142	116	81.69
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	109	89	81.65
mudu1239	Muduga	Dravidian	Eurasia	161	136	111	81.62
cent2142	Central Aymara	Aymaran	South America	160	130	106	81.54
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	146	119	81.51
capa1241	Capanahua	Pano-Tacanan	South America	171	140	114	81.43
chep1245	Chepang	Sino-Tibetan	Eurasia	163	140	114	81.43
amah1246	Amahuaca	Pano-Tacanan	South America	153	129	105	81.4
pawa1255	Pawaia		Papunesia	110	102	83	81.37
yana1271	Yana		North America	91	80	65	81.25
cent2126	Central Okinawan	Japonic	Eurasia	153	133	108	81.2
aika1237	Aikanã		South America	90	85	69	81.18
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	138	112	81.16
dizi1235	Dizin	Dizoid	Africa	57	53	43	81.13
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	143	116	81.12
asur1254	Asuri	Austroasiatic	Eurasia	149	127	103	81.1
nort2697	North Azerbaijani	Turkic	Eurasia	188	153	124	81.05
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	147	119	80.95
erzy1239	Erzya	Uralic	Eurasia	190	152	123	80.92
kile1243	Kilen	Tungusic	Eurasia	188	152	123	80.92
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	68	55	80.88
shol1240	Sholaga	Dravidian	Eurasia	172	141	114	80.85
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	125	101	80.8
orok1265	Orok	Tungusic	Eurasia	151	125	101	80.8
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	104	84	80.77
