Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	8	88.89
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	164	144	87.8
suru1262	Suruí	Tupian	South America	18	16	14	87.5
suru1261	Suruí Do Pará	Tupian	South America	68	62	54	87.1
puma1239	Puma	Sino-Tibetan	Eurasia	172	153	132	86.27
cald1236	Calderón Highland Quichua	Quechuan	South America	155	140	120	85.71
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	75	64	85.33
jeru1240	Jerung	Sino-Tibetan	Eurasia	145	133	113	84.96
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	96	81	84.38
dara1250	Darai	Indo-European	Eurasia	178	159	134	84.28
thul1246	Thulung	Sino-Tibetan	Eurasia	175	159	134	84.28
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	114	96	84.21
bant1281	Bantawa	Sino-Tibetan	Eurasia	181	157	132	84.08
pare1266	Gorum-Parenga	Austroasiatic	Eurasia	146	135	113	83.7
wayu1241	Wayu	Sino-Tibetan	Eurasia	183	164	137	83.54
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
than1259	Thangmi	Sino-Tibetan	Eurasia	177	153	127	83.01
kusu1250	Kusunda		Eurasia	173	158	131	82.91
sunw1242	Sunwar	Sino-Tibetan	Eurasia	174	157	130	82.8
puqu1242	Puquina		South America	118	110	91	82.73
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	51	42	82.35
kaki1249	Kaki Ae		Papunesia	138	123	101	82.11
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	148	121	81.76
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	131	107	81.68
fass1245	Momu-Fas	Baibai-Fas	Papunesia	144	131	107	81.68
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	131	107	81.68
korr1238	Korra Koraga	Dravidian	Eurasia	133	120	98	81.67
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	141	115	81.56
khal1275	Khaling	Sino-Tibetan	Eurasia	168	149	121	81.21
komi1270	Kom (India)	Sino-Tibetan	Eurasia	168	154	125	81.17
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	110	89	80.91
poya1241	Poyanáwa	Pano-Tacanan	South America	50	47	38	80.85
limb1266	Limbu	Sino-Tibetan	Eurasia	140	119	96	80.67
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	62	50	80.65
raut1239	Raute	Sino-Tibetan	Eurasia	133	123	99	80.49
muth1236	Muthuvan	Dravidian	Eurasia	143	128	103	80.47
yort1237	Yorta Yorta	Pama-Nyungan	Australia	57	51	41	80.39
koya1251	Koya	Dravidian	Eurasia	137	122	98	80.33
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	147	118	80.27
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	91	73	80.22
telu1262	Telugu	Dravidian	Eurasia	127	116	93	80.17
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	156	125	80.13
kulu1253	Kulung (Nepal)	Sino-Tibetan	Eurasia	168	151	121	80.13
araw1273	Araweté	Tupian	South America	148	135	108	80
chuk1273	Chukchi	Chukotko-Kamchatkan	Eurasia	195	170	136	80
drun1238	Drung	Sino-Tibetan	Eurasia	182	160	128	80
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	60	48	80
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	160	128	80
pano1255	Panobo	Pano-Tacanan	South America	163	150	120	80
quey1238	Queyu	Sino-Tibetan	Eurasia	6	5	4	80
avac1239	Avá-Canoeiro	Tupian	South America	153	139	111	79.86
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	124	99	79.84
pawa1255	Pawaia		Papunesia	110	104	83	79.81
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	94	75	79.79
dumi1241	Dumi	Sino-Tibetan	Eurasia	166	143	114	79.72
teda1241	Tedaga	Saharan	Africa	160	138	110	79.71
tuvi1240	Tuvinian	Turkic	Eurasia	154	138	110	79.71
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	133	106	79.7
bada1257	Badaga	Dravidian	Eurasia	127	118	94	79.66
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	113	90	79.65
nort2745	Northern Yukaghir	Yukaghir	Eurasia	191	167	133	79.64
chen1255	Chenchu	Dravidian	Eurasia	180	157	125	79.62
mala1463	Malavedan	Dravidian	Eurasia	163	147	117	79.59
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	127	101	79.53
capa1241	Capanahua	Pano-Tacanan	South America	171	151	120	79.47
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	146	116	79.45
tulu1258	Tulu	Dravidian	Eurasia	163	146	116	79.45
oriy1255	Odia	Indo-European	Eurasia	193	170	135	79.41
asur1254	Asuri	Austroasiatic	Eurasia	149	131	104	79.39
bhoj1244	Bhojpuri	Indo-European	Eurasia	171	155	123	79.35
chep1245	Chepang	Sino-Tibetan	Eurasia	163	150	119	79.33
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	145	115	79.31
duru1236	Duruwa	Dravidian	Eurasia	121	111	88	79.28
walm1241	Walmajarri	Pama-Nyungan	Australia	57	53	42	79.25
kala1400	Central Kalapuya	Kalapuyan	North America	139	130	103	79.23
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	168	133	79.17
nort2864	Wemale	Austronesian	Papunesia	76	67	53	79.1
nort2952	Northeast Maidu	Maiduan	North America	161	143	113	79.02
wash1253	Washo		North America	152	138	109	78.99
sanm1289	San Martín Quechua	Quechuan	South America	171	157	124	78.98
east2773	Eastern Newari	Sino-Tibetan	Eurasia	190	166	131	78.92
kuii1252	Kui (India)	Dravidian	Eurasia	113	104	82	78.85
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	156	123	78.85
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	170	134	78.82
sant1410	Santali	Austroasiatic	Eurasia	155	136	107	78.68
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	150	118	78.67
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	126	99	78.57
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	154	121	78.57
dura1244	Dura	Sino-Tibetan	Eurasia	171	149	117	78.52
maru1252	Marúbo	Pano-Tacanan	South America	126	121	95	78.51
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	79	62	78.48
amar1274	Amarakaeri	Harakmbut	South America	154	144	113	78.47
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	116	91	78.45
west2417	Western Muya	Sino-Tibetan	Eurasia	112	102	80	78.43
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	139	109	78.42
maga1260	Magahi	Indo-European	Eurasia	136	125	98	78.4
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	111	87	78.38
cent2126	Central Okinawan	Japonic	Eurasia	153	134	105	78.36
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	161	126	78.26
even1259	Evenki	Tungusic	Eurasia	158	138	108	78.26
gily1242	Amur Nivkh	Nivkh	Eurasia	183	161	126	78.26
pait1244	Paite Chin	Sino-Tibetan	Eurasia	152	138	108	78.26
west2418	Western Magar	Sino-Tibetan	Eurasia	195	170	133	78.24
tata1255	Tatar	Turkic	Eurasia	176	156	122	78.21
konk1267	Konkan Marathi	Indo-European	Eurasia	180	160	125	78.12
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	137	107	78.1
mund1320	Mundari	Austroasiatic	Eurasia	156	137	107	78.1
keap1239	Keapara	Austronesian	Papunesia	174	155	121	78.06
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	123	96	78.05
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	123	96	78.05
nucl1593	Kwomtari	Kwomtari-Nai	Papunesia	175	150	117	78
youl1235	Youle Jinuo	Sino-Tibetan	Eurasia	192	168	131	77.98
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	154	120	77.92
shol1240	Sholaga	Dravidian	Eurasia	172	154	120	77.92
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	163	127	77.91
cogu1240	Cogui	Chibchan	South America	141	122	95	77.87
kota1263	Kota (India)	Dravidian	Eurasia	158	140	109	77.86
siri1273	Sirionó	Tupian	South America	169	149	116	77.85
coca1259	Cocama-Cocamilla	Tupian	South America	188	167	130	77.84
achu1247	Achumawi	Palaihnihan	North America	106	90	70	77.78
inga1252	Colombian Inga	Quechuan	South America	69	63	49	77.78
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	144	112	77.78
opat1246	Teguima	Uto-Aztecan	North America	120	103	80	77.67
kuvi1243	Kuvi	Dravidian	Eurasia	103	94	73	77.66
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	152	118	77.63
bash1264	Bashkir	Turkic	Eurasia	161	143	111	77.62
guiq1238	Guiqiong	Sino-Tibetan	Eurasia	177	156	121	77.56
dand1238	Dandami Maria	Dravidian	Eurasia	161	147	114	77.55
skol1241	Skolt Saami	Uralic	Eurasia	192	169	131	77.51
nezp1238	Nez Perce	Sahaptian	North America	176	160	124	77.5
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	142	110	77.46
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	133	103	77.44
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	84	65	77.38
uruu1244	Uru	Uru-Chipaya	South America	170	150	116	77.33
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	163	126	77.3
toto1302	Toto	Sino-Tibetan	Eurasia	155	141	109	77.3
tong1329	Tongva	Uto-Aztecan	North America	162	145	112	77.24
saur1249	Sauria Paharia	Dravidian	Eurasia	179	158	122	77.22
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	136	105	77.21
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	136	105	77.21
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	162	125	77.16
koda1255	Kodava	Dravidian	Eurasia	182	162	125	77.16
boru1252	Boruca	Chibchan	North America	117	105	81	77.14
tara1313	Tarao	Sino-Tibetan	Eurasia	166	153	118	77.12
biri1256	Biri	Pama-Nyungan	Australia	146	131	101	77.1
toda1252	Toda	Dravidian	Eurasia	139	126	97	76.98
guru1261	Gurung	Sino-Tibetan	Eurasia	174	152	117	76.97
nort2980	North Junín Quechua	Quechuan	South America	175	152	117	76.97
gale1259	Galela	North Halmahera	Papunesia	143	130	100	76.92
kunz1244	Kunza		South America	72	65	50	76.92
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	164	126	76.83
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	151	116	76.82
pana1307	Panará	Nuclear-Macro-Je	South America	156	138	106	76.81
arao1248	Araona	Pano-Tacanan	South America	193	168	129	76.79
chuv1255	Chuvash	Turkic	Eurasia	193	168	129	76.79
mara1378	Marathi	Indo-European	Eurasia	190	168	129	76.79
wamb1257	Wambule	Sino-Tibetan	Eurasia	189	168	129	76.79
paez1247	Páez		South America	45	43	33	76.74
mill1237	Millcayac	Huarpean	South America	122	116	89	76.72
afar1241	Afar	Afro-Asiatic	Africa	188	163	125	76.69
erzy1239	Erzya	Uralic	Eurasia	190	167	128	76.65
hrus1242	Hruso		Eurasia	89	77	59	76.62
kork1243	Korku	Austroasiatic	Eurasia	133	124	95	76.61
cani1243	Canichana		South America	50	47	36	76.6
juan1238	Juang	Austroasiatic	Eurasia	150	128	98	76.56
mika1239	Mikasuki	Muskogean	North America	147	128	98	76.56
adan1251	Adang	Timor-Alor-Pantar	Papunesia	184	162	124	76.54
aona1235	Ao Naga	Sino-Tibetan	Eurasia	185	162	124	76.54
thad1238	Thado Chin	Sino-Tibetan	Eurasia	184	162	124	76.54
waur1244	Waurá	Arawakan	South America	86	81	62	76.54
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	132	101	76.52
ayac1239	Ayacucho Quechua	Quechuan	South America	166	149	114	76.51
mana1288	Manange	Sino-Tibetan	Eurasia	191	166	127	76.51
nucl1305	Kannada	Dravidian	Eurasia	191	166	127	76.51
ruka1240	Rukai	Austronesian	Papunesia	191	166	127	76.51
ersu1241	Ersu	Sino-Tibetan	Eurasia	195	170	130	76.47
moyo1238	Moyon	Sino-Tibetan	Eurasia	167	144	110	76.39
boli1256	Bolinao	Austronesian	Papunesia	60	55	42	76.36
dizi1235	Dizin	Dizoid	Africa	57	55	42	76.36
kile1243	Kilen	Tungusic	Eurasia	188	165	126	76.36
mbya1239	Mbyá Guaraní	Tupian	South America	161	148	113	76.35
arch1244	Archi	Nakh-Daghestanian	Eurasia	148	131	100	76.34
ngan1291	Nganasan	Uralic	Eurasia	194	169	129	76.33
thak1245	Thakali	Sino-Tibetan	Eurasia	193	169	129	76.33
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	152	116	76.32
amah1246	Amahuaca	Pano-Tacanan	South America	153	143	109	76.22
gaga1249	Gagauz	Turkic	Eurasia	188	164	125	76.22
niha1238	Nihali		Eurasia	164	143	109	76.22
fore1265	Forest Enets	Uralic	Eurasia	193	168	128	76.19
garo1247	Garo	Sino-Tibetan	Eurasia	164	147	112	76.19
thao1240	Thao	Austronesian	Papunesia	170	151	115	76.16
chak1270	Chak	Sino-Tibetan	Eurasia	188	163	124	76.07
furr1244	Fur	Furan	Africa	182	163	124	76.07
raji1240	Raji	Sino-Tibetan	Eurasia	153	142	108	76.06
sout2728	Southern Qiang	Sino-Tibetan	Eurasia	192	167	127	76.05
iama1237	Iamalele	Austronesian	Papunesia	107	100	76	76
chot1239	Chothe	Sino-Tibetan	Eurasia	176	154	117	75.97
shas1239	Shasta	Shastan	North America	144	129	98	75.97
chac1249	Cha'palaa	Barbacoan	South America	91	79	60	75.95
daza1242	Dazaga	Saharan	Africa	180	158	120	75.95
turk1304	Turkmen	Turkic	Eurasia	181	158	120	75.95
yuki1243	Northern Yukian	Yuki-Wappo	North America	175	158	120	75.95
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	133	101	75.94
gang1266	Gangte	Sino-Tibetan	Eurasia	184	162	123	75.93
kaby1243	Kabyle	Afro-Asiatic	Africa	65	54	41	75.93
sout2996	Southern Aymara	Aymaran	South America	186	162	123	75.93
cent2322	Central Mansi	Uralic	Eurasia	185	166	126	75.9
cata1286	Catawba	Siouan	North America	125	112	85	75.89
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	141	107	75.89
lotu1250	Lotud	Austronesian	Papunesia	132	116	88	75.86
saba1268	Sabanê	Nambiquaran	South America	169	149	113	75.84
coos1249	Hanis	Coosan	North America	176	157	119	75.8
ubir1237	Ubir	Austronesian	Papunesia	149	128	97	75.78
gugu1255	Guugu Yimidhirr	Pama-Nyungan	Australia	72	66	50	75.76
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	33	25	75.76
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	66	50	75.76
nang1262	Nanggu	Austronesian	Papunesia	162	148	112	75.68
guam1248	Guambiano	Barbacoan	South America	127	115	87	75.65
alab1237	Alabama	Muskogean	North America	177	156	118	75.64
