Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
kima1246	Kimaama	Kolopom	Papunesia	92	84	73	86.9
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
nyun1247	Nyunga	Pama-Nyungan	Australia	26	19	16	84.21
kren1239	Krenak	Nuclear-Macro-Je	South America	111	106	89	83.96
khez1235	Khezha Naga	Sino-Tibetan	Eurasia	172	158	129	81.65
moii1235	Moi (Indonesia)	West Bird's Head	Papunesia	125	115	93	80.87
avok1242	Avokaya	Central Sudanic	Africa	122	114	92	80.7
rian1263	Riantana	Kolopom	Papunesia	112	103	83	80.58
umot1240	Umotína	Bororoan	South America	73	66	53	80.3
sara1321	Sara Kaba Náà	Central Sudanic	Africa	155	142	114	80.28
cani1243	Canichana		South America	50	45	36	80
geme1244	Geme	Atlantic-Congo	Africa	6	5	4	80
guri1248	Guriaso		Papunesia	24	20	16	80
matb1237	Matbat	Austronesian	Papunesia	154	140	112	80
siri1273	Sirionó	Tupian	South America	169	154	123	79.87
kimm1246	Kim	Atlantic-Congo	Africa	129	119	95	79.83
mann1248	Mann	Mande	Africa	124	114	91	79.82
mara1386	Maranunggu	Western Daly	Australia	173	153	122	79.74
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	63	50	79.37
nucl1240	Mumuye	Atlantic-Congo	Africa	170	151	119	78.81
gobu1238	Gobu	Atlantic-Congo	Africa	141	127	100	78.74
opat1246	Teguima	Uto-Aztecan	North America	120	108	85	78.7
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	126	99	78.57
papa1268	Papar	Austronesian	Papunesia	47	42	33	78.57
wann1242	Wan	Mande	Africa	124	116	91	78.45
kara1499	Kalamang	West Bomberai	Papunesia	99	88	69	78.41
guro1248	Guro	Mande	Africa	131	120	94	78.33
kaur1271	Kaure-Narau	Kaure-Kosare	Papunesia	60	60	47	78.33
nusu1239	Nusu	Sino-Tibetan	Eurasia	151	138	108	78.26
asoa1238	Asoa	Central Sudanic	Africa	94	87	68	78.16
para1311	Paraguayan Guaraní	Tupian	South America	54	50	39	78
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	136	106	77.94
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	77	60	77.92
birr1240	Birri	Central Sudanic	Africa	120	108	84	77.78
ubir1237	Ubir	Austronesian	Papunesia	149	135	105	77.78
hote1245	Hote	Austronesian	Papunesia	162	143	111	77.62
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	116	90	77.59
yong1270	Narua	Sino-Tibetan	Eurasia	160	142	110	77.46
ndom1245	Ndom	Kolopom	Papunesia	74	66	51	77.27
siam1242	Siamou		Africa	134	127	98	77.17
yaou1238	Yaouré	Mande	Africa	130	118	91	77.12
lule1238	Lule		South America	146	131	101	77.1
