Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	6	100
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	85	74	87.06
gada1258	Ga'dang	Austronesian	Papunesia	70	61	52	85.25
cebu1242	Cebuano	Austronesian	Papunesia	84	65	55	84.62
lotu1250	Lotud	Austronesian	Papunesia	132	106	88	83.02
hili1240	Hiligaynon	Austronesian	Papunesia	77	58	48	82.76
temp1235	Tempasuk Dusun	Austronesian	Papunesia	127	109	90	82.57
labu1249	Labuk-Kinabatangan Kadazan	Austronesian	Papunesia	104	85	70	82.35
ughe1237	Ughele	Austronesian	Papunesia	182	130	107	82.31
kele1259	Keley-i Kallahan	Austronesian	Papunesia	170	128	105	82.03
cent2084	Central Cagayan Agta	Austronesian	Papunesia	174	132	108	81.82
tbol1240	Tboli	Austronesian	Papunesia	174	126	103	81.75
lund1271	Lundayeh	Austronesian	Papunesia	141	115	94	81.74
pala1344	Palauan	Austronesian	Papunesia	184	131	107	81.68
fina1242	Finallig	Austronesian	Papunesia	164	125	102	81.6
romb1245	Romblomanon	Austronesian	Papunesia	155	114	93	81.58
pang1290	Pangasinan	Austronesian	Papunesia	169	135	110	81.48
uppe1427	Upper Kinabatangan	Austronesian	Papunesia	116	80	65	81.25
ibat1238	Ibatan	Austronesian	Papunesia	176	133	108	81.2
boli1256	Bolinao	Austronesian	Papunesia	60	53	43	81.13
sanm1295	San Miguel El Grande Mixtec	Otomanguean	North America	184	132	107	81.06
isin1239	Isinai	Austronesian	Papunesia	152	121	98	80.99
simb1256	Simbo	Austronesian	Papunesia	95	84	68	80.95
tomb1244	Tombonuo	Austronesian	Papunesia	136	109	88	80.73
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	57	46	80.7
rung1259	Rungus	Austronesian	Papunesia	137	108	87	80.56
tiru1241	Tiruray	Austronesian	Papunesia	145	113	91	80.53
penr1237	Māngarongaro	Austronesian	Papunesia	117	91	73	80.22
kina1250	Kinaray-a	Austronesian	Papunesia	143	106	85	80.19
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	111	89	80.18
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	111	89	80.18
taga1272	Tagabawa	Austronesian	Papunesia	161	121	97	80.17
bala1311	Balangingi	Austronesian	Papunesia	153	125	100	80
nort2877	Northern Kankanay	Austronesian	Papunesia	149	115	92	80
ines1240	Ineseño	Chumashan	North America	173	134	107	79.85
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	129	103	79.84
ilon1239	Ilongot	Austronesian	Papunesia	145	104	83	79.81
carn1240	Car Nicobarese	Austroasiatic	Eurasia	184	133	106	79.7
rapa1245	Mangaia-Old Rapa	Austronesian	Papunesia	193	137	109	79.56
baha1260	Bahamas Creole English	Indo-European	North America	103	78	62	79.49
naro1251	Narom	Austronesian	Papunesia	132	107	85	79.44
remo1247	Hatang Kayi	Austronesian	Papunesia	135	107	85	79.44
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	102	81	79.41
kawi1241	Kawi	Austronesian	Papunesia	128	102	81	79.41
cent2090	Central Tagbanwa	Austronesian	Papunesia	166	126	100	79.37
sout2918	Southern Sama	Austronesian	Papunesia	159	126	100	79.37
arta1239	Arta	Austronesian	Papunesia	184	135	107	79.26
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	53	42	79.25
atii1237	Ati	Austronesian	Papunesia	115	96	76	79.17
iran1262	Iranun	Austronesian	Papunesia	138	110	87	79.09
lauu1247	Lau	Austronesian	Papunesia	141	110	87	79.09
