Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	4	4	100
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	50	44	88
jita1239	Jita	Atlantic-Congo	Africa	75	73	61	83.56
boli1256	Bolinao	Austronesian	Papunesia	60	58	48	82.76
miam1252	Miami	Algic	North America	120	115	94	81.74
tepe1278	Tepecano	Uto-Aztecan	North America	121	115	94	81.74
kala1400	Central Kalapuya	Kalapuyan	North America	139	136	111	81.62
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	63	51	80.95
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	73	59	80.82
piap1246	Piapoco	Arawakan	South America	59	56	45	80.36
arap1274	Arapaho	Algic	North America	188	177	142	80.23
otta1242	Ottawa	Algic	North America	190	181	145	80.11
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	163	130	79.75
vunj1238	Vunjo	Atlantic-Congo	Africa	165	155	123	79.35
shaw1249	Shawnee	Algic	North America	168	162	127	78.4
plai1258	Plains Cree	Algic	North America	174	166	130	78.31
seve1240	Severn Ojibwa	Algic	North America	176	166	130	78.31
siks1238	Siksika	Algic	North America	162	156	122	78.21
ines1240	Ineseño	Chumashan	North America	173	165	129	78.18
coos1249	Hanis	Coosan	North America	176	168	131	77.98
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	163	127	77.91
nezp1238	Nez Perce	Sahaptian	North America	176	167	130	77.84
bera1262	Berau Malay	Austronesian	Papunesia	11	9	7	77.78
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	90	70	77.78
onon1246	Onondaga	Iroquoian	North America	190	180	140	77.78
yukp1241	Yukpa	Cariban	South America	106	103	80	77.67
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	98	76	77.55
chig1238	Chiga	Atlantic-Congo	Africa	95	89	69	77.53
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	31	24	77.42
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	124	96	77.42
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	128	99	77.34
mbol1247	Mbole	Atlantic-Congo	Africa	89	83	64	77.11
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	174	134	77.01
gaaa1244	Ga	Atlantic-Congo	Africa	133	126	97	76.98
loup1243	Loup A	Algic	North America	132	126	97	76.98
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	60	76.92
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	117	90	76.92
kwin1241	Kwini	Worrorran	Australia	160	156	120	76.92
high1243	Highland Totonac	Totonacan	North America	120	116	89	76.72
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	133	102	76.69
tete1251	Tetelcingo Nahuatl	Uto-Aztecan	North America	173	163	125	76.69
cayu1262	Cayubaba		South America	131	124	95	76.61
leco1242	Leco		South America	162	153	117	76.47
zaca1241	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	Uto-Aztecan	North America	164	157	120	76.43
coah1252	Coahuilteco		North America	129	123	94	76.42
miwa1242	Miwa	Worrorran	Australia	130	123	94	76.42
nort2961	Northwestern Ojibwa	Algic	North America	189	178	136	76.4
gali1262	Galibi Carib	Cariban	South America	173	165	126	76.36
tusc1257	Tuscarora	Iroquoian	North America	158	156	119	76.28
nort2957	Northern Puebla Nahuatl	Uto-Aztecan	North America	153	143	109	76.22
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	105	80	76.19
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	151	115	76.16
wood1236	Woods Cree	Algic	North America	162	155	118	76.13
cupe1243	Cupeño	Uto-Aztecan	North America	48	46	35	76.09
anta1255	Antankarana Malagasy	Austronesian	Africa	102	96	73	76.04
tien1242	Tiene	Atlantic-Congo	Africa	126	121	92	76.03
giry1241	Giryama	Atlantic-Congo	Africa	83	75	57	76
umbu1235	Umbugarla		Australia	126	125	95	76
chim1312	Chimwiini	Atlantic-Congo	Africa	81	79	60	75.95
makh1264	Makhuwa	Atlantic-Congo	Africa	168	158	120	75.95
west2624	Western Huasteca Nahuatl	Uto-Aztecan	North America	128	120	91	75.83
atam1240	Ata Manobo	Austronesian	Papunesia	160	153	116	75.82
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	182	138	75.82
lotu1250	Lotud	Austronesian	Papunesia	132	124	94	75.81
kung1259	Kungarakany		Australia	82	78	59	75.64
lazz1240	Laz	Kartvelian	Eurasia	171	160	121	75.62
chey1247	Cheyenne	Algic	North America	139	135	102	75.56
darg1241	North-Central Dargwa	Nakh-Daghestanian	Eurasia	146	135	102	75.56
cani1243	Canichana		South America	50	49	37	75.51
yawa1261	Yawalapití	Arawakan	South America	58	57	43	75.44
papa1238	Papantla Totonac	Totonacan	North America	128	122	92	75.41
tuni1252	Tunica		North America	162	154	116	75.32
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	166	125	75.3
mill1237	Millcayac	Huarpean	South America	122	121	91	75.21
wash1253	Washo		North America	152	149	112	75.17
nort2954	Northern Paiute	Uto-Aztecan	North America	184	173	130	75.14
agut1237	Agutaynen	Austronesian	Papunesia	161	152	114	75
cham1318	Chamicuro	Arawakan	South America	54	52	39	75
cuaa1241	Cua	Austroasiatic	Eurasia	8	8	6	75
elna1235	El Nayar Cora	Uto-Aztecan	North America	162	152	114	75
karo1304	Karok		North America	164	156	117	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
ndam1251	Ndam	Afro-Asiatic	Africa	41	40	30	75
nort2864	Wemale	Austronesian	Papunesia	76	72	54	75
nyor1246	Nyoro	Atlantic-Congo	Africa	180	172	129	75
puin1248	Puinave		South America	44	44	33	75
tuca1252	Tucano	Tucanoan	South America	67	64	48	75
sene1264	Seneca	Iroquoian	North America	174	167	125	74.85
mbya1239	Mbyá Guaraní	Tupian	South America	161	155	116	74.84
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	103	77	74.76
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	170	127	74.71
araw1273	Araweté	Tupian	South America	148	142	106	74.65
orok1266	Oroko	Atlantic-Congo	Africa	139	134	100	74.63
lamb1272	Lambya	Atlantic-Congo	Africa	132	126	94	74.6
gamb1251	Gambera	Worrorran	Australia	129	122	91	74.59
abkh1244	Abkhaz	Abkhaz-Adyge	Eurasia	188	177	132	74.58
puqu1242	Puquina		South America	118	114	85	74.56
lang1320	Langi	Atlantic-Congo	Africa	174	165	123	74.55
chip1241	Chippewa	Algic	North America	171	161	120	74.53
esse1238	Esselen		North America	110	106	79	74.53
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	106	79	74.53
atak1252	Atakapa		North America	149	141	105	74.47
mara1396	Mararit	Tamaic	Africa	92	90	67	74.44
guer1241	Central Guerrero Nahuatl	Uto-Aztecan	North America	135	125	93	74.4
wila1240	Wilawila	Worrorran	Australia	127	121	90	74.38
kaon1241	Kaonde	Atlantic-Congo	Africa	120	117	87	74.36
iqui1243	Iquito	Zaparoan	South America	116	113	84	74.34
west2632	Western Keres	Keresan	North America	161	152	113	74.34
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	175	130	74.29
cent2131	Central Tarahumara	Uto-Aztecan	North America	178	171	127	74.27
boro1282	Bororo	Bororoan	South America	184	178	132	74.16
