Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
tain1254	Taino	Arawakan	North America	4	3	3	100
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	45	41	91.11
miam1252	Miami	Algic	North America	120	104	89	85.58
siks1238	Siksika	Algic	North America	162	125	106	84.8
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
kawa1283	Kawaiisu	Uto-Aztecan	North America	34	24	20	83.33
loup1243	Loup A	Algic	North America	132	108	90	83.33
nort2961	Northwestern Ojibwa	Algic	North America	189	135	112	82.96
ruka1240	Rukai	Austronesian	Papunesia	191	138	114	82.61
plai1258	Plains Cree	Algic	North America	174	131	108	82.44
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	68	56	82.35
yukp1241	Yukpa	Cariban	South America	106	89	73	82.02
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	72	59	81.94
papa1238	Papantla Totonac	Totonacan	North America	128	105	86	81.9
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	119	97	81.51
arap1274	Arapaho	Algic	North America	188	135	110	81.48
nort2980	North Junín Quechua	Quechuan	South America	175	129	105	81.4
pich1237	Pichis Ashéninka	Arawakan	South America	148	118	96	81.36
otta1242	Ottawa	Algic	North America	190	139	113	81.29
seve1240	Severn Ojibwa	Algic	North America	176	128	104	81.25
high1243	Highland Totonac	Totonacan	North America	120	95	77	81.05
jaqa1244	Jaqaru	Aymaran	South America	150	110	89	80.91
tepe1278	Tepecano	Uto-Aztecan	North America	121	103	83	80.58
esse1238	Esselen		North America	110	87	70	80.46
sene1264	Seneca	Iroquoian	North America	174	133	107	80.45
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	97	78	80.41
high1278	Highland Puebla Nahuatl	Uto-Aztecan	North America	132	106	85	80.19
gros1243	Gros Ventre	Algic	North America	161	126	101	80.16
nort2959	Northern Tepehuan	Uto-Aztecan	North America	184	131	105	80.15
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	55	44	80
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	80	64	80
wash1253	Washo		North America	152	125	100	80
mbya1239	Mbyá Guaraní	Tupian	South America	161	124	99	79.84
wood1236	Woods Cree	Algic	North America	162	124	99	79.84
isth1242	Isthmus-Mecayapan Nahuatl	Uto-Aztecan	North America	123	98	78	79.59
chic1270	Chickasaw	Muskogean	North America	150	122	97	79.51
mont1268	Montagnais	Algic	North America	134	102	81	79.41
waim1253	Waimiri-Atroari	Cariban	South America	127	102	81	79.41
elmo1238	El Molo	Afro-Asiatic	Africa	171	131	104	79.39
nalo1235	Nalögo	Austronesian	Papunesia	33	29	23	79.31
karo1304	Karok		North America	164	125	99	79.2
kala1400	Central Kalapuya	Kalapuyan	North America	139	115	91	79.13
mika1239	Mikasuki	Muskogean	North America	147	115	91	79.13
hixk1239	Hixkaryána	Cariban	South America	162	124	98	79.03
nuuc1236	Nuu-chah-nulth	Wakashan	North America	151	119	94	78.99
high1276	Highland Popoluca	Mixe-Zoque	North America	186	137	108	78.83
ines1240	Ineseño	Chumashan	North America	173	127	100	78.74
mala1522	Malayo	Chibchan	South America	157	116	91	78.45
situ1238	Situ	Sino-Tibetan	Eurasia	185	134	105	78.36
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	129	101	78.29
chip1241	Chippewa	Algic	North America	171	128	100	78.12
nort2864	Wemale	Austronesian	Papunesia	76	64	50	78.12
chol1284	Cholón	Hibito-Cholon	South America	181	132	103	78.03
isth1241	Isthmus-Pajapan Nahuatl	Uto-Aztecan	North America	133	104	81	77.88
avac1239	Avá-Canoeiro	Tupian	South America	153	117	91	77.78
ayac1239	Ayacucho Quechua	Quechuan	South America	166	126	98	77.78
bera1262	Berau Malay	Austronesian	Papunesia	11	9	7	77.78
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	9	7	77.78
moch1259	Mochica		South America	139	108	84	77.78
wira1262	Wiradhuri	Pama-Nyungan	Australia	14	9	7	77.78
belh1239	Belhariya	Sino-Tibetan	Eurasia	166	125	97	77.6
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	138	107	77.54
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	129	100	77.52
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	129	100	77.52
achu1248	Achuar-Shiwiar	Chicham	South America	183	133	103	77.44
okan1243	Okanagan	Salishan	North America	181	133	103	77.44
daak1235	Da'a Kaili	Austronesian	Papunesia	123	97	75	77.32
cayu1262	Cayubaba		South America	131	110	85	77.27
gali1262	Galibi Carib	Cariban	South America	173	132	102	77.27
chil1280	Chilcotin-Nicola	Athabaskan-Eyak-Tlingit	North America	183	136	105	77.21
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	136	105	77.21
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	57	44	77.19
west2632	Western Keres	Keresan	North America	161	118	91	77.12
mota1237	Mota	Austronesian	Papunesia	107	83	64	77.11
puqu1242	Puquina		South America	118	96	74	77.08
cent2142	Central Aymara	Aymaran	South America	160	122	94	77.05
pala1344	Palauan	Austronesian	Papunesia	184	135	104	77.04
boli1256	Bolinao	Austronesian	Papunesia	60	52	40	76.92
yecu1235	Yecuatla Totonac	Totonacan	North America	172	130	100	76.92
wyan1247	Huron-Wyandot	Iroquoian	North America	111	95	73	76.84
tupi1273	Tupinambá	Tupian	South America	163	125	96	76.8
iton1250	Itonama		South America	170	129	99	76.74
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	77	59	76.62
haaa1252	Ha	Atlantic-Congo	Africa	187	136	104	76.47
niva1238	Nivaclé	Matacoan	South America	188	136	104	76.47
suku1259	Suku	Atlantic-Congo	Africa	134	106	81	76.42
kama1370	Kamano	Nuclear Trans New Guinea	Papunesia	116	93	71	76.34
duru1236	Duruwa	Dravidian	Eurasia	121	97	74	76.29
saam1283	Saamia	Atlantic-Congo	Africa	134	97	74	76.29
vunj1238	Vunjo	Atlantic-Congo	Africa	165	118	90	76.27
cusc1236	Cusco Quechua	Quechuan	South America	167	126	96	76.19
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	126	96	76.19
amri1238	Amri Karbi	Sino-Tibetan	Eurasia	150	109	83	76.15
assi1247	Assiniboine	Siouan	North America	185	134	102	76.12
woli1241	Wolio	Austronesian	Papunesia	182	134	102	76.12
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	117	89	76.07
east2555	Eastern Bolivian Guaraní	Tupian	South America	182	133	101	75.94
eyak1241	Eyak	Athabaskan-Eyak-Tlingit	North America	174	133	101	75.94
shaw1249	Shawnee	Algic	North America	168	133	101	75.94
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	108	82	75.93
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	112	85	75.89
fran1266	Francisco León Zoque	Mixe-Zoque	North America	161	124	94	75.81
soga1242	Soga	Atlantic-Congo	Africa	181	136	103	75.74
pech1241	Pech	Chibchan	North America	144	107	81	75.7
anta1255	Antankarana Malagasy	Austronesian	Africa	102	74	56	75.68
cent2140	Central Sierra Miwok	Miwok-Costanoan	North America	167	131	99	75.57
hida1246	Hidatsa	Siouan	North America	177	131	99	75.57
kaba1278	Kabardian	Abkhaz-Adyge	Eurasia	174	131	99	75.57
kari1254	Kariri		South America	177	131	99	75.57
tedi1235	Tedim Chin	Sino-Tibetan	Eurasia	170	131	99	75.57
waiw1244	Waiwai	Cariban	South America	178	131	99	75.57
cher1273	Cherokee	Iroquoian	North America	184	135	102	75.56
gang1266	Gangte	Sino-Tibetan	Eurasia	184	135	102	75.56
huic1243	Huichol	Uto-Aztecan	North America	179	135	102	75.56
olut1240	Oluta Popoluca	Mixe-Zoque	North America	180	135	102	75.56
sout2996	Southern Aymara	Aymaran	South America	186	135	102	75.56
ware1253	Warembori	Austronesian	Papunesia	170	130	98	75.38
japh1234	Japhug	Sino-Tibetan	Eurasia	185	134	101	75.37
soli1239	Soli	Atlantic-Congo	Africa	101	73	55	75.34
beto1236	Betoi-Jirara		South America	130	105	79	75.24
chim1301	Chimariko		North America	141	109	82	75.23
hehe1240	Hehe	Atlantic-Congo	Africa	144	109	82	75.23
nucl1632	Sentani	Sentanic	Papunesia	143	109	82	75.23
shas1239	Shasta	Shastan	North America	144	109	82	75.23
kips1239	Kipsigis	Nilotic	Africa	156	113	85	75.22
ubir1237	Ubir	Austronesian	Papunesia	149	113	85	75.22
amah1246	Amahuaca	Pano-Tacanan	South America	153	121	91	75.21
leco1242	Leco		South America	162	121	91	75.21
muth1236	Muthuvan	Dravidian	Eurasia	143	117	88	75.21
amar1274	Amarakaeri	Harakmbut	South America	154	125	94	75.2
shor1247	Shor	Turkic	Eurasia	175	129	97	75.19
cree1270	Creek	Muskogean	North America	185	137	103	75.18
gaga1249	Gagauz	Turkic	Eurasia	188	137	103	75.18
hual1241	Huallaga Huánuco Quechua	Quechuan	South America	191	137	103	75.18
athp1241	Athpariya	Sino-Tibetan	Eurasia	182	136	102	75
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	120	90	75
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	124	93	75
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	56	42	75
maru1252	Marúbo	Pano-Tacanan	South America	126	104	78	75
mikm1235	Mi'kmaq	Algic	North America	179	128	96	75
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	132	99	75
ndam1251	Ndam	Afro-Asiatic	Africa	41	36	27	75
siyi1240	Sizang Chin	Sino-Tibetan	Eurasia	134	104	78	75
