Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
tain1254	Taino	Arawakan	North America	4	4	4	100
chip1261	Chipewyan	Athabaskan-Eyak-Tlingit	North America	193	182	155	85.16
goro1270	Gorowa	Afro-Asiatic	Africa	13	13	11	84.62
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	163	137	84.05
suru1262	Suruí	Tupian	South America	18	18	15	83.33
sene1264	Seneca	Iroquoian	North America	174	163	134	82.21
sars1236	Sarsi	Athabaskan-Eyak-Tlingit	North America	176	166	136	81.93
mesc1238	Mescalero-Chiricahua Apache	Athabaskan-Eyak-Tlingit	North America	92	88	72	81.82
nyun1247	Nyunga	Pama-Nyungan	Australia	26	22	18	81.82
omii1238	Omi	Central Sudanic	Africa	18	16	13	81.25
kask1239	Kaska	Athabaskan-Eyak-Tlingit	North America	137	133	108	81.2
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	79	64	81.01
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	103	83	80.58
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	164	131	79.88
tega1236	Tegali	Rashad	Africa	82	79	63	79.75
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	59	79.73
gale1259	Galela	North Halmahera	Papunesia	143	138	110	79.71
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	49	39	79.59
mans1260	Mansim	Hatam-Mansim	Papunesia	71	68	54	79.41
avac1239	Avá-Canoeiro	Tupian	South America	153	145	115	79.31
west2615	Western Apache	Athabaskan-Eyak-Tlingit	North America	164	159	126	79.25
gaaa1244	Ga	Atlantic-Congo	Africa	133	125	99	79.2
pawa1255	Pawaia		Papunesia	110	109	86	78.9
nara1262	Nara		Africa	132	127	100	78.74
cupe1243	Cupeño	Uto-Aztecan	North America	48	47	37	78.72
tobe1252	Tobelo	North Halmahera	Papunesia	173	163	128	78.53
wyan1247	Huron-Wyandot	Iroquoian	North America	111	107	84	78.5
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	144	113	78.47
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	124	97	78.23
taba1263	Tabaru	North Halmahera	Papunesia	176	165	129	78.18
kweg1241	Kwegu	Surmic	Africa	162	151	118	78.15
tepe1278	Tepecano	Uto-Aztecan	North America	121	114	89	78.07
elmo1238	El Molo	Afro-Asiatic	Africa	171	163	127	77.91
piap1246	Piapoco	Arawakan	South America	59	54	42	77.78
sout2729	Southern Pumi	Sino-Tibetan	Eurasia	186	174	135	77.59
cani1243	Canichana		South America	50	49	38	77.55
nhen1239	Nhengatu	Tupian	South America	181	169	131	77.51
port1285	Port Sandwich	Austronesian	Papunesia	174	164	127	77.44
chic1270	Chickasaw	Muskogean	North America	150	146	113	77.4
