Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	2	2	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	5	5	100
homa1239	Homa	Atlantic-Congo	Africa	14	3	3	100
mehi1240	Mehináku	Arawakan	South America	4	1	1	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
tain1254	Taino	Arawakan	North America	4	3	3	100
belu1239	Belueli	Atlantic-Congo	Africa	73	36	35	97.22
thar1283	Tharaka	Atlantic-Congo	Africa	101	44	42	95.45
lamb1272	Lambya	Atlantic-Congo	Africa	132	71	66	92.96
makw1236	Makwe	Atlantic-Congo	Africa	86	46	42	91.3
swah1253	Swahili	Atlantic-Congo	Africa	178	73	66	90.41
mbol1247	Mbole	Atlantic-Congo	Africa	89	40	36	90
sham1280	Shambala	Atlantic-Congo	Africa	118	59	53	89.83
sang1330	Sangu (Tanzania)	Atlantic-Congo	Africa	88	49	44	89.8
lang1320	Langi	Atlantic-Congo	Africa	174	74	66	89.19
saam1283	Saamia	Atlantic-Congo	Africa	134	63	56	88.89
orok1266	Oroko	Atlantic-Congo	Africa	139	71	63	88.73
digo1243	Digo	Atlantic-Congo	Africa	190	79	70	88.61
gusi1247	Gusii	Atlantic-Congo	Africa	173	78	69	88.46
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	78	69	88.46
nyat1246	Nyaturu	Atlantic-Congo	Africa	160	77	68	88.31
zinz1238	Zinza	Atlantic-Congo	Africa	106	50	44	88
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	73	64	87.67
mako1251	Makonde	Atlantic-Congo	Africa	164	77	67	87.01
mokp1239	Mokpwe	Atlantic-Congo	Africa	180	76	66	86.84
yaoo1241	Yao	Atlantic-Congo	Africa	137	76	66	86.84
osam1235	Osamayi	Atlantic-Congo	Africa	105	53	46	86.79
nila1242	Nilamba	Atlantic-Congo	Africa	162	74	64	86.49
yala1266	Yalahatan-Haruru-Awaiya	Austronesian	Papunesia	51	22	19	86.36
nsen1242	Nsenga	Atlantic-Congo	Africa	160	73	63	86.3
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	51	44	86.27
haaa1252	Ha	Atlantic-Congo	Africa	187	80	69	86.25
suba1238	Suba	Atlantic-Congo	Africa	111	58	50	86.21
beng1282	Benga	Atlantic-Congo	Africa	132	64	55	85.94
safw1238	Safwa	Atlantic-Congo	Africa	48	21	18	85.71
kala1384	Kalanga	Atlantic-Congo	Africa	164	76	65	85.53
hehe1240	Hehe	Atlantic-Congo	Africa	144	68	58	85.29
elip1238	Elip	Atlantic-Congo	Africa	111	61	52	85.25
tanz1241	Tanzanian Ngoni	Atlantic-Congo	Africa	188	81	69	85.19
bata1285	Batanga	Atlantic-Congo	Africa	113	47	40	85.11
vunj1238	Vunjo	Atlantic-Congo	Africa	165	73	62	84.93
shon1251	Shona	Atlantic-Congo	Africa	182	79	67	84.81
soga1242	Soga	Atlantic-Congo	Africa	181	79	67	84.81
dibo1245	Dibole	Atlantic-Congo	Africa	124	72	61	84.72
kagu1239	Kagulu	Atlantic-Congo	Africa	186	78	66	84.62
luya1241	Luyi	Atlantic-Congo	Africa	172	78	66	84.62
gand1255	Ganda	Atlantic-Congo	Africa	148	71	60	84.51
giry1241	Giryama	Atlantic-Congo	Africa	83	45	38	84.44
bafi1243	Bafia	Atlantic-Congo	Africa	173	77	65	84.42
toor1238	Tooro	Atlantic-Congo	Africa	184	77	65	84.42
mand1423	Manda-Matumba	Atlantic-Congo	Africa	84	32	27	84.38
akoo1248	Akoose	Atlantic-Congo	Africa	185	76	64	84.21
jita1239	Jita	Atlantic-Congo	Africa	75	38	32	84.21
laiy1246	Laiyolo	Austronesian	Papunesia	123	57	48	84.21
lozi1239	Lozi	Atlantic-Congo	Africa	137	76	64	84.21
mpot1240	Mpoto	Atlantic-Congo	Africa	173	76	64	84.21
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	69	58	84.06
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	69	58	84.06
gese1240	Geser-Gorom	Austronesian	Papunesia	69	25	21	84
koon1245	Koonzime	Atlantic-Congo	Africa	133	50	42	84
luva1239	Luvale	Atlantic-Congo	Africa	169	75	63	84
nden1248	Ndengereko	Atlantic-Congo	Africa	88	50	42	84
here1253	Herero	Atlantic-Congo	Africa	187	81	68	83.95
ache1245	Acheron	Narrow Talodi	Africa	120	62	52	83.87
nort2864	Wemale	Austronesian	Papunesia	76	37	31	83.78
mwan1247	Mwani	Atlantic-Congo	Africa	157	80	67	83.75
musg1254	Musgu	Afro-Asiatic	Africa	118	61	51	83.61
bond1247	Bondei	Atlantic-Congo	Africa	151	67	56	83.58
tien1242	Tiene	Atlantic-Congo	Africa	126	73	61	83.56
kiku1240	Kikuyu	Atlantic-Congo	Africa	160	78	65	83.33
nyal1250	Nyali	Atlantic-Congo	Africa	118	54	45	83.33
tibe1274	Tibea	Atlantic-Congo	Africa	95	42	35	83.33
bemb1257	Bemba (Zambia)	Atlantic-Congo	Africa	183	77	64	83.12
kuan1247	Kuanyama	Atlantic-Congo	Africa	173	77	64	83.12
beem1239	Beembe	Atlantic-Congo	Africa	144	65	54	83.08
bena1262	Bena (Tanzania)	Atlantic-Congo	Africa	93	41	34	82.93
mboc1235	Mbo (Cameroon)	Atlantic-Congo	Africa	161	76	63	82.89
tswa1253	Tswana	Atlantic-Congo	Africa	178	76	63	82.89
zamb1245	Zamba	Atlantic-Congo	Africa	152	76	63	82.89
bulu1251	Bulu (Cameroon)	Atlantic-Congo	Africa	164	70	58	82.86
yaka1269	Yaka-Pelende-Lonzo	Atlantic-Congo	Africa	109	58	48	82.76
gube1234	Gubeeher-Gufangor-Gubelor	Atlantic-Congo	Africa	180	81	67	82.72
ndam1239	Ndamba	Atlantic-Congo	Africa	180	81	67	82.72
nyan1307	Nyankole	Atlantic-Congo	Africa	185	81	67	82.72
suku1259	Suku	Atlantic-Congo	Africa	134	69	57	82.61
lega1249	Lega-Shabunda	Atlantic-Congo	Africa	153	80	66	82.5
sout2807	Southern Sotho	Atlantic-Congo	Africa	184	79	65	82.28
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	78	64	82.05
soli1239	Soli	Atlantic-Congo	Africa	101	50	41	82
east2333	Eastern Mnong	Austroasiatic	Eurasia	36	22	18	81.82
fipa1238	Fipa	Atlantic-Congo	Africa	120	55	45	81.82
gwen1239	Gweno	Atlantic-Congo	Africa	135	66	54	81.82
tote1238	Totela	Atlantic-Congo	Africa	161	77	63	81.82
kaon1241	Kaonde	Atlantic-Congo	Africa	120	60	49	81.67
mbug1242	Mbugwe	Atlantic-Congo	Africa	117	60	49	81.67
tago1246	Tagoi	Rashad	Africa	107	49	40	81.63
buku1249	Bukusu	Atlantic-Congo	Africa	52	27	22	81.48
tuki1240	Tuki	Atlantic-Congo	Africa	160	75	61	81.33
nalo1235	Nalögo	Austronesian	Papunesia	33	16	13	81.25
mbal1255	Central Wambo	Atlantic-Congo	Africa	100	53	43	81.13
makh1264	Makhuwa	Atlantic-Congo	Africa	168	79	64	81.01
konz1239	Konzo	Atlantic-Congo	Africa	133	68	55	80.88
lumb1249	Lumbu	Atlantic-Congo	Africa	146	73	59	80.82
zulu1248	Zulu	Atlantic-Congo	Africa	42	26	21	80.77
mwer1248	Mwera (Chimwera)	Atlantic-Congo	Africa	153	72	58	80.56
kamb1297	Kamba (Kenya)	Atlantic-Congo	Africa	173	77	62	80.52
luch1239	Luchazi	Atlantic-Congo	Africa	136	71	57	80.28
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	15	12	80
budz1238	Budza	Atlantic-Congo	Africa	166	75	60	80
chig1238	Chiga	Atlantic-Congo	Africa	95	50	40	80
gaaa1245	Gaa	Atlantic-Congo	Africa	79	35	28	80
lika1243	Liko	Atlantic-Congo	Africa	165	70	56	80
lund1266	Lunda	Atlantic-Congo	Africa	150	70	56	80
suku1261	Sukuma	Atlantic-Congo	Africa	128	60	48	80
yasa1242	Yasa	Atlantic-Congo	Africa	101	55	44	80
bush1247	Bushoong	Atlantic-Congo	Africa	184	79	63	79.75
nyor1246	Nyoro	Atlantic-Congo	Africa	180	78	62	79.49
pang1287	Pangwa	Atlantic-Congo	Africa	167	78	62	79.49
teke1275	Latege	Atlantic-Congo	Africa	180	78	62	79.49
afad1236	Afade	Afro-Asiatic	Africa	62	29	23	79.31
chuj1250	Chuj	Mayan	North America	171	77	61	79.22
tswa1255	Tswa	Atlantic-Congo	Africa	162	72	57	79.17
yeyi1239	Yeyi	Atlantic-Congo	Africa	102	48	38	79.17
jjuu1238	Jju	Atlantic-Congo	Africa	85	43	34	79.07
lega1250	Lega-Mwenga	Atlantic-Congo	Africa	120	62	49	79.03
pagi1243	Pagibete	Atlantic-Congo	Africa	170	76	60	78.95
meru1245	Meru	Atlantic-Congo	Africa	162	71	56	78.87
umbu1257	Umbundu	Atlantic-Congo	Africa	153	75	59	78.67
ndam1251	Ndam	Afro-Asiatic	Africa	41	14	11	78.57
nyak1260	Nyakyusa-Ngonde	Atlantic-Congo	Africa	153	70	55	78.57
saga1262	Sagalla	Atlantic-Congo	Africa	152	70	55	78.57
koti1238	Koti	Atlantic-Congo	Africa	182	79	62	78.48
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	74	58	78.38
maka1304	Makaa	Atlantic-Congo	Africa	159	78	61	78.21
dual1243	Duala	Atlantic-Congo	Africa	138	55	43	78.18
asut1235	Asu (Tanzania)	Atlantic-Congo	Africa	140	64	50	78.12
kele1255	Kele-Foma	Atlantic-Congo	Africa	128	64	50	78.12
ndob1238	Ndobo	Atlantic-Congo	Africa	85	41	32	78.05
loba1239	Lobala	Atlantic-Congo	Africa	98	50	39	78
diri1252	Diriku-Shambyu	Atlantic-Congo	Africa	137	59	46	77.97
tong1318	Tonga (Zambia)	Atlantic-Congo	Africa	160	68	53	77.94
oloo1241	Olo	Nuclear Torricelli	Papunesia	178	77	60	77.92
bebe1248	Bebele	Atlantic-Congo	Africa	184	81	63	77.78
lito1235	Litoka	Atlantic-Congo	Africa	97	54	42	77.78
ndun1249	Ndunga	Atlantic-Congo	Africa	127	58	45	77.59
cong1236	Congo Swahili	Atlantic-Congo	Africa	111	66	51	77.27
lumu1239	Lumun	Narrow Talodi	Africa	187	79	61	77.22
isth1240	Isthmus-Cosoleacaque Nahuatl	Uto-Aztecan	North America	151	70	54	77.14
libi1244	Libinza	Atlantic-Congo	Africa	134	70	54	77.14
bidy1244	Kanyaki-Kagbaaga-Kajoko Bidyogo	Atlantic-Congo	Africa	138	61	47	77.05
bodo1272	Bodo (Central African Republic)	Atlantic-Congo	Africa	26	13	10	76.92
noon1242	Noon	Atlantic-Congo	Africa	188	78	60	76.92
tiwi1244	Tiwi		Australia	102	52	40	76.92
bomb1262	Bomboma	Atlantic-Congo	Africa	119	56	43	76.79
kung1259	Kungarakany		Australia	82	43	33	76.74
matu1259	Matumbi	Atlantic-Congo	Africa	134	73	56	76.71
ilaa1246	Ila	Atlantic-Congo	Africa	124	60	46	76.67
sanm1301	San Marcos Tlalcoyalco Popoloca	Otomanguean	North America	141	60	46	76.67
mong1338	Mongo	Atlantic-Congo	Africa	124	64	49	76.56
bekw1242	Bekwil	Atlantic-Congo	Africa	100	51	39	76.47
holo1240	Holoholo	Atlantic-Congo	Africa	144	68	52	76.47
nort2795	Zimbabwean Ndebele	Atlantic-Congo	Africa	96	51	39	76.47
kweg1241	Kwegu	Surmic	Africa	162	76	58	76.32
lonw1238	Lonwolwol	Austronesian	Papunesia	126	59	45	76.27
bank1256	Bankon	Atlantic-Congo	Africa	78	42	32	76.19
siee1239	Sie	Austronesian	Papunesia	166	71	54	76.06
cher1273	Cherokee	Iroquoian	North America	184	79	60	75.95
kwam1249	Gwama	Koman	Africa	171	70	53	75.71
yaak1241	Yaaku	Afro-Asiatic	Africa	177	74	56	75.68
liki1240	Balobo	Atlantic-Congo	Africa	99	57	43	75.44
kwin1241	Kwini	Worrorran	Australia	160	73	55	75.34
siks1238	Siksika	Algic	North America	162	73	55	75.34
lugu1238	Luguru	Atlantic-Congo	Africa	177	77	58	75.32
tuwu1238	Tuwuli	Atlantic-Congo	Africa	191	77	58	75.32
chuw1238	Chuwabu	Atlantic-Congo	Africa	180	81	61	75.31
bafa1247	Bafaw-Balong	Atlantic-Congo	Africa	130	68	51	75
bong1284	Bongili	Atlantic-Congo	Africa	102	56	42	75
budu1265	Buduma	Afro-Asiatic	Africa	137	60	45	75
gamb1251	Gambera	Worrorran	Australia	129	60	45	75
keme1240	Kemezung	Atlantic-Congo	Africa	135	60	45	75
komo1260	Komo (Democratic Republic of Congo)	Atlantic-Congo	Africa	135	68	51	75
ngom1268	Ngombe (Democratic Republic of Congo)	Atlantic-Congo	Africa	121	64	48	75
seim1238	Seimat	Austronesian	Papunesia	192	80	60	75
babi1235	Witsuwit'en-Babine	Athabaskan-Eyak-Tlingit	North America	169	75	56	74.67
ping1243	Pingelapese	Austronesian	Papunesia	152	71	53	74.65
bila1255	Bila	Atlantic-Congo	Africa	134	67	50	74.63
miwa1242	Miwa	Worrorran	Australia	130	63	47	74.6
more1259	Morelos Nahuatl	Uto-Aztecan	North America	135	63	47	74.6
winj1235	Winjarumi	Worrorran	Australia	126	63	47	74.6
bamw1238	Bamwe	Atlantic-Congo	Africa	102	55	41	74.55
ncan1245	Ncane-Mungong	Atlantic-Congo	Africa	131	55	41	74.55
sout2826	Southern Grebo	Kru	Africa	85	43	32	74.42
wuna1249	Wunambal	Worrorran	Australia	127	62	46	74.19
balo1261	Loi-Likila	Atlantic-Congo	Africa	117	58	43	74.14
daak1235	Da'a Kaili	Austronesian	Papunesia	123	54	40	74.07
sout2989	Southern Lengua	Lengua-Mascoy	South America	193	81	60	74.07
gyel1242	Gyele	Atlantic-Congo	Africa	190	77	57	74.03
whit1269	Whitesands	Austronesian	Papunesia	167	77	57	74.03
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	42	31	73.81
ines1240	Ineseño	Chumashan	North America	173	80	59	73.75
soch1239	Sochiapam Chinantec	Otomanguean	North America	187	80	59	73.75
nege1240	Negeri Sembilan Malay	Austronesian	Eurasia	139	68	50	73.53
vwan1235	Vwanji	Atlantic-Congo	Africa	129	68	50	73.53
umii1235	Umiida-Unggarangu	Worrorran	Australia	88	49	36	73.47
mara1396	Mararit	Tamaic	Africa	92	45	33	73.33
tsis1238	Salka-Tsishingini	Atlantic-Congo	Africa	164	75	55	73.33
xhos1239	Xhosa	Atlantic-Congo	Africa	141	71	52	73.24
mafe1237	Mafea	Austronesian	Papunesia	134	56	41	73.21
mans1260	Mansim	Hatam-Mansim	Papunesia	71	41	30	73.17
alag1248	Alagwa	Afro-Asiatic	Africa	183	78	57	73.08
