Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
boli1256	Bolinao	Austronesian	Papunesia	60	48	43	89.58
colu1241	Columbia-Wenatchi	Salishan	North America	178	153	136	88.89
okan1243	Okanagan	Salishan	North America	181	147	125	85.03
maro1244	Marovo	Austronesian	Papunesia	84	74	62	83.78
kali1308	Kalispel-Pend d'Oreille	Salishan	North America	160	133	111	83.46
lowl1260	Lowland Oaxaca Chontal	Tequistlatecan	North America	173	145	121	83.45
west2555	Western Bukidnon Manobo	Austronesian	Papunesia	107	95	79	83.16
moro1287	Moronene	Austronesian	Papunesia	106	88	73	82.95
bera1262	Berau Malay	Austronesian	Papunesia	11	11	9	81.82
lotu1250	Lotud	Austronesian	Papunesia	132	110	90	81.82
gada1258	Ga'dang	Austronesian	Papunesia	70	64	52	81.25
halk1245	Halkomelem	Salishan	North America	193	156	126	80.77
mori1269	Mori Atas	Austronesian	Papunesia	105	92	74	80.43
bata1289	Batak Toba	Austronesian	Papunesia	168	137	110	80.29
twan1247	Twana	Salishan	North America	87	81	65	80.25
iran1262	Iranun	Austronesian	Papunesia	138	116	93	80.17
lill1248	Lillooet	Salishan	North America	190	154	123	79.87
tamb1254	Tambunan Dusun	Austronesian	Papunesia	145	124	99	79.84
papa1238	Papantla Totonac	Totonacan	North America	128	113	90	79.65
rung1259	Rungus	Austronesian	Papunesia	137	115	91	79.13
bala1311	Balangingi	Austronesian	Papunesia	153	134	106	79.1
yecu1235	Yecuatla Totonac	Totonacan	North America	172	143	113	79.02
tomb1244	Tombonuo	Austronesian	Papunesia	136	113	89	78.76
east2332	Eastern Bru	Austroasiatic	Eurasia	134	117	92	78.63
saba1267	Sabah Bisaya	Austronesian	Papunesia	137	112	88	78.57
isna1241	Isnag	Austronesian	Papunesia	163	135	106	78.52
bunu1267	Bunun	Austronesian	Papunesia	74	65	51	78.46
tema1239	Temascaltepec Nahuatl	Uto-Aztecan	North America	75	74	58	78.38
iray1237	Iraya	Austronesian	Papunesia	113	97	76	78.35
atam1240	Ata Manobo	Austronesian	Papunesia	160	138	108	78.26
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	78	61	78.21
bant1288	Bantoanon	Austronesian	Papunesia	124	110	86	78.18
masb1238	Masbatenyo	Austronesian	Papunesia	172	142	111	78.17
suru1261	Suruí Do Pará	Tupian	South America	68	64	50	78.12
obom1235	Obo Manobo	Austronesian	Papunesia	54	50	39	78
thao1240	Thao	Austronesian	Papunesia	170	145	113	77.93
west2778	Western Durango Nahuatl	Uto-Aztecan	North America	131	113	88	77.88
uppe1275	Upper Necaxa Totonac	Totonacan	North America	176	140	109	77.86
casi1235	Casiguran-Nagtipunan Agta	Austronesian	Papunesia	133	117	91	77.78
filo1235	Filomeno Mata Totonac	Totonacan	North America	144	126	98	77.78
ibat1238	Ibatan	Austronesian	Papunesia	176	144	112	77.78
cowl1242	Cowlitz	Salishan	North America	175	148	115	77.7
ilon1239	Ilongot	Austronesian	Papunesia	145	121	94	77.69
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	58	45	77.59
iban1267	Ibanag	Austronesian	Papunesia	177	147	114	77.55
