Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
dizi1235	Dizin	Dizoid	Africa	57	50	44	88
kain1272	Kaingang	Nuclear-Macro-Je	South America	31	24	21	87.5
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	93	78	83.87
toto1302	Toto	Sino-Tibetan	Eurasia	155	117	98	83.76
west2417	Western Muya	Sino-Tibetan	Eurasia	112	103	86	83.5
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	105	87	82.86
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	92	76	82.61
cofa1242	Cofán		South America	137	112	92	82.14
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	109	89	81.65
mido1240	Midob	Nubian	Africa	55	49	40	81.63
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	133	108	81.2
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	116	93	80.17
ship1254	Shipibo-Conibo	Pano-Tacanan	South America	162	130	104	80
siri1273	Sirionó	Tupian	South America	169	127	101	79.53
poya1241	Poyanáwa	Pano-Tacanan	South America	50	39	31	79.49
dura1244	Dura	Sino-Tibetan	Eurasia	171	135	107	79.26
ersu1241	Ersu	Sino-Tibetan	Eurasia	195	144	114	79.17
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	129	102	79.07
khan1277	Southern Tangkhul Naga	Sino-Tibetan	Eurasia	165	129	102	79.07
chac1249	Cha'palaa	Barbacoan	South America	91	76	60	78.95
kada1242	Kadar	Dravidian	Eurasia	156	123	97	78.86
pano1254	Panoan Katukína	Pano-Tacanan	South America	132	104	82	78.85
cent2126	Central Okinawan	Japonic	Eurasia	153	118	93	78.81
toda1252	Toda	Dravidian	Eurasia	139	113	89	78.76
mala1463	Malavedan	Dravidian	Eurasia	163	127	100	78.74
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	127	100	78.74
lamk1238	Lamkang	Sino-Tibetan	Eurasia	175	136	107	78.68
kaik1246	Kaike	Sino-Tibetan	Eurasia	184	140	110	78.57
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	121	95	78.51
nort2723	Northern Pumi	Sino-Tibetan	Eurasia	177	130	102	78.46
chot1239	Chothe	Sino-Tibetan	Eurasia	176	134	105	78.36
gata1239	Gata'	Austroasiatic	Eurasia	156	134	105	78.36
defa1248	Defaka	Ijoid	Africa	75	60	47	78.33
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	128	100	78.12
nort2972	Northern Emberá	Chocoan	South America	167	137	107	78.1
aeky1238	Aekyom	Kamula-Elevala	Papunesia	120	100	78	78
abau1245	Abau	Sepik	Papunesia	88	77	60	77.92
kara1499	Kalamang	West Bomberai	Papunesia	99	86	67	77.91
tuvi1240	Tuvinian	Turkic	Eurasia	154	113	88	77.88
goro1270	Gorowa	Afro-Asiatic	Africa	13	9	7	77.78
wutu1241	Wutunhua	Sino-Tibetan	Eurasia	195	144	112	77.78
bada1257	Badaga	Dravidian	Eurasia	127	103	80	77.67
hrus1242	Hruso		Eurasia	89	76	59	77.63
dara1250	Darai	Indo-European	Eurasia	178	134	104	77.61
mill1237	Millcayac	Huarpean	South America	122	102	79	77.45
cogu1240	Cogui	Chibchan	South America	141	115	89	77.39
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	128	99	77.34
imba1240	Imbabura Highland Quichua	Quechuan	South America	192	141	109	77.3
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	79	61	77.22
koda1255	Kodava	Dravidian	Eurasia	182	136	105	77.21
tsha1245	Tshangla	Sino-Tibetan	Eurasia	171	127	98	77.17
khar1288	Kharam Naga	Sino-Tibetan	Eurasia	173	131	101	77.1
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	131	101	77.1
puqu1242	Puquina		South America	118	96	74	77.08
khak1248	Khakas	Turkic	Eurasia	170	130	100	76.92
khum1248	Khumi Chin	Sino-Tibetan	Eurasia	133	104	80	76.92
koya1251	Koya	Dravidian	Eurasia	137	104	80	76.92
ngeq1245	Kriang-Khlor	Austroasiatic	Eurasia	134	104	80	76.92
kafa1242	Kafa	Ta-Ne-Omotic	Africa	167	121	93	76.86
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	60	46	76.67
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	107	82	76.64
sout2729	Southern Pumi	Sino-Tibetan	Eurasia	186	137	105	76.64
garo1247	Garo	Sino-Tibetan	Eurasia	164	124	95	76.61
tulu1258	Tulu	Dravidian	Eurasia	163	124	95	76.61
awac1239	Awa-Cuaiquer	Barbacoan	South America	157	136	104	76.47
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	119	91	76.47
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	123	94	76.42
capa1241	Capanahua	Pano-Tacanan	South America	171	127	97	76.38
yona1241	Yonaguni	Japonic	Eurasia	164	127	97	76.38
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	135	103	76.3
sril1245	Sri Lanka Malay	Austronesian	Eurasia	185	139	106	76.26
guam1248	Guambiano	Barbacoan	South America	127	101	77	76.24
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	126	96	76.19
korr1238	Korra Koraga	Dravidian	Eurasia	133	105	80	76.19
tara1313	Tarao	Sino-Tibetan	Eurasia	166	130	99	76.15
newa1246	Kathmandu Valley Newari	Sino-Tibetan	Eurasia	179	134	102	76.12
tang1373	Tangwang	Sino-Tibetan	Eurasia	150	117	89	76.07
west2392	Western Mari	Uralic	Eurasia	153	117	89	76.07
sais1237	Saisiyat	Austronesian	Papunesia	188	142	108	76.06
idum1241	Idu	Sino-Tibetan	Eurasia	151	121	92	76.03
yaey1239	Yaeyama	Japonic	Eurasia	155	121	92	76.03
maru1252	Marúbo	Pano-Tacanan	South America	126	100	76	76
nama1266	Nama (Papua New Guinea)	Yam	Papunesia	56	50	38	76
nyun1247	Nyunga	Pama-Nyungan	Australia	26	25	19	76
yora1241	Yora	Pano-Tacanan	South America	129	100	76	76
gang1266	Gangte	Sino-Tibetan	Eurasia	184	137	104	75.91
niha1238	Nihali		Eurasia	164	137	104	75.91
kani1286	Kanite	Nuclear Trans New Guinea	Papunesia	149	116	88	75.86
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	124	94	75.81
honi1244	Honi	Sino-Tibetan	Eurasia	165	128	97	75.78
