Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
geme1244	Geme	Atlantic-Congo	Africa	6	6	5	83.33
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
tezo1238	Tezoatlán Mixtec	Otomanguean	North America	162	146	115	78.77
zani1235	Zaniza Zapotec	Otomanguean	North America	162	148	116	78.38
tata1258	Tataltepec Chatino	Otomanguean	North America	126	113	88	77.88
west2644	Western Highland Chatino	Otomanguean	North America	188	164	127	77.44
gbay1278	Gbayi	Atlantic-Congo	Africa	58	57	44	77.19
zenz1235	Zenzontepec Chatino	Otomanguean	North America	134	118	91	77.12
nort2994	Northern Roglai	Austronesian	Eurasia	90	83	64	77.11
wala1266	Wala	Austronesian	Papunesia	150	134	103	76.87
maza1304	Mazagway	Afro-Asiatic	Africa	182	164	126	76.83
ngba1284	Ngbaka Ma'bo	Atlantic-Congo	Africa	147	129	99	76.74
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	89	68	76.4
alac1244	Alacatlatzala Mixtec	Otomanguean	North America	154	139	106	76.26
sanj1284	Western Tlacolula Valley Zapotec	Otomanguean	North America	152	133	101	75.94
nyah1249	Nyaheun	Austroasiatic	Eurasia	57	54	41	75.93
gada1258	Ga'dang	Austronesian	Papunesia	70	58	44	75.86
nopa1235	Nopala Chatino	Otomanguean	North America	179	156	118	75.64
biha1246	Bih	Austronesian	Eurasia	182	160	121	75.62
ajie1238	Ajië	Austronesian	Papunesia	149	130	98	75.38
chek1238	Cheke Holo	Austronesian	Papunesia	167	149	112	75.17
agus1235	Agusan Manobo	Austronesian	Papunesia	103	92	69	75
goro1270	Gorowa	Afro-Asiatic	Africa	13	12	9	75
mehi1240	Mehináku	Arawakan	South America	4	4	3	75
ocot1244	Ocotlán Zapotec	Otomanguean	North America	97	84	63	75
oldm1242	Old Mon	Austroasiatic	Eurasia	171	152	114	75
quio1240	Quiotepec Chinantec	Otomanguean	North America	182	164	123	75
sanb1241	San Baltazar Loxicha Zapotec	Otomanguean	North America	147	128	96	75
magd1235	Magdalena Peñasco Mixtec	Otomanguean	North America	173	155	116	74.84
tung1290	Tungag	Austronesian	Papunesia	178	159	119	74.84
moch1257	Mocho	Mayan	North America	163	143	107	74.83
ofay1240	Ofayé	Nuclear-Macro-Je	South America	160	143	107	74.83
bong1289	Bonggi	Austronesian	Papunesia	150	135	101	74.81
cent2091	Central Palawano	Austronesian	Papunesia	90	79	59	74.68
gaaa1245	Gaa	Atlantic-Congo	Africa	79	71	53	74.65
lauu1247	Lau	Austronesian	Papunesia	141	122	91	74.59
sanm1295	San Miguel El Grande Mixtec	Otomanguean	North America	184	161	120	74.53
neng1238	Nengone	Austronesian	Papunesia	169	149	111	74.5
kina1250	Kinaray-a	Austronesian	Papunesia	143	129	96	74.42
bahn1262	Bahnar	Austroasiatic	Eurasia	117	105	78	74.29
oroh1237	Oroha	Austronesian	Papunesia	118	105	78	74.29
nali1244	Nalik	Austronesian	Papunesia	174	155	115	74.19
zaca1242	Zacatepec Chatino	Otomanguean	North America	170	151	112	74.17
coat1243	Coatlán Zapotec	Otomanguean	North America	166	143	106	74.13
dumb1241	Dumbea	Austronesian	Papunesia	173	154	114	74.03
sant1436	Santa María Zacatepec Mixtec	Otomanguean	North America	160	146	108	73.97
taro1264	Seediq	Austronesian	Papunesia	75	73	54	73.97
basa1287	Basay	Austronesian	Papunesia	106	96	71	73.96
nzak1246	Nzakambay	Atlantic-Congo	Africa	135	134	99	73.88
sapo1253	Saposa	Austronesian	Papunesia	145	130	96	73.85
siam1242	Siamou		Africa	134	130	96	73.85
xinc1243	Xinca-Yupiltepeque	Xincan	North America	154	149	110	73.83
rung1259	Rungus	Austronesian	Papunesia	137	126	93	73.81
east2694	Eastern Subanen	Austronesian	Papunesia	109	99	73	73.74
east2485	Eastern Penan	Austronesian	Papunesia	147	133	98	73.68
popt1235	Popti'	Mayan	North America	188	167	123	73.65
rovi1238	Roviana	Austronesian	Papunesia	161	144	106	73.61
tang1347	Movono	Austronesian	Papunesia	159	144	106	73.61
emae1237	Emae	Austronesian	Papunesia	156	136	100	73.53
gobu1238	Gobu	Atlantic-Congo	Africa	141	136	100	73.53
