Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
turk1304	Turkmen	Turkic	Eurasia	181	171	159	92.98
khak1248	Khakas	Turkic	Eurasia	170	165	153	92.73
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	124	114	91.94
bash1264	Bashkir	Turkic	Eurasia	161	157	144	91.72
shor1247	Shor	Turkic	Eurasia	175	167	153	91.62
tata1255	Tatar	Turkic	Eurasia	176	166	152	91.57
nort2697	North Azerbaijani	Turkic	Eurasia	188	173	158	91.33
tuvi1240	Tuvinian	Turkic	Eurasia	154	149	136	91.28
nucl1301	Turkish	Turkic	Eurasia	195	179	163	91.06
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	9	90
gaga1249	Gagauz	Turkic	Eurasia	188	176	158	89.77
turk1303	Turkic Khalaj	Turkic	Eurasia	171	159	142	89.31
nort2690	Northern Uzbek	Turkic	Eurasia	193	178	158	88.76
orok1265	Orok	Tungusic	Eurasia	151	146	129	88.36
oroc1248	Oroch	Tungusic	Eurasia	162	156	137	87.82
russ1264	Russia Buriat	Mongolic-Khitan	Eurasia	175	164	144	87.8
yaku1245	Sakha	Turkic	Eurasia	190	176	152	86.36
halh1238	Halh Mongolian	Mongolic-Khitan	Eurasia	185	173	149	86.13
negi1245	Negidal	Tungusic	Eurasia	160	151	130	86.09
even1260	Even	Tungusic	Eurasia	141	136	117	86.03
chuv1255	Chuvash	Turkic	Eurasia	193	178	153	85.96
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	142	122	85.92
dong1285	Dongxiang	Mongolic-Khitan	Eurasia	164	155	133	85.81
muth1236	Muthuvan	Dravidian	Eurasia	143	133	114	85.71
brah1256	Brahui	Dravidian	Eurasia	151	146	125	85.62
tagi1241	Tagin	Sino-Tibetan	Eurasia	96	90	77	85.56
bada1257	Badaga	Dravidian	Eurasia	127	117	100	85.47
mill1237	Millcayac	Huarpean	South America	122	117	100	85.47
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	157	134	85.35
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	155	132	85.16
nucl1452	Mombum	Mombum-Koneraw	Papunesia	73	71	60	84.51
kalm1243	Oirad-Kalmyk-Darkhat	Mongolic-Khitan	Eurasia	165	161	136	84.47
hurr1240	Hurrian	Hurro-Urartian	Eurasia	125	122	103	84.43
cent2126	Central Okinawan	Japonic	Eurasia	153	146	123	84.25
yaey1239	Yaeyama	Japonic	Eurasia	155	151	127	84.11
bodo1267	Bodo Gadaba	Austroasiatic	Eurasia	141	132	111	84.09
toto1302	Toto	Sino-Tibetan	Eurasia	155	143	120	83.92
dizi1235	Dizin	Dizoid	Africa	57	55	46	83.64
nucl1305	Kannada	Dravidian	Eurasia	191	177	148	83.62
yona1241	Yonaguni	Japonic	Eurasia	164	158	132	83.54
ulch1241	Ulch	Tungusic	Eurasia	164	157	131	83.44
korr1238	Korra Koraga	Dravidian	Eurasia	133	126	105	83.33
west2392	Western Mari	Uralic	Eurasia	153	148	123	83.11
kara1499	Kalamang	West Bomberai	Papunesia	99	94	78	82.98
mala1463	Malavedan	Dravidian	Eurasia	163	152	126	82.89
tulu1258	Tulu	Dravidian	Eurasia	163	152	126	82.89
twan1247	Twana	Salishan	North America	87	85	70	82.35
kada1242	Kadar	Dravidian	Eurasia	156	147	121	82.31
maia1254	Maia	Nuclear Trans New Guinea	Papunesia	80	79	65	82.28
even1259	Evenki	Tungusic	Eurasia	158	152	125	82.24
mudu1239	Muduga	Dravidian	Eurasia	161	152	125	82.24
siaw1243	Siawi	Amto-Musan	Papunesia	123	118	97	82.2
gofa1235	Gofa	Ta-Ne-Omotic	Africa	169	157	129	82.17
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	106	87	82.08
ayac1239	Ayacucho Quechua	Quechuan	South America	166	156	128	82.05
moch1259	Mochica		South America	139	128	105	82.03
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	94	77	81.91
cofa1242	Cofán		South America	137	132	108	81.82
poya1241	Poyanáwa	Pano-Tacanan	South America	50	49	40	81.63
hrus1242	Hruso		Eurasia	89	87	71	81.61
saur1249	Sauria Paharia	Dravidian	Eurasia	179	163	133	81.6
puqu1242	Puquina		South America	118	114	93	81.58
nana1257	Nanai	Tungusic	Eurasia	195	179	146	81.56
pras1239	Prasun	Indo-European	Eurasia	93	92	75	81.52
chak1270	Chak	Sino-Tibetan	Eurasia	188	172	140	81.4
bona1250	Bonan	Mongolic-Khitan	Eurasia	171	160	130	81.25
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	149	121	81.21
garo1247	Garo	Sino-Tibetan	Eurasia	164	154	125	81.17
raji1240	Raji	Sino-Tibetan	Eurasia	153	138	112	81.16
aluk1238	Alu Kurumba	Dravidian	Eurasia	171	159	129	81.13
mido1240	Midob	Nubian	Africa	55	53	43	81.13
dawr1236	Dawro	Ta-Ne-Omotic	Africa	156	148	120	81.08
defa1248	Defaka	Ijoid	Africa	75	74	60	81.08
shol1240	Sholaga	Dravidian	Eurasia	172	158	128	81.01
djeo1235	Djeoromitxí	Nuclear-Macro-Je	South America	107	105	85	80.95
mala1464	Malayalam	Dravidian	Eurasia	192	178	144	80.9
wola1242	Wolaytta	Ta-Ne-Omotic	Africa	193	178	144	80.9
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	167	135	80.84
nort2671	North Saami	Uralic	Eurasia	167	156	126	80.77
komi1268	Komi-Zyrian	Uralic	Eurasia	186	171	138	80.7
kore1280	Korean	Koreanic	Eurasia	185	176	142	80.68
nort2745	Northern Yukaghir	Yukaghir	Eurasia	191	176	142	80.68
guam1248	Guambiano	Barbacoan	South America	127	123	99	80.49
dara1250	Darai	Indo-European	Eurasia	178	163	131	80.37
kile1243	Kilen	Tungusic	Eurasia	188	173	139	80.35
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	162	130	80.25
rong1264	Rongpo	Sino-Tibetan	Eurasia	185	172	138	80.23
dard1243	Dar Daju Daju	Dajuic	Africa	93	91	73	80.22
pano1255	Panobo	Pano-Tacanan	South America	163	156	125	80.13
chhi1245	Chintang	Sino-Tibetan	Eurasia	150	140	112	80
dima1251	Dimasa	Sino-Tibetan	Eurasia	187	175	140	80
mmen1238	Mmen	Atlantic-Congo	Africa	10	10	8	80
surg1248	Surgut Khanty	Uralic	Eurasia	186	170	136	80
byan1241	Byangsi	Sino-Tibetan	Eurasia	182	169	135	79.88
guiq1238	Guiqiong	Sino-Tibetan	Eurasia	177	164	131	79.88
nara1262	Nara		Africa	132	129	103	79.84
idum1241	Idu	Sino-Tibetan	Eurasia	151	143	114	79.72
shua1257	Shuar	Chicham	South America	147	138	110	79.71
fore1265	Forest Enets	Uralic	Eurasia	193	177	141	79.66
opat1246	Teguima	Uto-Aztecan	North America	120	118	94	79.66
koda1255	Kodava	Dravidian	Eurasia	182	167	133	79.64
guru1261	Gurung	Sino-Tibetan	Eurasia	174	162	129	79.63
yukp1241	Yukpa	Cariban	South America	106	103	82	79.61
bina1277	Binandere	Nuclear Trans New Guinea	Papunesia	150	142	113	79.58
koya1251	Koya	Dravidian	Eurasia	137	127	101	79.53
yawa1260	Yawanawa	Pano-Tacanan	South America	148	141	112	79.43
gamo1243	Gamo	Ta-Ne-Omotic	Africa	183	170	135	79.41
diga1241	Tawra	Sino-Tibetan	Eurasia	178	165	131	79.39
peng1244	Pengo	Dravidian	Eurasia	171	160	127	79.38
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	116	92	79.31
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	159	126	79.25
niha1238	Nihali		Eurasia	164	154	122	79.22
kota1263	Kota (India)	Dravidian	Eurasia	158	149	118	79.19
umes1235	Ume Saami	Uralic	Eurasia	183	168	133	79.17
nepa1254	Nepali	Indo-European	Eurasia	162	153	121	79.08
chac1249	Cha'palaa	Barbacoan	South America	91	86	68	79.07
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	157	124	78.98
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	166	131	78.92
duru1236	Duruwa	Dravidian	Eurasia	121	109	86	78.9
kunz1244	Kunza		South America	72	71	56	78.87
basa1287	Basay	Austronesian	Papunesia	106	104	82	78.85
jenn1240	Jennu Kurumba	Dravidian	Eurasia	150	137	108	78.83
cent2322	Central Mansi	Uralic	Eurasia	185	170	134	78.82
nort2952	Northeast Maidu	Maiduan	North America	161	151	119	78.81
cusc1236	Cusco Quechua	Quechuan	South America	167	155	122	78.71
qima1242	Qimant	Afro-Asiatic	Africa	166	155	122	78.71
chim1302	Bolivar-North Chimborazo Highland Quichua	Quechuan	South America	176	164	129	78.66
ngan1291	Nganasan	Uralic	Eurasia	194	178	140	78.65
cald1236	Calderón Highland Quichua	Quechuan	South America	155	145	114	78.62
lugb1240	Lugbara	Central Sudanic	Africa	165	154	121	78.57
raut1239	Raute	Sino-Tibetan	Eurasia	133	126	99	78.57
nucl1643	Japanese	Japonic	Eurasia	193	177	139	78.53
agua1253	Aguaruna	Chicham	South America	170	158	124	78.48
chen1255	Chenchu	Dravidian	Eurasia	180	167	131	78.44
embe1260	Emberá-Catío	Chocoan	South America	164	153	120	78.43
juan1238	Juang	Austroasiatic	Eurasia	150	139	109	78.42
lule1238	Lule		South America	146	139	109	78.42
udii1243	Udi	Nakh-Daghestanian	Eurasia	147	139	109	78.42
ango1257	Angosturas Tunebo	Chibchan	South America	136	134	105	78.36
drun1238	Drung	Sino-Tibetan	Eurasia	182	171	134	78.36
toda1252	Toda	Dravidian	Eurasia	139	134	105	78.36
bats1242	Bats	Nakh-Daghestanian	Eurasia	148	143	112	78.32
lahu1252	Lahu Shi	Sino-Tibetan	Eurasia	152	143	112	78.32
thur1254	Thurawal	Pama-Nyungan	Australia	86	83	65	78.31
zays1235	Zayse-Zergulla	Ta-Ne-Omotic	Africa	171	161	126	78.26
budu1248	Budukh	Nakh-Daghestanian	Eurasia	158	147	115	78.23
arik1265	Arikapú	Nuclear-Macro-Je	South America	79	78	61	78.21
yamp1242	Yamphu	Sino-Tibetan	Eurasia	140	133	104	78.2
cent2150	Central Tunebo	Chibchan	South America	159	151	118	78.15
capa1241	Capanahua	Pano-Tacanan	South America	171	160	125	78.12
embe1262	Emberá-Chamí	Chocoan	South America	159	150	117	78
skol1241	Skolt Saami	Uralic	Eurasia	192	177	138	77.97
kryt1240	Kryz	Nakh-Daghestanian	Eurasia	165	154	120	77.92
tama1331	Tama (Chad)	Tamaic	Africa	139	131	102	77.86
dura1244	Dura	Sino-Tibetan	Eurasia	171	158	123	77.85
nort2980	North Junín Quechua	Quechuan	South America	175	162	126	77.78
sout2985	Southern Sierra Miwok	Miwok-Costanoan	North America	166	153	119	77.78
west2369	Western Farsi	Indo-European	Eurasia	183	171	133	77.78
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	148	115	77.7
pite1240	Pite Saami	Uralic	Eurasia	195	179	139	77.65
yakk1236	Yakkha	Sino-Tibetan	Eurasia	160	152	118	77.63
char1269	Chara	Ta-Ne-Omotic	Africa	149	138	107	77.54
aika1237	Aikanã		South America	90	89	69	77.53
coco1260	Cocos Islands Malay	Austronesian	Papunesia	88	80	62	77.5
pott1240	Pottangi Ollar Gadaba	Dravidian	Eurasia	85	80	62	77.5
esee1247	Ese	Koiarian	Papunesia	75	71	55	77.46
