Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
quey1238	Queyu	Sino-Tibetan	Eurasia	6	2	2	100
poya1241	Poyanáwa	Pano-Tacanan	South America	50	22	20	90.91
yayg1236	Yaygir	Pama-Nyungan	Australia	154	65	55	84.62
warl1256	Warluwara	Pama-Nyungan	Australia	95	47	39	82.98
tilu1238	Tilung	Sino-Tibetan	Eurasia	101	50	41	82
atam1239	Atampaya	Pama-Nyungan	Australia	87	48	39	81.25
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	48	39	81.25
gugu1253	Gugu Badhun	Pama-Nyungan	Australia	151	63	51	80.95
melp1238	Melpa	Nuclear Trans New Guinea	Papunesia	166	67	54	80.6
bond1245	Bondo	Austroasiatic	Eurasia	152	60	48	80
cent1972	Central Kurdish	Indo-European	Eurasia	15	5	4	80
koka1244	Kokata	Pama-Nyungan	Australia	143	65	52	80
marg1253	Margany	Pama-Nyungan	Australia	144	60	48	80
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	50	40	80
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	50	40	80
nyaw1247	Nyawaygi	Pama-Nyungan	Australia	93	58	46	79.31
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	53	42	79.25
waja1257	Wajarri	Pama-Nyungan	Australia	65	24	19	79.17
maga1263	Mag-Anchi Ayta	Austronesian	Papunesia	61	33	26	78.79
toto1302	Toto	Sino-Tibetan	Eurasia	155	66	52	78.79
boun1245	Bo-Ung	Nuclear Trans New Guinea	Papunesia	145	61	48	78.69
esee1248	Ese Ejja	Pano-Tacanan	South America	189	70	55	78.57
fasu1242	Fasu		Papunesia	120	56	44	78.57
kuku1280	Kuku-Uwanh	Pama-Nyungan	Australia	155	65	51	78.46
benc1235	Bench	Ta-Ne-Omotic	Africa	82	37	29	78.38
limb1266	Limbu	Sino-Tibetan	Eurasia	140	55	43	78.18
bahi1252	Bahing	Sino-Tibetan	Eurasia	161	72	56	77.78
hinu1240	Hinuq	Nakh-Daghestanian	Eurasia	99	45	35	77.78
nyan1301	Nyangumarta	Pama-Nyungan	Australia	68	27	21	77.78
yidi1250	Yidiñ	Pama-Nyungan	Australia	156	63	49	77.78
gure1255	Gureng Gureng	Pama-Nyungan	Australia	133	57	44	77.19
obok1239	Obokuitai	Lakes Plain	Papunesia	157	70	54	77.14
djam1256	Djambarrpuyngu	Pama-Nyungan	Australia	91	48	37	77.08
kima1244	Kimaragang	Austronesian	Papunesia	90	48	37	77.08
biri1256	Biri	Pama-Nyungan	Australia	146	61	47	77.05
arao1248	Araona	Pano-Tacanan	South America	193	74	57	77.03
kuku1273	Kuku-Yalanji	Pama-Nyungan	Australia	184	74	57	77.03
shan1283	Shanenawa	Pano-Tacanan	South America	171	74	57	77.03
hrus1242	Hruso		Eurasia	89	39	30	76.92
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	69	53	76.81
rumu1243	Rumu	Turama-Kikori	Papunesia	73	43	33	76.74
warr1255	Warrgamay	Pama-Nyungan	Australia	80	30	23	76.67
west2441	Western Arrarnta	Pama-Nyungan	Australia	159	64	49	76.56
bara1357	Baraamu	Sino-Tibetan	Eurasia	171	68	52	76.47
guru1261	Gurung	Sino-Tibetan	Eurasia	174	68	52	76.47
lemb1266	Lembena	Nuclear Trans New Guinea	Papunesia	175	68	52	76.47
maru1252	Marúbo	Pano-Tacanan	South America	126	55	42	76.36
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	42	32	76.19
tune1261	Tunen	Atlantic-Congo	Africa	98	46	35	76.09
wira1265	Wirangu	Pama-Nyungan	Australia	66	29	22	75.86
narr1259	Narrinyeri	Pama-Nyungan	Australia	72	33	25	75.76
nhan1238	Nhanda	Pama-Nyungan	Australia	163	70	53	75.71
yind1247	Yindjibarndi	Pama-Nyungan	Australia	174	70	53	75.71
chuv1255	Chuvash	Turkic	Eurasia	193	74	56	75.68
mart1255	Martuthunira	Pama-Nyungan	Australia	184	74	56	75.68
than1259	Thangmi	Sino-Tibetan	Eurasia	177	74	56	75.68
kova1243	Kovai	Nuclear Trans New Guinea	Papunesia	88	41	31	75.61
etru1241	Etruscan		Eurasia	130	49	37	75.51
huli1244	Huli	Nuclear Trans New Guinea	Papunesia	131	53	40	75.47
bash1264	Bashkir	Turkic	Eurasia	161	65	49	75.38
east2516	East Kewa	Nuclear Trans New Guinea	Papunesia	179	69	52	75.36
arta1239	Arta	Austronesian	Papunesia	184	72	54	75
chug1252	Duhumbi	Sino-Tibetan	Eurasia	184	72	54	75
daur1238	Dagur	Mongolic-Khitan	Eurasia	149	56	42	75
gara1269	Garrwa	Garrwan	Australia	94	48	36	75
kara1499	Kalamang	West Bomberai	Papunesia	99	44	33	75
puri1258	Purik-Sham-Nubra	Sino-Tibetan	Eurasia	189	72	54	75
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	28	21	75
mayk1239	Maykulan	Pama-Nyungan	Australia	152	67	50	74.63
mari1416	Maring Naga	Sino-Tibetan	Eurasia	159	63	47	74.6
pina1252	Pinai-Hagahai	Piawi	Papunesia	162	63	47	74.6
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	63	47	74.6
yaey1239	Yaeyama	Japonic	Eurasia	155	63	47	74.6
gura1251	Gurani	Indo-European	Eurasia	128	59	44	74.58
umbu1235	Umbugarla		Australia	126	55	41	74.55
gang1267	Ganggalida	Tangkic	Australia	94	47	35	74.47
male1284	Male (Ethiopia)	Ta-Ne-Omotic	Africa	182	70	52	74.29
minh1238	Mangghuer	Mongolic-Khitan	Eurasia	181	70	52	74.29
muru1266	Muruwari	Pama-Nyungan	Australia	157	70	52	74.29
shol1240	Sholaga	Dravidian	Eurasia	172	70	52	74.29
west2392	Western Mari	Uralic	Eurasia	153	66	49	74.24
orok1265	Orok	Tungusic	Eurasia	151	62	46	74.19
juan1238	Juang	Austroasiatic	Eurasia	150	58	43	74.14
turk1303	Turkic Khalaj	Turkic	Eurasia	171	73	54	73.97
capa1241	Capanahua	Pano-Tacanan	South America	171	65	48	73.85
guhu1244	Guhu-Samane	Nuclear Trans New Guinea	Papunesia	167	65	48	73.85
kurr1243	Kurrama	Pama-Nyungan	Australia	161	65	48	73.85
niha1238	Nihali		Eurasia	164	65	48	73.85
pano1255	Panobo	Pano-Tacanan	South America	163	65	48	73.85
wiru1244	Wiru		Papunesia	180	65	48	73.85
kunj1245	Kunjen	Pama-Nyungan	Australia	163	61	45	73.77
taia1239	Taiap		Papunesia	151	61	45	73.77
taro1264	Seediq	Austronesian	Papunesia	75	38	28	73.68
bujh1238	Bujhyal	Sino-Tibetan	Eurasia	179	72	53	73.61
cent2126	Central Okinawan	Japonic	Eurasia	153	60	44	73.33
nyun1247	Nyunga	Pama-Nyungan	Australia	26	15	11	73.33
dura1244	Dura	Sino-Tibetan	Eurasia	171	71	52	73.24
guny1241	Gunya	Pama-Nyungan	Australia	177	71	52	73.24
doma1260	Domaaki	Indo-European	Eurasia	144	63	46	73.02
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	63	46	73.02
pitt1247	Pitta Pitta	Pama-Nyungan	Australia	160	63	46	73.02
gahr1239	Bunan	Sino-Tibetan	Eurasia	195	74	54	72.97
thak1245	Thakali	Sino-Tibetan	Eurasia	193	74	54	72.97
kamo1255	Kamoro	Nuclear Trans New Guinea	Papunesia	94	48	35	72.92
kaya1319	Kayardild	Tangkic	Australia	96	48	35	72.92
west2417	Western Muya	Sino-Tibetan	Eurasia	112	48	35	72.92
mana1288	Manange	Sino-Tibetan	Eurasia	191	70	51	72.86
iwai1244	Iwaidja	Iwaidjan Proper	Australia	66	22	16	72.73
onge1236	Önge	Jarawa-Onge	Eurasia	46	33	24	72.73
paez1247	Páez		South America	45	22	16	72.73
papa1268	Papar	Austronesian	Papunesia	47	22	16	72.73
wang1291	Ngiyambaa	Pama-Nyungan	Australia	169	66	48	72.73
fore1265	Forest Enets	Uralic	Eurasia	193	73	53	72.6
brah1256	Brahui	Dravidian	Eurasia	151	62	45	72.58
even1259	Evenki	Tungusic	Eurasia	158	62	45	72.58
gata1239	Gata'	Austroasiatic	Eurasia	156	62	45	72.58
kada1242	Kadar	Dravidian	Eurasia	156	62	45	72.58
siaw1243	Siawi	Amto-Musan	Papunesia	123	51	37	72.55
yind1248	Yindjilandji	Pama-Nyungan	Australia	75	40	29	72.5
