Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
bera1262	Berau Malay	Austronesian	Papunesia	11	6	6	100
cuaa1241	Cua	Austroasiatic	Eurasia	8	7	7	100
mmen1238	Mmen	Atlantic-Congo	Africa	10	4	4	100
luya1241	Luyi	Atlantic-Congo	Africa	172	119	109	91.6
mamb1296	Mambwe-Lungu	Atlantic-Congo	Africa	141	105	96	91.43
lamb1272	Lambya	Atlantic-Congo	Africa	132	99	90	90.91
mbol1247	Mbole	Atlantic-Congo	Africa	89	70	63	90
nugu1242	Nugunu (Cameroon)	Atlantic-Congo	Africa	86	70	63	90
vunj1238	Vunjo	Atlantic-Congo	Africa	165	110	99	90
yaoo1241	Yao	Atlantic-Congo	Africa	137	108	97	89.81
hehe1240	Hehe	Atlantic-Congo	Africa	144	104	93	89.42
here1253	Herero	Atlantic-Congo	Africa	187	121	108	89.26
soga1242	Soga	Atlantic-Congo	Africa	181	121	108	89.26
lala1264	Lala-Bisa	Atlantic-Congo	Africa	150	102	91	89.22
haaa1252	Ha	Atlantic-Congo	Africa	187	120	107	89.17
shon1251	Shona	Atlantic-Congo	Africa	182	120	107	89.17
sang1331	Sanga (Democratic Republic of Congo)	Atlantic-Congo	Africa	162	117	104	88.89
swah1253	Swahili	Atlantic-Congo	Africa	178	115	102	88.7
gube1234	Gubeeher-Gufangor-Gubelor	Atlantic-Congo	Africa	180	120	106	88.33
east2782	Eastern Kikongo	Atlantic-Congo	Africa	156	110	97	88.18
kgal1244	Kgalagadi	Atlantic-Congo	Africa	169	109	96	88.07
lumb1249	Lumbu	Atlantic-Congo	Africa	146	109	96	88.07
elip1238	Elip	Atlantic-Congo	Africa	111	92	81	88.04
gusi1247	Gusii	Atlantic-Congo	Africa	173	115	101	87.83
bamb1266	Bambili-Bambui	Atlantic-Congo	Africa	32	16	14	87.5
kala1384	Kalanga	Atlantic-Congo	Africa	164	112	98	87.5
soli1239	Soli	Atlantic-Congo	Africa	101	80	70	87.5
budz1238	Budza	Atlantic-Congo	Africa	166	111	97	87.39
makh1266	Makhuwa-Saka	Atlantic-Congo	Africa	158	111	97	87.39
