Language_ID	Language_Name	Language_Family_Name	Language_Macroarea	Parameters_Coded	Total_Compared	Match_Count	Percentage_Similarity
japa1238	Japanese Sign Language	Sign Language	Eurasia	10	10	10	100
quey1238	Queyu	Sino-Tibetan	Eurasia	6	6	6	100
bodo1269	Bodo-Mech	Sino-Tibetan	Eurasia	167	165	151	91.52
zeme1240	Zeme Naga	Sino-Tibetan	Eurasia	163	157	142	90.45
zakh1243	Zakhring	Sino-Tibetan	Eurasia	111	110	99	90
hrus1242	Hruso		Eurasia	89	89	80	89.89
bugu1246	Bugun	Sino-Tibetan	Eurasia	101	96	85	88.54
loth1237	Lotha Naga	Sino-Tibetan	Eurasia	160	157	138	87.9
sher1257	Sherdukpen	Sino-Tibetan	Eurasia	77	74	65	87.84
kara1499	Kalamang	West Bomberai	Papunesia	99	97	85	87.63
dizi1235	Dizin	Dizoid	Africa	57	56	49	87.5
rabh1238	Rabha	Sino-Tibetan	Eurasia	177	174	152	87.36
okin1246	Oki-No-Erabu	Japonic	Eurasia	161	158	138	87.34
toda1252	Toda	Dravidian	Eurasia	139	136	118	86.76
choc1275	Chocangacakha	Sino-Tibetan	Eurasia	124	120	104	86.67
cent2126	Central Okinawan	Japonic	Eurasia	153	149	128	85.91
sout2954	Southern Amami-Oshima	Japonic	Eurasia	162	159	136	85.53
lian1251	Liangmai Naga	Sino-Tibetan	Eurasia	133	131	112	85.5
mala1463	Malavedan	Dravidian	Eurasia	163	156	133	85.26
defa1248	Defaka	Ijoid	Africa	75	74	63	85.14
sout2715	Southern Ghale	Sino-Tibetan	Eurasia	115	114	97	85.09
peri1253	Peripheral Mongolian	Mongolic-Khitan	Eurasia	129	127	108	85.04
yona1241	Yonaguni	Japonic	Eurasia	164	160	136	85
pint1250	Pintupi-Luritja	Pama-Nyungan	Australia	130	125	106	84.8
sang1321	Sangtam Naga	Sino-Tibetan	Eurasia	140	138	117	84.78
garo1247	Garo	Sino-Tibetan	Eurasia	164	157	133	84.71
etru1241	Etruscan		Eurasia	130	124	105	84.68
koir1240	Koireng	Sino-Tibetan	Eurasia	155	150	127	84.67
mara1379	Maram Naga	Sino-Tibetan	Eurasia	167	162	137	84.57
chak1270	Chak	Sino-Tibetan	Eurasia	188	181	153	84.53
kony1248	Konyak Naga	Sino-Tibetan	Eurasia	175	174	147	84.48
chir1283	Chiru	Sino-Tibetan	Eurasia	170	166	140	84.34
ulch1241	Ulch	Tungusic	Eurasia	164	159	134	84.28
shol1240	Sholaga	Dravidian	Eurasia	172	165	139	84.24
